id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,taxon_info
4730768,[4718209],249893,inf,1,1,0,0,1566,[67]fHcSfocJofcGHcNcqQHwfqKCebxBpARErnDDErpLMswtHMvarvFASAbkDbmFMSldfLH
4725443,[4725277],249597,inf,1,5,0,0,1556,[67]fHcSxNcJofcGHcNcqQHwfqKCebbxpOwFIOcRzaOydDQKHnFgIecjqvBdgaohRpEzfLH
4725424,[4723094],249595,inf,2,2,0,0,1519,[72]fHcSuNcJofcGHcocqQSHwfqKCabRClMvduHknJiukumAEkMooBHqnQxFOHSjcJRvbCQjgfLH
4725420,[4716038],249595,inf,1,10,1,14,1552,[71]fHcSuNcJofcGHcocqQHwfqKCebEInHRaApGxkJlBEhJzuBjdQtsyusHBtozGbbjQzbwHfLH
4725414,[4724751],249595,inf,1,3,0,0,1503,[71]fHcSuNcJofcGHcocqQHwfqKCebRxBaSBdFubeIQNnbjBgbFwqxwSexkBMDAjbcAFdSmRfLH
4725382,[4723764],249593,inf,1,1,0,0,1536,[67]fHcSxNcJofcGHcNcqQHwfqKNebRscqNAgNtFrFGwFMwysrFNkMrDBvPvgDsKDJnOfLH
4729000,[4727491],249794,inf,1,1,0,0,1520,[71]fHcSvNcJofcGHcocqQHwfqKCebuzDblBddnEFdKMhbRpnbnaglwExvowDKqescbSdbmRfLH
4725374,[4724405],249593,inf,1,2,0,0,1542,[68]fHcSxNcJofcGHcNcqQHwfqMCebAbmKihssOcrpavCGplrrxlyFdgEGrBdqxioxBsufLH
4729073,[4728830],249797,inf,1,1,1,1,1564,[71]fHcSuNcJofcGHcocqQHwfqKCabtkbGeHtvoKCmqloDMRNtzaxqzudIcaGmmuStbqHNovfLH
4725360,[4724746],249592,inf,3,7,2,2,1555,[67]fHcSxNcJofcGHcNcqQHwfqKCebbxpOwOIOcRzaOydDQKHLFgIecjqvBdgaohEpEzfLH
4725345,[4724746],249591,inf,2,40,7,26,1555,[67]fHcSxNcJofcGHcNcqQHwfqKCebbxpOwOIOcRzaOydDQKHkFgIecjqvBdgaohEpEzfLH
4731125,[4731114],249915,inf,1,7,3,4,1502,[71]fHcSuNcJofcGHcocqQHwfqKCebRxBrwBdCLneIQDnbPBgbnwHxwPexkBMDAsbcdFdSmRfLH
4727538,[4721120],249712,inf,2,2,0,0,1533,[67]fHcSxNcJofcGHcNcqQHwfqKCebRscqEDgNtFrFwwFMwysrFgkMrDBvSvgDsKDJnOfLH
4732129,[4723914],249972,inf,1,1,0,0,1554,[72]fHcSuNcJofcGHcocqQHwfqKCebEMInuRaApGxkJlBEhJzuBidQtlyusHBtozGbbjQzbwHfLH
4727001,[4724039],249683,inf,1,1,0,0,1547,[67]fHcSxNcJofcGHcNcqQcwfqKCebBQAMRHEjvenIPrEBLIsHJpaALIBpeCoDBdQsaBfLH
4732313,[4725194],249982,inf,3,3,0,0,1554,[67]fHcSxNcJofcGHcNcqQHwfqKCebNsCeQKBBQGuyqQsNaIrHwJFlsiEbekcCdFbpAMfLH
4731244,[4721653],249922,inf,1,1,0,0,1520,[70]fHcvNcJofcGHcMcqQHwfqKCebuzDbDBxdnEFdKMDbRpnbnaglwExvoNDSqbgabIdrmRfLH
4725304,[4724746],249589,inf,2,2,0,0,1555,[67]fHcSxNcJofcGHcNcqQHwfqKCebbxpOwOIOcRzaOydDQKHnFgIeqjqvBdgaMhEpEzfLH
4725233,[4715385],249585,inf,1,1,0,0,1541,[67]fHcSxNcJofcGHcNcqQHwfqKCebAbmKiosHOtzlavCcprrxlyFdnEGwBdqxzoxxsufLH
4725224,[4724733],249585,inf,1,2,0,0,1520,[71]fHcSuNcJofcGHcocqQHwfqKCabRLIzelEdnLidMAnRjpgkNIIxEMiDJNbPqHyyQIdSmRfLH
4725194,[4725042],249583,inf,4,9,3,3,1553,[67]fHcSxNcJofcGHcNcqQHwfqKCebNsCeQKBBQGuyqQsraIrHwJFlsiExekcCdFbpAMfLH
4725168,[4724199],249581,inf,1,1,0,0,1566,[72]fHcSuNcJofcGHcozcqQHwfqKCabtkJGgHtloqCcqloRMNNtLaxugudIcaGGmuQtbqHNxlfLH
4725166,[4721082],249581,inf,2,2,0,0,1547,[67]fHcSxNcJofcGHcNcqQHwfqKCebdbDmPbsyOHzaQCcvSrxlyelkEIwBdtqipoSBBufLH
4725164,[4720569],249581,inf,2,31,2,10,1541,[67]fHcSxNcJofcGHcNcqQHwfqKCebbrnaAlIOcRqaOoxswxHnFgIecrGgBdgsthpzmufLH
4725129,[4724865],249579,inf,1,1,0,0,1546,[68]fHcpSxNcJofcGHcNkqQHwfqKCebAqbmKiosOtzlavCcpruxlyFdnEGwBdqxioxBEufLH
4732293,[4730016],249981,inf,1,1,0,0,1565,[71]fHcSsNcJofcGucocqQHwfqKCabjqhMtAlzbajmBogyoNtzaxhFudIaaPdmIuQtzqcNolfLH
4725108,[4723905],249578,inf,2,13,2,3,1527,[71]fHcSuNcJofcGHcNcqQHwfqKCabRzsRwpdHEuKxIkLmDrtMoDBHdyacDqauzcJyvICQzgfLH
4725093,[4706383],249578,inf,1,1,0,0,1541,[67]fHcSxNcJofcGHcNcqQHwfqKCebAbmKihssOcrpavCGprsxlyFdgEGrBdqxioxBsufLH
4731934,[4727681],249961,inf,2,3,0,0,1552,[68]fHcSxNcJofcGHcNcqQHwfqKCebbxjiisDOnzPagOCDOrrxHNyFgtnczrsuqlllMBufLH
