"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed"
"453","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2240,0,"Mixed bet hedging",FALSE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"454","Other",0,NA,NA,"Other",2240,0,"Mixed bet hedging",FALSE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"455","Low activity",0,NA,NA,"Low activity",2240,0,"Mixed bet hedging",FALSE,-750,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"456","Bet-hedged learning",2,0.967645515,7.72367756187935e+61,"Bet-hedged learning",2290,0.04,"Mixed bet hedging",FALSE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"457","Learning",35,0.993713665142857,1.09263675134278e+78,"Learning",2290,0.7,"Mixed bet hedging",TRUE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"458","Mixed bet hedging",13,0.896860549230769,1.16746926587367e+79,"Mixed bet hedging",2290,0.26,"Mixed bet hedging",FALSE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"459","Error correction",0,NA,NA,"Error correction",2290,0,"Mixed bet hedging",FALSE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"460","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2290,0,"Mixed bet hedging",FALSE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"461","Other",0,NA,NA,"Other",2290,0,"Mixed bet hedging",FALSE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"462","Low activity",0,NA,NA,"Low activity",2290,0,"Mixed bet hedging",FALSE,-700,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"463","Bet-hedged learning",4,0.9784367675,2.59667380463412e+61,"Bet-hedged learning",2340,0.08,"Mixed bet hedging",FALSE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"464","Learning",31,0.995218073225806,1.02836736294734e+83,"Learning",2340,0.62,"Mixed bet hedging",TRUE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"465","Mixed bet hedging",15,0.89477706,6.37633774890363e+77,"Mixed bet hedging",2340,0.3,"Mixed bet hedging",FALSE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"466","Error correction",0,NA,NA,"Error correction",2340,0,"Mixed bet hedging",FALSE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"467","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",2340,0,"Mixed bet hedging",FALSE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"468","Other",0,NA,NA,"Other",2340,0,"Mixed bet hedging",FALSE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"469","Low activity",0,NA,NA,"Low activity",2340,0,"Mixed bet hedging",FALSE,-650,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"470","Bet-hedged learning",2,0.977032445,5.7416314561442e+61,"Bet-hedged learning",2390,0.04,"Mixed bet hedging",FALSE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"471","Learning",37,0.994928983783784,4.20037837940132e+81,"Learning",2390,0.74,"Mixed bet hedging",TRUE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
"472","Mixed bet hedging",11,0.894552800909091,8.55695629394592e+74,"Mixed bet hedging",2390,0.22,"Mixed bet hedging",FALSE,-600,TRUE,422,"../../2023_05_22_01__seeds_0_500",422
