"","X","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","is_learning","relative_depth","is_exploratory_replay","seed","dir","true_seed","is_necessary_exploratory_replay","first_learning_depth","depth_frac"
"44",44,"Learning",23,0.994887283043478,4.42838188122183e+86,"Learning",860,0.46,"Bet-hedged learning",TRUE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
"45",45,"Error correction",0,NA,NA,"Error correction",860,0,"Bet-hedged learning",FALSE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
"46",46,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",860,0,"Bet-hedged learning",FALSE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
"47",47,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",860,0,"Bet-hedged learning",FALSE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
"48",48,"Other",0,NA,NA,"Other",860,0,"Bet-hedged learning",FALSE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
"49",49,"Low activity",0,NA,NA,"Low activity",860,0,"Bet-hedged learning",FALSE,-150,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.851485148514851
"50",50,"Bet-hedged learning",15,0.878941189333333,2.31834285266906e+62,"Bet-hedged learning",910,0.3,"Bet-hedged learning",FALSE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"51",51,"Learning",35,0.994791714857143,5.83501360423618e+88,"Learning",910,0.7,"Bet-hedged learning",TRUE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"52",52,"Error correction",0,NA,NA,"Error correction",910,0,"Bet-hedged learning",FALSE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"53",53,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",910,0,"Bet-hedged learning",FALSE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"54",54,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",910,0,"Bet-hedged learning",FALSE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"55",55,"Other",0,NA,NA,"Other",910,0,"Bet-hedged learning",FALSE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"56",56,"Low activity",0,NA,NA,"Low activity",910,0,"Bet-hedged learning",FALSE,-100,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.900990099009901
"57",57,"Bet-hedged learning",10,0.939321062,5.08446937124971e+68,"Bet-hedged learning",960,0.2,"Bet-hedged learning",FALSE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"58",58,"Learning",40,0.9955149795,2.36658540125099e+88,"Learning",960,0.8,"Bet-hedged learning",TRUE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"59",59,"Error correction",0,NA,NA,"Error correction",960,0,"Bet-hedged learning",FALSE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"60",60,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",960,0,"Bet-hedged learning",FALSE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"61",61,"Mixed bet hedging",0,NA,NA,"Mixed bet hedging",960,0,"Bet-hedged learning",FALSE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"62",62,"Other",0,NA,NA,"Other",960,0,"Bet-hedged learning",FALSE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"63",63,"Low activity",0,NA,NA,"Low activity",960,0,"Bet-hedged learning",FALSE,-50,TRUE,93,"../../2023_05_22_01__seeds_0_500",93,TRUE,1010,0.95049504950495
"64",64,"Error correction",23,0.761899904347826,1.06280897006143e+88,"Error correction",1033,0.46,"Small",FALSE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"65",65,"Learning",23,0.993619323478261,1.32850434782713e+87,"Learning",1033,0.46,"Small",TRUE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"66",66,"Mixed bet hedging",4,0.88070515,2.57812887189987e+88,"Mixed bet hedging",1033,0.08,"Small",FALSE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"67",67,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1033,0,"Small",FALSE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"68",68,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1033,0,"Small",FALSE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"69",69,"Other",0,NA,NA,"Other",1033,0,"Small",FALSE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"70",70,"Low activity",0,NA,NA,"Low activity",1033,0,"Small",FALSE,-300,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.774943735933983
"71",71,"Error correction",6,0.751133043333333,3.71080647091917e+53,"Error correction",1083,0.12,"Bet-hedged error correction",FALSE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
"72",72,"Learning",44,0.994196688863636,7.21947034551886e+88,"Learning",1083,0.88,"Bet-hedged error correction",TRUE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
"73",73,"Bet-hedged learning",0,NA,NA,"Bet-hedged learning",1083,0,"Bet-hedged error correction",FALSE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
"74",74,"Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",1083,0,"Bet-hedged error correction",FALSE,-250,TRUE,221,"../../2023_05_22_01__seeds_0_500",221,TRUE,1333,0.81245311327832
