"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"33","Mixed bet hedging",1,0.95056798,5.09340288459531e+89,"Mixed bet hedging",715,0.02,"Small",5273.09,FALSE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"34","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",715,0,"Small",5273.09,FALSE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"35","Other",0,NA,NA,"Other",715,0,"Small",5273.09,FALSE,-295,FALSE,93,5,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"36","Bet-hedged error correction",1,0.75285599,5.45782935046328e+37,"Bet-hedged error correction",716,0.02,"Small",11.99,FALSE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"37","Bet-hedged learning",8,0.69770489975,5.83646098744338e+60,"Bet-hedged learning",716,0.16,"Small",11.99,FALSE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"38","Error correction",26,0.749765873461538,5.88464582987441e+78,"Error correction",716,0.52,"Small",11.99,FALSE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"39","Learning",4,0.99426145,2.43308942921974e+81,"Learning",716,0.08,"Small",11.99,TRUE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"40","Low activity",9,0.630092595555556,5390.16888888889,"Low activity",716,0.18,"Small",11.99,FALSE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"41","Mixed bet hedging",2,0.8412296425,3.2171872454545e+64,"Mixed bet hedging",716,0.04,"Small",11.99,FALSE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"42","Other",0,NA,NA,"Other",716,0,"Small",11.99,FALSE,-294,FALSE,93,6,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"43","Bet-hedged learning",12,0.70380395,2.43922353278404e+73,"Bet-hedged learning",717,0.24,"Small",13,FALSE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"44","Error correction",24,0.753285202083333,1.16329111699791e+88,"Error correction",717,0.48,"Small",13,FALSE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"45","Learning",8,0.99536440375,3.19073058482804e+89,"Learning",717,0.16,"Small",13,TRUE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"46","Low activity",5,0.69,55.302,"Low activity",717,0.1,"Small",13,FALSE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"47","Mixed bet hedging",1,0.85484187,7.54087164017159e+30,"Mixed bet hedging",717,0.02,"Small",13,FALSE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"48","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",717,0,"Small",13,FALSE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"49","Other",0,NA,NA,"Other",717,0,"Small",13,FALSE,-293,FALSE,93,7,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"50","Bet-hedged learning",10,0.679207426,5.09244989866497e+63,"Bet-hedged learning",718,0.2,"Small",56.86,FALSE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"51","Error correction",22,0.762592254545455,5.69947643415094e+88,"Error correction",718,0.44,"Small",56.86,FALSE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"52","Learning",6,0.995591898333333,3.21337278712777e+89,"Learning",718,0.12,"Small",56.86,TRUE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"53","Low activity",11,0.66,426.038181818182,"Low activity",718,0.22,"Small",56.86,FALSE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"54","Mixed bet hedging",1,0.85486042,2.10479549761092e+48,"Mixed bet hedging",718,0.02,"Small",56.86,FALSE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"55","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",718,0,"Small",56.86,FALSE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"56","Other",0,NA,NA,"Other",718,0,"Small",56.86,FALSE,-292,FALSE,93,8,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"57","Bet-hedged learning",8,0.68247936,1.72234666156099e+87,"Bet-hedged learning",719,0.16,"Small",12.89,FALSE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"58","Error correction",23,0.748672375217391,1.14966371155353e+52,"Error correction",719,0.46,"Small",12.89,FALSE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"59","Learning",8,0.99424741,2.50173973821865e+89,"Learning",719,0.16,"Small",12.89,TRUE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"60","Low activity",8,0.61481940375,360.65625,"Low activity",719,0.16,"Small",12.89,FALSE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"61","Mixed bet hedging",3,0.91204639,2.99731937369478e+77,"Mixed bet hedging",719,0.06,"Small",12.89,FALSE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"62","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",719,0,"Small",12.89,FALSE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"63","Other",0,NA,NA,"Other",719,0,"Small",12.89,FALSE,-291,FALSE,93,9,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"64","Bet-hedged learning",7,0.729396018571429,6.46503787538786e+56,"Bet-hedged learning",720,0.14,"Small",15.98,FALSE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"65","Error correction",25,0.7623487808,3.14009926190891e+54,"Error correction",720,0.5,"Small",15.98,FALSE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"66","Learning",6,0.994842205,2.01199198746164e+88,"Learning",720,0.12,"Small",15.98,TRUE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"67","Low activity",12,0.662402778333333,157.05,"Low activity",720,0.24,"Small",15.98,FALSE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"68","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",720,0,"Small",15.98,FALSE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"69","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",720,0,"Small",15.98,FALSE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"70","Other",0,NA,NA,"Other",720,0,"Small",15.98,FALSE,-290,FALSE,93,10,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"71","Bet-hedged learning",12,0.743637206833333,1.44824126325e+89,"Bet-hedged learning",721,0.24,"Small",38.37,FALSE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"72","Error correction",23,0.754632144347826,9.13346801232174e+86,"Error correction",721,0.46,"Small",38.37,FALSE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"73","Learning",5,0.994789104,3.91143539713213e+89,"Learning",721,0.1,"Small",38.37,TRUE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"74","Low activity",8,0.61100000375,10612.8175,"Low activity",721,0.16,"Small",38.37,FALSE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"75","Mixed bet hedging",2,0.89715691,1.08816253555249e+58,"Mixed bet hedging",721,0.04,"Small",38.37,FALSE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"76","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",721,0,"Small",38.37,FALSE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"77","Other",0,NA,NA,"Other",721,0,"Small",38.37,FALSE,-289,FALSE,93,11,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"78","Bet-hedged learning",7,0.723725487142857,3.68221491898842e+60,"Bet-hedged learning",722,0.14,"Small",59.33,FALSE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"79","Error correction",26,0.755430555769231,7.4727183179976e+88,"Error correction",722,0.52,"Small",59.33,FALSE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"80","Learning",10,0.994605064,5.13823907583208e+75,"Learning",722,0.2,"Small",59.33,TRUE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"81","Low activity",6,0.656150795,139.283333333333,"Low activity",722,0.12,"Small",59.33,FALSE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"82","Mixed bet hedging",1,0.98277745,1.2633773240212e+61,"Mixed bet hedging",722,0.02,"Small",59.33,FALSE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"83","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",722,0,"Small",59.33,FALSE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"84","Other",0,NA,NA,"Other",722,0,"Small",59.33,FALSE,-288,FALSE,93,12,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"85","Bet-hedged learning",11,0.709188859454545,8.87520729745592e+63,"Bet-hedged learning",723,0.22,"Small",48.21,FALSE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"86","Error correction",18,0.764962345555556,8.94492601759817e+56,"Error correction",723,0.36,"Small",48.21,FALSE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"87","Learning",12,0.994737155,1.41479616818658e+89,"Learning",723,0.24,"Small",48.21,TRUE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
"88","Low activity",7,0.665976201428571,335.958571428571,"Low activity",723,0.14,"Small",48.21,FALSE,-287,FALSE,93,13,FALSE,FALSE,"../../2023_05_22_01__seeds_0_500",93
