"","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","depth","frac","lineage_classification","lineage_merit_mean","is_learning","relative_depth","is_exploratory_replay","seed","target_window_depth","is_target_window_start","is_target_window_end","dir","true_seed"
"8538","Bet-hedged learning",8,0.93645325875,9.37078149375197e+89,"Bet-hedged learning",572,0.16,"Small",11.44,FALSE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8539","Error correction",12,0.748417784166667,1.69753333649523e+87,"Error correction",572,0.24,"Small",11.44,FALSE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8540","Learning",15,0.995988,8.22080699269753e+89,"Learning",572,0.3,"Small",11.44,TRUE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8541","Low activity",13,0.641584178461538,3402.62538461538,"Low activity",572,0.26,"Small",11.44,FALSE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8542","Mixed bet hedging",2,0.912703318,8.5619474944043e+89,"Mixed bet hedging",572,0.04,"Small",11.44,FALSE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8543","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",572,0,"Small",11.44,FALSE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8544","Other",0,NA,NA,"Other",572,0,"Small",11.44,FALSE,-863,FALSE,474,37,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8545","Bet-hedged learning",4,0.8324631775,8.788631612791e+76,"Bet-hedged learning",573,0.08,"Small",11.81,FALSE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8546","Error correction",10,0.747081898,1.21581086932638e+43,"Error correction",573,0.2,"Small",11.81,FALSE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8547","Learning",30,0.996184272333333,1.03510577999248e+90,"Learning",573,0.6,"Small",11.81,TRUE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8548","Low activity",6,0.662958251666667,214.065,"Low activity",573,0.12,"Small",11.81,FALSE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8549","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",573,0,"Small",11.81,FALSE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8550","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",573,0,"Small",11.81,FALSE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8551","Other",0,NA,NA,"Other",573,0,"Small",11.81,FALSE,-862,FALSE,474,38,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8552","Bet-hedged learning",4,0.9128251075,7.64685706000013e+89,"Bet-hedged learning",574,0.08,"Small",24.18,FALSE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8553","Error correction",13,0.743366269230769,3.03054798451282e+53,"Error correction",574,0.26,"Small",24.18,FALSE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8554","Learning",23,0.995669684347826,8.06235074409216e+89,"Learning",574,0.46,"Small",24.18,TRUE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8555","Low activity",6,0.602583338333333,174.351666666667,"Low activity",574,0.12,"Small",24.18,FALSE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8556","Mixed bet hedging",4,0.8351766875,2.80411272000303e+89,"Mixed bet hedging",574,0.08,"Small",24.18,FALSE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8557","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",574,0,"Small",24.18,FALSE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8558","Other",0,NA,NA,"Other",574,0,"Small",24.18,FALSE,-861,FALSE,474,39,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8559","Bet-hedged learning",14,0.911005895714286,4.71712112672904e+89,"Bet-hedged learning",575,0.28,"Small",10499.39,FALSE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8560","Error correction",6,0.748164391666667,1.19873739578412e+42,"Error correction",575,0.12,"Small",10499.39,FALSE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8561","Learning",24,0.996069279583333,8.60641853850835e+89,"Learning",575,0.48,"Small",10499.39,TRUE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8562","Low activity",5,0.639600004,1736.464,"Low activity",575,0.1,"Small",10499.39,FALSE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8563","Mixed bet hedging",1,0.88786002,8.0337206941639e+72,"Mixed bet hedging",575,0.02,"Small",10499.39,FALSE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8564","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",575,0,"Small",10499.39,FALSE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8565","Other",0,NA,NA,"Other",575,0,"Small",10499.39,FALSE,-860,FALSE,474,40,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8566","Bet-hedged learning",6,0.750135553333333,4.60243690000003e+89,"Bet-hedged learning",576,0.12,"Small",12.27,FALSE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8567","Error correction",4,0.716849085,2.12397055400738e+63,"Error correction",576,0.08,"Small",12.27,FALSE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8568","Learning",32,0.996118803125,8.89249221935646e+89,"Learning",576,0.64,"Small",12.27,TRUE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8569","Low activity",7,0.673464287142857,275.647142857143,"Low activity",576,0.14,"Small",12.27,FALSE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8570","Mixed bet hedging",1,0.91703566,1.23446330362e+76,"Mixed bet hedging",576,0.02,"Small",12.27,FALSE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8571","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",576,0,"Small",12.27,FALSE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8572","Other",0,NA,NA,"Other",576,0,"Small",12.27,FALSE,-859,FALSE,474,41,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8573","Bet-hedged learning",8,0.7563958575,1.48640258754821e+89,"Bet-hedged learning",577,0.16,"Small",53.7,FALSE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8574","Error correction",8,0.76480933625,1.5481716441343e+68,"Error correction",577,0.16,"Small",53.7,FALSE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8575","Learning",26,0.995862573461539,5.45366084306261e+89,"Learning",577,0.52,"Small",53.7,TRUE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8576","Low activity",5,0.666100004,163.386,"Low activity",577,0.1,"Small",53.7,FALSE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8577","Mixed bet hedging",3,0.89582674,4.98205790528688e+76,"Mixed bet hedging",577,0.06,"Small",53.7,FALSE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8578","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",577,0,"Small",53.7,FALSE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8579","Other",0,NA,NA,"Other",577,0,"Small",53.7,FALSE,-858,FALSE,474,42,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8580","Bet-hedged learning",3,0.760701203333333,4.21054548966667e+89,"Bet-hedged learning",578,0.06,"Small",118.17,FALSE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8581","Error correction",9,0.748144503333333,4.82909764953911e+62,"Error correction",578,0.18,"Small",118.17,FALSE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8582","Learning",37,0.996143629189189,7.27993916549725e+89,"Learning",578,0.74,"Small",118.17,TRUE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8583","Low activity",1,0.68550001,203.61,"Low activity",578,0.02,"Small",118.17,FALSE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8584","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",578,0,"Small",118.17,FALSE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8585","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",578,0,"Small",118.17,FALSE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8586","Other",0,NA,NA,"Other",578,0,"Small",118.17,FALSE,-857,FALSE,474,43,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8587","Bet-hedged learning",5,0.911311762,2.7838341571177e+89,"Bet-hedged learning",579,0.1,"Small",36.09,FALSE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8588","Error correction",13,0.774110606153846,7.8378311797522e+87,"Error correction",579,0.26,"Small",36.09,FALSE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8589","Learning",26,0.996055519615385,9.91339382933239e+89,"Learning",579,0.52,"Small",36.09,TRUE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8590","Low activity",3,0.638055563333333,428.896666666667,"Low activity",579,0.06,"Small",36.09,FALSE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8591","Mixed bet hedging",3,0.895751713333333,3.95879266416352e+74,"Mixed bet hedging",579,0.06,"Small",36.09,FALSE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8592","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",579,0,"Small",36.09,FALSE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8593","Other",0,NA,NA,"Other",579,0,"Small",36.09,FALSE,-856,FALSE,474,44,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8594","Bet-hedged error correction",1,0.739266514851485,1.62920792079394e+61,"Bet-hedged error correction",580,0.02,"Small",17.62,FALSE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8595","Bet-hedged learning",4,0.8564944525,3.2503377974265e+76,"Bet-hedged learning",580,0.08,"Small",17.62,FALSE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8596","Error correction",4,0.76259824,4.23101299833522e+63,"Error correction",580,0.08,"Small",17.62,FALSE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8597","Learning",35,0.996165345142857,1.03182322157934e+90,"Learning",580,0.7,"Small",17.62,TRUE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8598","Low activity",5,0.570360936,453.38,"Low activity",580,0.1,"Small",17.62,FALSE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8599","Mixed bet hedging",1,0.86997406,8.714113696e+89,"Mixed bet hedging",580,0.02,"Small",17.62,FALSE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8600","Other",0,NA,NA,"Other",580,0,"Small",17.62,FALSE,-855,FALSE,474,45,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8601","Bet-hedged learning",10,0.889070148,7.41291565200162e+89,"Bet-hedged learning",581,0.2,"Small",31.13,FALSE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8602","Error correction",7,0.737168604285714,8.73177275323709e+87,"Error correction",581,0.14,"Small",31.13,FALSE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8603","Learning",29,0.99580545862069,7.72038002428326e+89,"Learning",581,0.58,"Small",31.13,TRUE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8604","Low activity",2,0.638750005,114.17,"Low activity",581,0.04,"Small",31.13,FALSE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8605","Mixed bet hedging",2,0.896844185,8.15969731350002e+89,"Mixed bet hedging",581,0.04,"Small",31.13,FALSE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8606","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",581,0,"Small",31.13,FALSE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8607","Other",0,NA,NA,"Other",581,0,"Small",31.13,FALSE,-854,FALSE,474,46,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8608","Bet-hedged learning",10,0.910596956,4.37405695077231e+89,"Bet-hedged learning",582,0.2,"Small",2657.38,FALSE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8609","Error correction",11,0.736746289090909,2.50357508497767e+89,"Error correction",582,0.22,"Small",2657.38,FALSE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8610","Learning",24,0.996322936666667,9.5478462311917e+89,"Learning",582,0.48,"Small",2657.38,TRUE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8611","Low activity",4,0.71,2973.2,"Low activity",582,0.08,"Small",2657.38,FALSE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8612","Mixed bet hedging",1,0.97253429,1.21943742794998e+64,"Mixed bet hedging",582,0.02,"Small",2657.38,FALSE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8613","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",582,0,"Small",2657.38,FALSE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8614","Other",0,NA,NA,"Other",582,0,"Small",2657.38,FALSE,-853,FALSE,474,47,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8615","Bet-hedged learning",9,0.862219409111111,6.18291177284021e+89,"Bet-hedged learning",583,0.18,"Small",101.85,FALSE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8616","Error correction",5,0.761191136,8.55596665954427e+88,"Error correction",583,0.1,"Small",101.85,FALSE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8617","Learning",25,0.9961837788,7.2047490722984e+89,"Learning",583,0.5,"Small",101.85,TRUE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8618","Low activity",7,0.653404765714286,93.1971428571429,"Low activity",583,0.14,"Small",101.85,FALSE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8619","Mixed bet hedging",4,0.8823080775,8.24761290440469e+75,"Mixed bet hedging",583,0.08,"Small",101.85,FALSE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8620","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",583,0,"Small",101.85,FALSE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8621","Other",0,NA,NA,"Other",583,0,"Small",101.85,FALSE,-852,FALSE,474,48,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8622","Bet-hedged learning",9,0.88539995,7.86598900877822e+89,"Bet-hedged learning",584,0.18,"Small",51.88,FALSE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8623","Error correction",5,0.74988748,2.20539271867599e+88,"Error correction",584,0.1,"Small",51.88,FALSE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8624","Learning",28,0.995803742857143,9.0687613741553e+89,"Learning",584,0.56,"Small",51.88,TRUE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8625","Low activity",2,0.59191668,864.87,"Low activity",584,0.04,"Small",51.88,FALSE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8626","Mixed bet hedging",6,0.929681428333333,6.39721402305714e+89,"Mixed bet hedging",584,0.12,"Small",51.88,FALSE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8627","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",584,0,"Small",51.88,FALSE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8628","Other",0,NA,NA,"Other",584,0,"Small",51.88,FALSE,-851,FALSE,474,49,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8629","Learning",12,0.995331424166667,8.37895726721802e+88,"Learning",535,0.24,"Small",20.96,TRUE,-900,TRUE,474,0,TRUE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1974
"8630","Learning",29,0.995994030689655,9.0118457918079e+89,"Learning",585,0.58,"Small",17.09,TRUE,-850,TRUE,474,50,FALSE,TRUE,"../../2023_05_24_01__seeds_1500_1999",1974
"8631","Bet-hedged learning",1,0.99424694,4.22588027725859e+57,"Bet-hedged learning",739,0.02,"Error correction",7.13697934331812e+42,FALSE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8632","Error correction",27,0.749505764074074,1.36562160911551e+89,"Error correction",739,0.54,"Error correction",7.13697934331812e+42,FALSE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8633","Learning",22,0.994465250454545,2.56488514811029e+89,"Learning",739,0.44,"Error correction",7.13697934331812e+42,TRUE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8634","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",739,0,"Error correction",7.13697934331812e+42,FALSE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8635","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",739,0,"Error correction",7.13697934331812e+42,FALSE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8636","Other",0,NA,NA,"Other",739,0,"Error correction",7.13697934331812e+42,FALSE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8637","Low activity",0,NA,NA,"Low activity",739,0,"Error correction",7.13697934331812e+42,FALSE,-199,FALSE,475,1,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8638","Bet-hedged error correction",1,0.744007633663366,1.68143334368381e+64,"Bet-hedged error correction",740,0.02,"Error correction",3.57419869399877e+42,FALSE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8639","Error correction",25,0.7516189964,9.28951537640778e+88,"Error correction",740,0.5,"Error correction",3.57419869399877e+42,FALSE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8640","Learning",24,0.994160419583333,7.7754625131785e+88,"Learning",740,0.48,"Error correction",3.57419869399877e+42,TRUE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8641","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",740,0,"Error correction",3.57419869399877e+42,FALSE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8642","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",740,0,"Error correction",3.57419869399877e+42,FALSE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8643","Other",0,NA,NA,"Other",740,0,"Error correction",3.57419869399877e+42,FALSE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8644","Low activity",0,NA,NA,"Low activity",740,0,"Error correction",3.57419869399877e+42,FALSE,-198,FALSE,475,2,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8645","Bet-hedged error correction",1,0.743746485148515,2.01842005105368e+54,"Bet-hedged error correction",741,0.02,"Error correction",3.83124000000073e+51,FALSE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8646","Bet-hedged learning",1,0.98385596,3.76585427642012e+53,"Bet-hedged learning",741,0.02,"Error correction",3.83124000000073e+51,FALSE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8647","Error correction",19,0.75645285631579,9.79928715997099e+88,"Error correction",741,0.38,"Error correction",3.83124000000073e+51,FALSE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8648","Learning",29,0.994020115517241,2.31319004891164e+89,"Learning",741,0.58,"Error correction",3.83124000000073e+51,TRUE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8649","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",741,0,"Error correction",3.83124000000073e+51,FALSE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8650","Other",0,NA,NA,"Other",741,0,"Error correction",3.83124000000073e+51,FALSE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8651","Low activity",0,NA,NA,"Low activity",741,0,"Error correction",3.83124000000073e+51,FALSE,-197,FALSE,475,3,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8652","Error correction",30,0.750307306666667,6.79440776852139e+88,"Error correction",742,0.6,"Error correction",1.15048213361887e+41,FALSE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8653","Learning",20,0.99458302,2.06223535805056e+89,"Learning",742,0.4,"Error correction",1.15048213361887e+41,TRUE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8654","Bet-hedged learning",0,NA,NA,"Bet-hedged learning",742,0,"Error correction",1.15048213361887e+41,FALSE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8655","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",742,0,"Error correction",1.15048213361887e+41,FALSE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8656","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",742,0,"Error correction",1.15048213361887e+41,FALSE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8657","Other",0,NA,NA,"Other",742,0,"Error correction",1.15048213361887e+41,FALSE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8658","Low activity",0,NA,NA,"Low activity",742,0,"Error correction",1.15048213361887e+41,FALSE,-196,FALSE,475,4,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8659","Bet-hedged learning",1,0.99075438,7.56270002879388e+46,"Bet-hedged learning",743,0.02,"Error correction",8.04696180651429e+42,FALSE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8660","Error correction",26,0.750897196153846,1.52435821256837e+89,"Error correction",743,0.52,"Error correction",8.04696180651429e+42,FALSE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8661","Learning",23,0.994609006086956,1.86632654355896e+89,"Learning",743,0.46,"Error correction",8.04696180651429e+42,TRUE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8662","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",743,0,"Error correction",8.04696180651429e+42,FALSE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8663","Mixed bet hedging",0,NA,NA,"Mixed bet hedging",743,0,"Error correction",8.04696180651429e+42,FALSE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8664","Other",0,NA,NA,"Other",743,0,"Error correction",8.04696180651429e+42,FALSE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8665","Low activity",0,NA,NA,"Low activity",743,0,"Error correction",8.04696180651429e+42,FALSE,-195,FALSE,475,5,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8666","Bet-hedged learning",1,0.98470349,2.54232201122e+57,"Bet-hedged learning",744,0.02,"Error correction",1.85087218676473e+41,FALSE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8667","Error correction",23,0.75275288826087,1.18390676619977e+89,"Error correction",744,0.46,"Error correction",1.85087218676473e+41,FALSE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8668","Learning",25,0.9944107,2.68645582272917e+89,"Learning",744,0.5,"Error correction",1.85087218676473e+41,TRUE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8669","Mixed bet hedging",1,0.88543473,9.79503905353894e+81,"Mixed bet hedging",744,0.02,"Error correction",1.85087218676473e+41,FALSE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8670","Bet-hedged error correction",0,NA,NA,"Bet-hedged error correction",744,0,"Error correction",1.85087218676473e+41,FALSE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8671","Other",0,NA,NA,"Other",744,0,"Error correction",1.85087218676473e+41,FALSE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8672","Low activity",0,NA,NA,"Low activity",744,0,"Error correction",1.85087218676473e+41,FALSE,-194,FALSE,475,6,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
"8673","Bet-hedged learning",1,0.99380486,4.97323014850604e+84,"Bet-hedged learning",745,0.02,"Error correction",1.42730893877752e+43,FALSE,-193,FALSE,475,7,FALSE,FALSE,"../../2023_05_24_01__seeds_1500_1999",1975
