genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[92]oJwGJlgRKFJBukkkmLjyeokHklGgLeCHdeEIzbfeigskrmqAKdDRjEQajmtQnfmLJrIhCbOJhzJGpIlJIFRyIfGeHtvR",3.05176,1,2140,1,4,0,4,0,0,0,0,0,3,3,1,1, 13
"[67]RldbPdElyNpJqfIcJjcesHnJHqbcOIwceiHDdeBKCpAkAarKIjuEeukjaDLzEjbtaod",1.18305e+29,2.40992e+19,2906,0.997732,441,1,440,1,1,0,1,1,209,208,232,232, 130
"[108]kKJwGqBOljfOKoedriqtjqPRHsGGPnHJmrAeQLgDdsRKCqGeAcdrJQCbrFIKuNFgOxpbpzxOlsdCakyrxBvtQlMPRaqCjNBPtoQQvQJaczwM",1.95312,2.25,2528,1,2,0,2,0,0,0,0,0,2,1,2,2, 131
"[101]GnjtJHcqIKqcqyphJQPzJxpigJBMKsozEnuDtLHCrHMjylhQbQQGCdChBrsRdPOzBqcguBxtsvbIirgNMCiBeHRnvlRwxMQyNfHPf",1.18305e+29,6.71788e+14,1827,0.670042,3061,1009,2051,1010,1009,0,1009,1009,2052,1042,1009,1009, 132
"[81]AjyxJHcqPaILKqenBLQrAbGPdteknKcrdNjHdhRJAnuopvhrpohRGzvHhJioGInwtqtIEmRbubaaqsoxL",1.18305e+29,5.77061e+13,1761,0.66261,2383,803,1579,804,803,0,803,803,1580,776,803,803, 133
"[77]RdLEcnlpeBABoeltEMJLEuKHQqDkJtNyAoKPnHCRMqlxoGIJqkOiBywxFeIcJvKfjltficmdgJAjL",1.18305e+29,4.95692e+12,1977,0.671192,4346,1428,2917,1429,1428,0,1428,1428,1428,1428,2918,1489, 134
"[100]CktjCkDjdOaKwbpPdHDksKHQqIJoqCqNhyKJkJdnHFeMECabcnifmRlGqauiDfNJtyKgxQlyoLgrRsrRlJJHteJpcbeRCFkLQedJ",1.18305e+29,4.61649e+13,2995,0.658625,5762,1966,3795,1967,1966,0,1966,1966,1966,1966,3796,1829, 135
"[94]KzyGnykhwadcMPNcJRgPtvFAMBFQczDlwbHhhEbalyjeNAvhAplmPzlbhabzuhsvnivNlqEwnshRrbfdCtGvpkkIjiGfoh",2.44141,1.5625,2397,1,3,0,3,0,0,0,0,0,2,2,1,1, 136
"[104]FLscHHKxBsHGnJqjiKhlPAmkQbQRxPlhuoOzMFgmvwitoRpavNhGHcOqleCOagIwoDAvMAhgjCKjPADkjHxdRbBmOheqGeewrnAawyCQ",1.64011e+15,2,2347,1,156,0,156,0,0,0,0,0,382,84,73,72, 137
"[97]KMkKvGRraBkIycnsgqbwHejwzAFttoOrsedNQelwGKunNEbFMockQmDRgRQorJQQMbfofrsMbHbjdAeqNNoahqkcNviDIvCEo",1.95312,2.95312,2328,1,2,0,2,0,0,0,0,0,0,0,4,4, 138
"[92]KKFmGBbuuGqIzzGFeGLjdbnHMabCIzqttGLPtngvafFDHfnACiKmulheDBkxaqvkKmjurkLolCpFgvLsmgtIfBrrqChA",1.95312,2.95312,2552,1,2,0,2,0,0,0,0,0,0,0,4,4, 139
"[92]zwcCOIAIIukHRHJOIaPBPROcFktKHcqIJqdqMRrQAvuDyjwanNopCFDHJquqaIxvPlqLygCEjjdDpnBxruiaQRjhPQRc",1.18305e+29,1.40884e+14,2384,0.665552,61606,20604,41002,20604,20604,0,20604,20604,20604,20604,41002,20398, 14
"[100]CuMcOmccLJccqcccfccFoGtKccocacHncECccDccbfucccoLcQdccAQvcEQbcdDBhEcHkccccclkfCcccFchHhzwpicoxItcaxcA",7.67046e+09,109477,144,0.657321,321,110,211,110,110,0,156,156,156,156,308,152, 140
"[65]KGlxpntmkPCrKJfkzwiAeBvQGNQdArcRLnGeGqLguqmQteaffdxovzmkssgQDBFmI",2.44141,3.44141,2540,1,3,0,3,0,0,0,0,0,3,2,6,4, 141
"[119]JGKLcuLqIAoKIjxumjsmCFJuJKhIgCqDRqDGcjuhuhJpkBqzKdDrIexIEPArczFNJJvcpDkyEtsIEFfFqDsklJlPvFcidNbEanldDhILhfAHxPKMvQDjHuq",1.95312,1.5625,2482,1,2,0,2,0,0,0,0,0,1,1,1,1, 142
