"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"107",107,272,"Learning",13,0.993521246153846,3.7375288325784e+28,"Learning",0.26,"Bet-hedged learning"
"110",110,273,"Learning",10,0.998636643,2.8659139570518e+28,"Learning",0.2,"Bet-hedged learning"
"113",113,274,"Learning",8,0.99925175625,2.96863687793473e+28,"Learning",0.16,"Bet-hedged learning"
"118",118,275,"Learning",7,0.998085991428571,3.26833602978938e+27,"Learning",0.14,"Bet-hedged learning"
"122",122,276,"Learning",10,0.999149669,2.82895937516677e+28,"Learning",0.2,"Bet-hedged learning"
"127",127,277,"Learning",9,0.994768322222222,2.84876364156748e+28,"Learning",0.18,"Bet-hedged learning"
"130",130,278,"Learning",16,0.998977964375,2.47565298158908e+28,"Learning",0.32,"Bet-hedged learning"
"134",134,279,"Learning",47,0.999300285957447,2.67797334831687e+28,"Learning",0.94,"Small"
"138",138,280,"Learning",47,0.998937957021277,1.19846670431596e+28,"Learning",0.94,"Small"
"141",141,281,"Learning",46,0.999815311304348,2.56711082836677e+28,"Learning",0.92,"Small"
"144",144,282,"Learning",43,0.999307955348837,1.59943146804355e+28,"Learning",0.86,"Small"
"148",148,283,"Learning",44,0.999703094772727,3.60864409221804e+28,"Learning",0.88,"Small"
"152",152,284,"Learning",38,0.999793292368421,3.50390743815432e+28,"Learning",0.76,"Small"
"155",155,285,"Learning",47,0.998443161914894,2.45917083193099e+28,"Learning",0.94,"Bet-hedged learning"
"156",156,286,"Learning",49,0.999816546326531,2.62633194557267e+28,"Learning",0.98,"Bet-hedged learning"
"158",158,287,"Learning",50,0.9995936576,2.64647919473819e+28,"Learning",1,"Bet-hedged learning"
"161",161,288,"Learning",48,0.99991817125,3.14140917444484e+28,"Learning",0.96,"Bet-hedged learning"
"163",163,289,"Learning",47,0.999059912553191,3.39742851193626e+28,"Learning",0.94,"Bet-hedged learning"
"166",166,290,"Learning",47,0.999860413829787,2.76524129641047e+28,"Learning",0.94,"Bet-hedged learning"
"170",170,291,"Learning",48,0.99991196375,2.51948691656673e+28,"Learning",0.96,"Bet-hedged learning"
"172",172,292,"Learning",48,0.999849336875,3.2304717569786e+28,"Learning",0.96,"Bet-hedged learning"
"174",174,293,"Learning",50,0.999877619,2.6684650027888e+28,"Learning",1,"Bet-hedged learning"
"176",176,294,"Learning",49,0.999892092244898,2.93637127464378e+28,"Learning",0.98,"Bet-hedged learning"
"177",177,295,"Learning",50,0.9990963936,2.7858922151622e+28,"Learning",1,"Bet-hedged learning"
"179",179,296,"Learning",46,0.999770950217391,3.28111837086095e+28,"Learning",0.92,"Bet-hedged learning"
"182",182,297,"Learning",47,0.999974347021277,1.99663255079579e+28,"Learning",0.94,"Bet-hedged learning"
"186",186,298,"Learning",45,0.997862794666667,4.05512267888915e+28,"Learning",0.9,"Bet-hedged learning"
"189",189,299,"Learning",46,0.999748672826087,3.17297667623868e+28,"Learning",0.92,"Bet-hedged learning"
"192",192,300,"Learning",46,0.999895171086956,3.1987199467099e+28,"Learning",0.92,"Bet-hedged learning"
"195",195,350,"Learning",44,0.999943875,2.91279714281713e+28,"Learning",0.88,"Learning"
"198",198,400,"Learning",47,1,1.32598774524001e+28,"Learning",0.94,"Learning"
"201",201,450,"Learning",46,0.999908856956522,1.15460834622635e+28,"Learning",0.92,"Learning"
"202",202,500,"Learning",50,0.9999472518,3.26476397337145e+27,"Learning",1,"Learning"
"203",203,550,"Learning",50,0.9999542416,8.77499127209841e+27,"Learning",1,"Learning"
"205",205,600,"Learning",48,1,8.07821518332683e+27,"Learning",0.979591836734694,"Learning"
"206",206,650,"Learning",50,1,6.35614701212545e+27,"Learning",1,"Learning"
"208",208,700,"Learning",49,1,2.33622052003623e+27,"Learning",0.98,"Learning"
"209",209,750,"Learning",49,0.999950016122449,1.74285224874553e+28,"Learning",0.98,"Learning"
"212",212,800,"Learning",49,0.999996393265306,3.04405246579799e+28,"Learning",0.98,"Learning"
"213",213,850,"Learning",48,0.999998920625,4.90954705720598e+28,"Learning",0.96,"Learning"
"215",215,900,"Learning",49,1,4.67463528643158e+28,"Learning",1,"Learning"
"216",216,950,"Learning",49,1,3.87209583669404e+28,"Learning",1,"Learning"
"217",217,1000,"Learning",49,1,3.73872041153447e+28,"Learning",1,"Learning"
