"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"133",133,525,"Learning",14,0.990074947857143,7.43501251648585e+28,"Learning",0.341463414634146,"Error correction"
"136",136,526,"Learning",20,0.9939845605,6.56313217968665e+28,"Learning",0.465116279069767,"Error correction"
"141",141,527,"Learning",13,0.989296625384615,7.75358569825549e+28,"Learning",0.282608695652174,"Error correction"
"145",145,528,"Learning",15,0.983769566,7.1234557787646e+28,"Learning",0.394736842105263,"Error correction"
"148",148,529,"Learning",17,0.985537062352941,6.7721959799753e+28,"Learning",0.395348837209302,"Error correction"
"152",152,530,"Learning",18,0.992278051111111,4.91604824949929e+28,"Learning",0.418604651162791,"Error correction"
"156",156,531,"Learning",17,0.9891067,5.80740380191379e+28,"Learning",0.404761904761905,"Error correction"
"160",160,532,"Learning",26,0.986862148846154,8.11627308368824e+28,"Learning",0.577777777777778,"Error correction"
"164",164,533,"Learning",21,0.985363918571429,5.82151598114183e+28,"Learning",0.456521739130435,"Error correction"
"168",168,534,"Learning",15,0.984010291333333,7.65425839138886e+28,"Learning",0.340909090909091,"Error correction"
"173",173,535,"Learning",17,0.979878527058824,6.15754968310691e+28,"Learning",0.361702127659574,"Error correction"
"177",177,536,"Learning",26,0.991449231153846,6.40625696880715e+28,"Learning",0.541666666666667,"Error correction"
"180",180,537,"Learning",30,0.988033013333333,4.99349890244789e+28,"Learning",0.638297872340426,"Error correction"
"183",183,538,"Learning",24,0.987555297083333,5.28224796476674e+28,"Learning",0.51063829787234,"Error correction"
"186",186,539,"Learning",22,0.989628446818182,5.34417532442328e+28,"Learning",0.468085106382979,"Error correction"
"190",190,540,"Learning",31,0.985670657741936,5.91923955878446e+28,"Learning",0.645833333333333,"Error correction"
"193",193,541,"Learning",21,0.989098720952381,6.50515458366686e+28,"Learning",0.4375,"Error correction"
"196",196,542,"Learning",33,0.988522894242424,5.11587510946575e+28,"Learning",0.733333333333333,"Error correction"
"199",199,543,"Learning",39,0.985555187948718,5.99511734806968e+28,"Learning",0.829787234042553,"Error correction"
"201",201,544,"Learning",28,0.9921745825,6.23879258536749e+28,"Learning",0.622222222222222,"Error correction"
"205",205,545,"Learning",24,0.98915461625,6.68938009527136e+28,"Learning",0.521739130434783,"Error correction"
"210",210,546,"Learning",24,0.987587626666667,6.05075602300974e+28,"Learning",0.51063829787234,"Error correction"
"214",214,547,"Learning",22,0.990400829090909,5.65405931822165e+28,"Learning",0.478260869565217,"Error correction"
"217",217,548,"Learning",48,0.991048976041667,5.58136213871586e+28,"Learning",0.979591836734694,"Mixed bet hedging"
"219",219,549,"Learning",44,0.991779378181818,6.46661934152842e+28,"Learning",0.956521739130435,"Error correction"
"221",221,550,"Learning",47,0.994018042340426,7.38134970367946e+28,"Learning",0.959183673469388,"Error correction"
"224",224,600,"Learning",47,0.993859309361702,5.6872038075999e+28,"Learning",0.979166666666667,"Learning"
"226",226,650,"Learning",38,0.992238977894737,6.39779204523607e+28,"Learning",0.863636363636364,"Learning"
"228",228,700,"Learning",38,0.992129241578947,6.45740301800396e+28,"Learning",0.904761904761905,"Learning"
"230",230,750,"Learning",48,0.991198397916667,6.99420269068434e+28,"Learning",0.979591836734694,"Learning"
"232",232,800,"Learning",47,0.991197447446808,8.11379581835485e+28,"Learning",0.959183673469388,"Learning"
"234",234,850,"Learning",37,0.987656572972973,8.56381993037308e+28,"Learning",0.948717948717949,"Learning"
"235",235,900,"Learning",43,0.987843851627907,8.35333486815802e+28,"Learning",0.977272727272727,"Learning"
"237",237,950,"Learning",45,0.98569675,5.39699053018579e+28,"Learning",1,"Learning"
"238",238,1000,"Learning",47,0.985067260851064,7.68713515867957e+28,"Learning",1,"Learning"
