"depth","seed","count","accuracy_mean","accuracy_max","accuracy_min","merit_mean","merit_max","merit_min","merit_median","door_rooms_mean","door_rooms_max","door_rooms_min","exit_rooms_mean","exit_rooms_max","exit_rooms_min","correct_doors_mean","correct_doors_max","correct_doors_min","incorrect_doors_mean","incorrect_doors_max","incorrect_doors_min","correct_exits_mean","correct_exits_max","correct_exits_min","incorrect_exits_mean","incorrect_exits_max","incorrect_exits_min","genome_length","seed_classification","seed_classification_factor"
"431","6",100,0.84994395,0.878981,0.823529,58201764534983933952,3.26605e+21,45719500000,9.447025e+14,222.54,309,149,33.63,49,19,188.89,265,129,33.65,49,19,33.63,49,19,0,0,0,98,"Error correction","Error correction"
"432","6",100,0.84918197,0.879195,0.820513,53507629784278237184,4.08256e+21,71436700000,1.76105e+14,218.16,310,149,33.16,49,18,184.98,266,131,33.18,49,18,33.16,49,18,0,0,0,98,"Error correction","Error correction"
"433","6",100,0.85210696,0.878307,0.827465,50733466671884894208,2.61284e+21,23408400000,6.71788e+14,221.95,308,144,33.07,49,19,188.84,264,125,33.11,49,19,33.07,49,19,0,0,0,98,"Error correction","Error correction"
"434","6",100,0.85046066,0.882759,0.824373,3.12182162642066e+20,2.4334e+22,57149400000,6.71788e+14,223.31,316,145,33.59,49,17,189.71,273,128,33.6,49,17,33.59,49,17,0,0,0,98,"Error correction","Error correction"
"435","6",100,0.8519367,0.881579,0.820225,3571913545676472832,2.24441e+20,18726700000,7.393595e+13,206.65,301,139,30.93,48,17,175.72,255,122,30.93,48,17,30.93,48,17,0,0,0,98,"Error correction","Error correction"
"436","6",100,0.85376871,0.893082,0.814545,13877230010382098432,5.47952e+20,29260500000,5.19355e+13,207.86,304,143,30.7,51,17,177.15,258,125,30.71,51,17,30.7,51,17,0,0,0,97,"Error correction","Error correction"
"437","6",100,0.85116317,0.880682,0.817829,6669338285442227200,4.38362e+20,36575600000,4.61649e+13,209.44,304,146,31.44,49,18,177.98,258,127,31.46,49,18,31.44,49,18,0,0,0,97,"Error correction","Error correction"
"438","6",100,0.85141465,0.878049,0.823789,45897174799571738624,3.26605e+21,45719500000,1.267955e+14,213.54,311,152,31.96,49,20,181.56,266,132,31.98,49,20,31.96,49,20,0,0,0,96,"Error correction","Error correction"
"439","6",100,0.85509672,0.890244,0.829268,5119853160683171840,2.24441e+20,29260500000,1.51273e+13,203,301,141,29.74,48,17,173.26,255,124,29.74,48,17,29.74,48,17,0,0,0,96,"Error correction","Error correction"
"440","6",100,0.85432782,0.885135,0.824,40057580867567296512,2.09027e+21,36575600000,1.70182e+13,201.25,311,146,29.57,50,17,171.68,265,127,29.57,50,17,29.57,50,17,0,0,0,96,"Error correction","Error correction"
