genome,merit,merit_given,gen,not,nand,and,ornot,andnot,or,nor,xor,equ, seed
"[94]lundpqaqdpqlcfpnbrytfpelmncaltggqqpqqzvfeeenzcfduyggquqsaqcpqpdapcvffefknealssgyqoqqgwttykdvpb",3.35544e+07,524289,797,1,1,1,1,1,1,1,1,1, 162
"[1930]rusovlkkluwuhuquiovoqnnozbpxqwpqpepttyyxyvabaaaaaaaaaaaaaaaaaaaaaaaaaaauaaaakaaaaaaaaaaaaaaawaaaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaaaaaaaaakzaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaagaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaxaaaaaaaaaauaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaagaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",4.1943e+06,8210.9,1778,1,0,0,1,1,1,1,1,1, 163
"[51]rupfvozqiylupmlnnqsplnyqmpoipogpqnoqgfqutttyqgstoab",8192,8192.66,34705,1,0,0,1,1,1,1,0,0, 164
"[55]ruqwvuflnqdspyhyguphqhmwzbderatzwjxkeqikagpitqydxettvab",65536,65536.4,13763,1,1,1,1,1,1,1,0,0, 165
"[159]srqzpvypjenmgqeynvcninvorsqpkmllnrnpqmqspqutttttymoyyzyvpwhfueipqppogqqvqabaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",2.09715e+06,2.09715e+06,16535,1,1,1,1,1,1,1,0,1, 166
"[48]ruqvmhnzpqpjqulspnctgkpqeqcotpqnqfoqvquttysstvyb",262144,262145,34176,1,1,0,1,1,1,1,1,0, 167
"[50]zqqvnhpqepjqgtpqgytfxpxydcgoqitttoqftnyptttyvsqyob",65536,16384.7,27334,1,1,1,1,1,1,1,0,0, 168
"[53]ruqxyjfhrjpqoivppoqpfqptqpqnpppsqioqpnulqutyrlstttvab",16384,16384.7,32136,1,1,0,1,1,1,1,0,0, 169
"[52]rzlvnndqrsncyebmxgyzikoxghyaogouphphlnqfttttyypyveab",32768,32768.7,18659,1,0,1,1,1,1,1,0,0, 17
"[53]xrzmvxnorutpdtnqpnqfppqbpvlnnqdtnlqfgttpqlyglstttvrab",8.38861e+06,8.38861e+06,19990,1,1,0,1,1,1,1,1,1, 170
