genome,merit,merit_given,gen, seed
"[43]FElhyGulHirGuhLoHGIudiEufDDuazdDukitAowvmyf",32,16,2925, 121
"[107]xtGGLBocHLyIHqfjLqldIvcnvljCLifgAqfbDbkCJdFCkJqGjjredxJaIDHzHisCnIaytukDAhmopkhozeAjHbnnknaIyyJGwDoBveklLfj",32,9,2905, 122
"[74]HIvcAHCsyaujldofHgBnJkytBsJlGrsJDluyyuffBcekolEkHeGxbAJAmEidIrdkEyiChwLcGq",32,4,2877, 123
"[47]LLdiFfhfGahHLtloHFmwkdpdAEIEDLgfBtvsecDzlgqpDGF",32,4,2875, 124
"[67]bahrwxHhIkrLHrreapcvcLFoqFkydkdvfglKwHGLoCwJHGHvGCDLwHnjAAyajpbcsiK",256,65,3050, 125
"[83]FHniyAAfLgcLnItvspxyungyGEcGFGqFnwEClBrmFHyvJzyIxJJGwfwkeJjaeyzigcnIdoLHmoqFiDmFyFD",32,4,796, 126
"[51]GBwlLgcdopKmcojBpgHnLeDdaGIGgfloeHChAmKawAgaKqHloFx",64,65,3112, 127
"[57]HyfGpEvaqeakKavuAuxFzHJrGdplHaLnIoFFLcqBLGgohLhjnstBfGche",2048,65,2853, 128
"[77]wvaLoqjmiebbKEhoKHzdyLefLpkbbtnAwoovdilmnFGhoIieGAJGbCaHdzhhlsowefzxIvHjmmzpx",2.09715e+06,2048,2483, 129
"[50]aHErjguIromyhCdExfLBcsbAeBcHKLcocxGokcoqJFrpkBEroo",64,17,3062, 13
"[67]aFHGrbygEvdBqKEHfcmqckhHBsKclIHoHLaKLtuakJpBdJtKeCsuzfJDzfwdLBIocHu",64,65,2993, 130
"[70]FsmlEkpnvkLdrmfHwndEGubDnLsKhFCkbsDArvcnlgiDpcznwFxrzsnyrIljusheiLIxoH",64,65,2975, 131
"[100]fzGnLoHIHqlmlzILxuwqAFwkHCfEIwjsAEJcwHGJajltbddcAGImjtrKczyekaBrsjuAwdcuEjkzzyCaboGqjjnsejcyrAbdfcKn",32,32,2898, 132
"[99]oHGvcCLtzGCjrhgbxDInvxzsivxgeqiCEiqEbyBIxEFAdzKwgEIBvJhaLDxLBnmobGzyhdBHxAuepgaxxGHbqybgHpkscIHLneL",32,33,2901, 133
"[88]gqmjhavFeuLpIEboinovxpEbcJwkAEBftfxKtjhsalohLudoDAGcoLulkomvrejcfGdcBclDvAKoJHBInErgHGzw",2048,2048,2960, 134
"[76]FldHhLlIGnwcqlvsynnFHqkKkfIFpvBzHcxLGHcdBKcgEhxvoHlflulLbeefGlFqfgfaGEdBJCvp",2048,128,2982, 135
"[80]ermLclxwbqzgxcBHkxpCGdarEgBJcgrGdgrjmoHfFehbGchEhHexjgfutwLruFtopBcAIDkLHmdKzkEi",256,256,2578, 136
"[46]GvLbEtEGwbfcrHyzgznEzDIAcpicrgKthviFArqihcLIoH",64,17,2871, 137
"[69]xasrjelusnrocHEgfxvdEGIqydesDhwJJJmqFLmCJjmzLjkggzBdpmJIwnddrkHrcllLB",32,16,1151, 138
"[59]FjihLtzrxyiGGAufBHBxxmEADmbcsBJEpGcyjLnDBzBlGJxnrLIoHAoxGyr",32,5,2965, 139
"[45]ioApeIAflwGcepmtvtsLoHGArkIzHqurGByaprgapwJed",32,5,2868, 14
"[54]vfuxGyvngtjlGztEyBrbFiFHEudLIoHlwDajdHnjnaoroaqnKIJpLf",32,5,2880, 140
"[60]ryfuDLBpunnwmGEhflvoHzdInbiFHslhLeEiLDJbqlzEzjnvlAjxKcpCFnmF",32,8,2894, 141
"[75]tLcocHfyGIigzcHndFCaKyBbxBdiwKidEhwHznBtfxpGLBmyjduLIwvhcJdxocEugqbDEcdHJBk",64,4,2866, 142
"[36]ijbozldrBGirnexmeeFLHudvhfyzsLcmcncI",32,5,2978, 143
"[51]BocaywsBiFjgmviFFzfyhBwwkHGLoEIoHDrcfrajtLuiHKkfywA",64,64,2932, 144
"[96]srgmwDhmjagLfvfEAnmnDlbzmrKhHuocplGinzjFaudckiuLhoHDrjdibnvuBeKdogiIFcaoJiFHyzqosrmHwllJqeGgHDBE",1.67772e+07,2049,1292, 145
"[77]yxFAFLoHeGmIHqGhtKqHnoghKqAamCkAkjGrKiqeHKhffHFJgrvtfeEpkbIpvEDrqmFBKzyuJLtJG",32,5,2899, 146
"[103]wrsLlfGgnowjgllEyezplDFHdDxKBkuzBKBhLwinhsmupsaHGGcGocHLBjICbaqsndIoodpryHcEtBHCjnncAGqFEItgzlIjtBdLErE",32,9,2755, 147
"[30]FAhFatFgrEHIvHlLBoKguofBfBcGoq",64,16,3023, 148
"[56]LGyvfmpLhqhcDJHwDswdaDmacHmKqzHELAnbJzHJFfqfHemzLnbeILes",128,64,3102, 149
"[55]pLFbmtelwHsvlFIsHEDIGEyCAkAsfeDFfqcisjakLFoHhgdGgmwFqcK",64,16,2990, 15
"[90]aFihHiAaiscziIgEAHzgahzhtuevjKexvyuyfLJFoqnydwEKnkdEsfHrmkgLHealfxxndFLGzenvGgDdEJGipoqvpj",1024,256,2891, 150
"[47]msgzfpEnFghuiHjhBjlLEEsIGxoHDsFLstvzuJuIsFEmFmh",32,5,2954, 151
"[79]gfvGytcLDzDhLCnAgKFnCDqzJdqvKAhIhwaqcewpflyBapcloJrcBoKHiocIujLobfHbGyoDznBuLpn",128,16,3038, 152
"[87]HwwItgtHLcoocqvGdJjGpbCqmrpmAcznzdriyEkddwkdAwLtdarbrxrImmkfoeFJaiEEKayehqywkaIFFbqhxvq",32,4,2772, 153
"[43]gajaAuvklHcvdukLfItgecHwabhEnvGmLcnqaoKolwL",64,64,2976, 154
"[41]qoaaGbHanutncncuzLAIoHEDHIDGwnDewLFFeqqob",32,16,2960, 155
"[70]yhLHIsiloLxHLoCLKcHyezxsLoHoqJaaHisLoHGqhsAbKfnkgoDbceHcuLeBhGhweGkimw",256,256,2854, 156
"[75]psDosAhgbtjzEedgceLGoHsItHdxurFjqcGoiefFKnHCfCCqntppBibGEtjdqDrHFIApkiagGnw",64,65,2923, 157
"[95]ghHizIylrAmsoHGLqEuhrClosfFBtwzDqGdsJEudfAuAdrICjKyFqHnwrejoxhIzdzutcKwJzdsEoqkouxDCiaCaayEfhKn",32,4,2948, 158
"[103]BrtHEzbbeIgLyjGLhyhCcnxEcjFrzwHjgDBcdoHyGoihjroFJxEBuexoExxzzFnFLKoDjhdeaKEzlzspuAhdyHosGLEEeoqkdmLryJk",1.04858e+06,4097,2863, 159
"[94]myumfjzshhEDixkDLnuljefLoHGIHqrLkcCfCdFkssiIBcbJrKcuevvbduujLdyxwilkqsGKHhGbollAzsbqgzvEJewdsf",32,8,2870, 16
"[39]klLdcHatpeHGfnIeHdlvlgmEFzALdemocIFbxzy",32,4,3017, 160
"[36]njGfwzrezrLoHIHLEhjhfcgmGqfKrHJfieHa",256,0,3055, 161
"[70]iatbmcHAfyiGnpcFBcivxvaLFocHmmoEIHzDDfKppsHfHhvfgFtimrnfmrJHofBugfALdI",256,17,2813, 162
"[108]kBcgGAwGgGqifLBuoKHphLIHfnCebCmjCLsfihhapbyHnsFGvACvFFhukewdBuekLioKLvsLyvfgELDgDEJEjLrqFnofIAqxowceoCIlhFiv",64,17,2914, 163
"[77]aajtboKHdLwbqFioIkpEkdJmdJCyHIwyFruFqhsltGqvHHwtIJymtenlhpmktBrbmocBxGcnexnIb",64,65,2886, 164
"[65]gHLIGoHqcepAfccwHplssAGFsaDGosFhwhhCoqfwkhsEcCpvsrCkIrelncGgskjlG",32,5,2922, 165
"[29]yhkjhDeIFDEGHeAvmuwLumghIoHrm",32,8,2949, 166
"[36]qhzcFjwodcKHGmALojIahBLHnyrsFawiALcG",64,17,3246, 167
"[103]LzBtoKhveHhqDemhAgrcHAnlDpytsyfdqAnsLIhJAthwqpeztaneFIwjFFyLokcsqAGvFguDtelLxsendbgIxhdoAbvmGiqqsHbsFyc",64,17,3023, 168
"[68]GugGpqfaEwcqzDrhaFEpoodDEmBFrebDvDrAgxbdHrdwuahyAoIhLKlvLcHLcsIAocHb",64,65,2962, 169
"[43]nFALvswvkBGsndhsuvELoHewjFIaezBuosycebzalFH",32,9,2933, 17
"[47]wbqfHsvddffxKEbsvafcGoblbEHhfnflEfnIczLhzvfqboj",128,65,3045, 170
"[60]HCzHteFzuxideIDkfdFbmGBEsLrGGLyIoHoDDoxALdktdswHaGIhiqterGcn",32,33,2956, 171
"[66]LlzjAqAonfFvEoDGKyrqshdFsCkHtIjHFLqIrwCkilgzBnDmkFJfGupnLwvCDfJKEg",256,257,2549, 172
"[84]wlGvglrKnafkscExvyLfoLwlbcrLroJBHimlmbazsEmFLhIFozymowhalcmirGnncnCHbIbECbhHmvgmntrj",256,65,1029, 173
"[20]HnGxboLpzelyGLnIzgLc",32,32,2912, 174
"[106]DbofHBydLtesEjcwepaeztemamcoqpcbxtexfLnKiqraCbhmIgFoDogBzohKJJkshvhJkoDsxjmxcjAqnFCxIpxcnhakGLfdzkFwxcFrLH",4.5036e+15,5.36871e+08,1913, 175
"[66]cpbiendaHLfhdmGFGAoetfcEhIzmGHEcqFhzBKLLGwAjxEondHHxLoArGJoCaxyvnH",8192,32,2982, 176
"[22]uLGLhiqzuHzcBGtIBbhBEH",32,8,2969, 177
"[44]HhcLxLucGAjmqcpceHxkgayKLrcLcnIljbilhdEbggnA",64,16,3092, 178
"[95]lsxBdtHpuAbypaFLoDvxGpCDCiDhdslvfIbvacEFdChFbivynqAHKuxhlsDrvrEKeHsFoFkJxaCiqujGkjuFqjcLrhcfbwo",2048,2049,2856, 179
"[98]ABoKLvHveCCcxacHEaHgxiIGqABmCyxjsGnDvsoEhKCBetdHrKmHAdffcoqpdDdfcsKopxfcuzpcGtHxBlewruudoIedocHhGL",64,9,2911, 18
"[78]FcdlxwlthaaftHLIjHaeaeLoqADakDqahIBHedEKAloiDjhdcnJvobHmLcGCyxdnyBtomGEBkoCjJa",2048,1024,2068, 180
"[66]wkmdhoefEoBdyvgdlzHFncEDuhAtdmiidGKtyEDjhmxivLIGCdoHCywEaneDsJvLrd",16384,2049,3177, 181
"[92]ilcniLsAriHjrLIGfHGnmBcGoqygDhEGuFFwcyfzpkjKokgHadmHAcGbfqdjyEsuGlliJnCafnuEreuFrBKvoiFIysvK",8192,32,715, 182
"[102]mzjwcrwgjvHobEkFrGpbiuemeelLmgkicxnwiLoDlJldpiuoFEGdoeItrnfEhwjLfyfbxspblcDowJwjtbHlpzznKjozxDDjgyBtma",65536,2049,2470, 183
"[21]uHIbjFpbznHEwygLBoIGh",32,32,2987, 184
"[37]GGlciLcoIHAIGnasHhEvzEeEcFcqAecKAfHEl",64,65,3023, 185
"[104]zxnrdGjDotCcclisLfiuFGjEHDncnlwrAxizhbyCGovkItunhtIDDGmwLdqHfLcvpqoctmxGqpjFsyvfhwzHFyELoCFeKHpbxxLoHbLI",64,17,2848, 186
"[105]wdCKcCxIxewhwawkmaomDccxLHFbkmFbrEtccacHhJkcooLxCqecxqBccryckcnckGFiGcdcxcgjBfrFacwccyCHccALcmFGdcoIkccxG",32,4,215, 187
"[67]gwcaknuunvGtfpqgLhoHIEDqxucmdgLkDremGusavfwxHLfhnimrDHuFuooHgKbgtrD",32,5,2903, 188
"[97]iGhlGlHvbdzAgbAAnyxBieEgbmkIeotvGkpzGFztLoHoqvDzxblwgbfCzDCHzxHjAbhjhvAjKvHLBoJLLBEiqxGByzlLsIfKj",4.29497e+09,2.14748e+09,1068, 189
"[32]hdnktLnBoKiazhGjHfpGszhofqrtfIHu",64,64,3180, 19
"[53]asrmjjpnzaLgzGFhimxurEEoHzDJGplIADwLjapzmrKIyoExdouIH",32,16,2933, 190
"[94]ytvELtcxHycnngrxLcpxoKfoadvwsBrencnCbdpaoczocFzGhcpzrCGcExobuEuEIjavqffbdIesditkLJfxkmbprLuixm",2.09715e+06,65,583, 191
"[80]nocGfrxykLoHvGhAtIsHFqoHBwbBqdLGIdgFvsIedhqEEcLhqiesJkaoxifaHgwCuuEjoszbFqyKhgto",32,4,3021, 192
"[80]LnEskbeFlAhutzLHoILcsoILyujerFfqpdHbvGHKpDpuHvtnIGDLLqjflHakFcvplpKrJbiFhhqjIoqr",2048,257,2890, 193
"[102]GvfCHqlpmLbplAcsDgiJrdbEmxButvJtmxznAydrwABvaarvAHcxawsBwAhKIchdletmmgICifGfmwFLvJBcFdCafijlHaFLItzvoH",32,9,2890, 194
"[81]ckkcexhHbGtvztmwocHgtdEDHLrryerLjzrAEjwbbwzewLEfgrxcIBqdcIxdinitLvagGalBqAsvmLwqI",32,16,1928, 195
"[82]oDJFpbsgnHLoHILiboEoHGeebofDxipmzxvcngnfHdlmcBfLquzzFlcpgCyAsmyszJIhscxKrEmxxHgrLb",131072,2048,3054, 196
"[98]tHLylcofbKoIqqdIGKEeIoysmGedCryyvbsdvvmajeEJAmALsehyItutesIjDAAvxAKselCpIABrIzunslBAurhFtyexuuiboL",32768,16,3294, 197
"[85]oEmhscatvghvkffHcGldGLckLirdmcncICACeqlfsAqFCmxDErtfsewkBjoIiEzdntHsnAuryjwAJqvApwknc",32,33,1420, 198
"[105]LvvdgadLclioCmHfLjdnxkthwDFIHqakngBwEdhgADfqaJpqvzgCBquGuJgocBAefwdbKHpvErGmHAGcLhAjcxlFFoHKeGjptqzHemqhH",2048,64,2771, 199
"[62]hcDHzamFIguvleckeHLcljGgaocqliIlqfnHKqvzaxeLihnoCJErbABaruGxnL",64,65,2835, 2
"[88]hcqbkydricoFmwHDtDmIErefkFAbvwuekgfAdwLoDzsykKFFdhEDscFAHFdckbFmdlygLoBcGABoJBipJGdzfAuk",524288,8192,1997, 20
"[41]BjLGmvocdHAFkvLsbsgDdwExwdniyFxGhkhLptzIH",32,4,3026, 200
"[97]LcGafwucoKHIHBwbqsGxCacGDtCFnvAxEqKjBiagixesaFKgbLIqiHlHcCjrpxGngbGBbtprJKDDfsCujttiwHIfJExJpxlwn",256,256,2956, 201
"[72]GteFDjGiekafmwoanHzboEDpesHnmhswwiKdyFnjqwJxIurGAdHLcocCoiLpgEtKHLwoHvhn",64,65,3015, 202
"[105]bpyGBrkFuzxDcpArkbGvrliHwIrtoEbepshbrgakoBeHtltftAxbgJAcwdLcyjkmLzrvyzlmEcbobsusGdufwFurmebdGoyehncyKyoCm",256,256,2323, 203
"[23]GLFBmoKcHiEoEBzykrpEIHG",64,0,2989, 204
"[106]kBlrigfiinjLzmiGAnCycGlfcHrBBcIHqivomExJooAflLvGHBaoHuiheeyyJAxcGLcvmwmnsiaypuxmAkcrlFrgupnaKkGkHDcakbBzox",4096,256,3173, 205
"[92]evgcLGzBkocHIHCAAbyphhmxoqLEKIurHczdEogkKtakskBdCJcBtHuoGtcHmxtkHjiBlsjwbyJBJggitmABlbjEunaz",32,17,3015, 206
"[65]vrxFnHrIwdHyLoCFpFBEeroKqvitLJjEDrwasgwcjuKzIItIDIwjzDsGqEewnFfuk",512,256,2689, 207
"[84]wthmeLEjLxoHGrxaybGgDyfDLtmIFHnqJKghvnIjdhprBExvJdHaLwzvsGxIKEsmpxKIyurIjcpjosgpooHc",32,9,2904, 208
"[23]LsEoHAGEomcuggeIrzcctxH",32,4,2993, 209
"[56]nLgxjGElxwcqfwlExrivKHufcwrwLhoHGxrtswcGnEyCdaggaFInrayH",64,64,3075, 21
"[91]bhsthcpJGfBcquiltwbuxLilccGivoKEDucdsohHmcowsphBGcvcyGCIyEhEkmIommGAaArLHzgIhbpDgdcHBLczLjl",64,64,778, 210
"[88]HijljwLtshezewwGEDxhiCogfvvuimCBfroEyIDIEKIDHCquzHznIHacHtfuKHoHxGqdJukdepbombijdpodFnHm",1024,33,3003, 211
"[91]oscLABoKHBgFozyBtIGHhzoxcCuspIsJtilrcFEfbucmILahefnkFwhIgLcCEimjhFCpoaJpractAxoprLyAnnmIqBb",64,16,2992, 212
"[73]rAHLvfCyLewnzKHvbByyhJzBabAIAekofHvapyjgzudblaLqJvEtKpzfocavtKhscGfsnIcLB",32,5,2879, 213
"[108]HrebltrmiLjywwjjGAwLmGnIHEbCKhkvHyJeInghfcpxCbgDAeaaBxoahbvsiDEFxkmfJmnoJEtKkBApycdEyIpniHaGdisiDdkqBykDdKxn",32,16,2906, 214
"[57]HkedguhdLcotILHoKhLHovdovkhfpnGqendwasvsJxgwnoGHLkpjronhg",131072,128,3183, 215
"[59]rrDFyrwuFgrFsAzoeEdphoewHaIHkLoqooKaLHcntoHgfoebAaGLqcfGJyf",32768,2049,3145, 216
"[100]veqCtjshbuvghCHELvsJJhnnyvcvcflojfenCBFAvAgEvbHLfDsEDduuzJeDzqxKLiEtxbvInHKsjeykfyrfeLtwDGHGIvGoHnLq",32,8,2910, 217
"[102]lCsjLauaDrcKsmgDkpagxchiqIacKLjsCqkojtFmHLsdDEygfqoyGoCfeHlcLhzGanICityApDHcofkpnrEkLbIlwLiejsDthECavs",32,9,2794, 218
"[81]dFkztvAhLFpdEzGtiGEgDKCwtgkwufBvrmdGAsgHncEjrnLgdgxxIoHnDivxlIAAvpjFAuGGtegiHKjug",64,65,3060, 219
"[97]veqmFCcuhBDgnzAjAanFeouAHLuxrJKGjmsnnAGoupzpAwyfmhEpwAnBFrmcKyELDGrlmCtCaFzFkjnmIbLHktheoHrIHGFyL",32,9,2935, 22
"[74]nuvBcwHehvdmoCvKHhHGtuaGCElogckIctDtkGnJLqILxaHncjCrlBAdlkDrHciAcrrdLlnIGp",64,33,3026, 220
"[63]gbHfciIzHzhhfzvvuGaxdFFBdGLFoHlqfKCHctfvgwwmewHqaluDvlsEyGxqljd",64,65,3017, 221
"[55]FbtwdmAHLpAuDcaBaLbGupJEDgebBzxLlcCjjCsIelexEtFkLmIoHfb",32,4,2933, 222
"[65]KubBxJvihlgljGLBijbgleEHytlimwpnprDeyaoBhrdAvaaxeqKrAGIKifELIoHsk",32,4,2910, 223
"[94]mtDhcLoAHIcccFLpugsxcaradBceDdlfsvcgvBnficdygccqjHLcaybccodcKqGIJxcrGmwnoEmcrJcwFkArorCqIKwJjw",5.49756e+11,3.43597e+10,402, 224
"[71]azazsyocHLBIApBAjHGCLrsFDpwmdHGgupoytBEAHqxqhLmHxHzJguegcihtzcLCIokssEL",32,32,2852, 225
"[79]tyvfrDoDoqaKianwGymrpylkHwuEzADuJzvownzwanBFfsAyolGAHgkELsssEffpvgsABcGLoHLIztH",2048,256,2911, 226
"[60]rClwAtDDrnwhEfgzlhunFwvEzLoHxGIHFCibsDpGsfhsoDqisBpBKzDKAJDs",32,17,2906, 227
"[59]FELGqpakytuHhEAgLDdbEDunxJhiAJtkLxnJILqaKwnhaBryLadABIxgHsk",4096,512,3025, 228
"[60]AzAyryrLcfnnwoKBouHrwphnGoshGfrxLrIoeorhAsBylxEuhcedAyGqDoLH",64,65,2951, 229
"[83]uDlreAHtGmiLcmcxttlAspnvehyhhAFteldncIqsGplEpbGlpcgEtLzjGiynLdmlpHFmHqdndIgFurybqfE",32,16,1554, 23
"[87]uualysbgLGmproHufnxLfAijxFwpCnnotizcBpdaulBIHEkDtthsHheBBHnlKltvajhFpHbnuoKnlwtsImwgpGb",32,16,1458, 230
"[89]yrfpvtcwLyAbeJLwxmfLfKkuBgtlsfEEzBcFpdozHhdGlpewkbaavkandLvcoDlfICuEBxEhGypfnfBJFhgfaeapC",1024,1025,2561, 231
"[35]BtvxGFdGBLcroKHBkoxxajmGqwIxEkpohLH",64,17,2944, 232
"[97]avdodwckvlyojtydzwjAsevFtFLoHsiiEyGaBdoFCchfagepbBIFdLHppACljjKttupkyBiDkJwopkecyodyuskumfHABsGBd",512,257,2924, 233
"[96]LcoiocHeCInCenkuwFwdDILzFknejycIabGtFCIditthkkKAslazGozmDkCGdkryIcwslnkrlLHGjhzimbotBxbkzslvjsfG",32,16,1220, 234
"[56]eAhGdjuceAovtprGAubusHklctzcLmlIkfBLohLciocHxcqKsgAgxxGz",64,16,2943, 235
"[106]ejyyzeoapDlinmwwFxHbkBGBIEEksgwmFzgwyHLoCzblnkctKdmicyEpkxmdAtrgHzmLzFpHyoqhnjgljFyrnJhtyhmyewgzdofsArGnoC",1.67772e+07,1.04858e+06,1747, 236
"[51]hiHudknyILpmmExGdhnfDwbKgyHFowsEiGLseFyoHGgaeCqgbLk",64,17,3102, 237
"[93]txGxblGHcgLIoHiCpookILqexzFHnrJyDrexvoabIedrxLDtbLfkzncxAruHoEzGtzrsudiLwlyDdfHDuhrdvbqwFaDch",32,9,2918, 238
"[68]BBkcLsldGhjocHLodJuEzepgHGmLLgyLclwnLlndIgdidxcqKuwxAHeoaLGFJgdazxdL",512,256,3169, 239
"[72]rsygsaAlGjHyvfaesvGgFFELDImwpgFujDxLEcvrKDuhmErIoHDudaJkvBEkkubuCuenFFgs",32,16,2933, 24
"[100]GFygEmjzBgHLvtIrswBgGmqymLhyxyAEzcLHDLrAtcpanHvpqHEqrajkLnbmqAdnbqGHueKpqevbtmisELlnzApyGhzvvzbeoJhh",64,8,1836, 240
"[73]nyGgiukFAyDkhpGEiLbyipgGesLovfvBGBLcyFcgttHLDInFELCshajfBtHniinnEzKusHLoC",64,64,2794, 241
"[19]GLgoHbhrLcxfvoKHzyE",2048,16,3023, 242
"[106]rxoivvyvcEHyoIpELyaBuFocqdfEEtGEuaAwtoFctmKnbEbhkHhavrwLoGoBLBhcJyqrAEDyHxLmGhIqscDrmEoqsLfgbcEfLtoEElbFya",2048,129,1392, 243
"[84]GnBivmvjliGpdpeyqtEchjFjABzGoKHEEusjaLjtkIbzDKgvtevlKgpHknIEkLBzcrblDrvsyzbwHtLpvdja",64,8,1245, 244
"[89]GFcDybfFGnzncicBEcLcoBAxliDkEHqLHvAiujHqvtLtdJkzcKGJJHcIHAlJuKwaxmtyDisjEtsfyBfFyHuCrrnAd",512,256,1952, 245
"[108]vfkbCFsdnDehBllrHCosgbfJHyEhjDarnBjyotiroqbwAFbbfApJqAouKCDHjLFyBaztDyLbxfHxtGLvhasdmgAcanIAiEdLcLvxxzmjzxcg",32,8,1411, 246
"[56]sdjmlwrGHmbhAjycEfLLvmjxLcIgatocHFdBqfGuzAALFFFHddfwlKAa",64,65,3105, 247
"[40]bEgBaEqwfGzhyxysAHhmkIubxeHrkEbgcdLnKsbG",64,64,3100, 248
"[100]mgtgpuqbLlrcnxGlocpGhhuBoKwcqHBeCkhCoqijLgHsGoznoybgBhstjBEsaqLquieBIcngoEprFzbHAGpbcDhxcdxFzhoEEnpw",64,64,2723, 249
"[48]jdmdbElylndEhLDBmwqsKdGkBAFGGoHGIpkzemfyHzFBuane",64,64,2966, 25
"[89]rrBGFticactFEDHJrHmsiAwwbAApttizLEoHmeDdndDKhejiyDJedswpzCHltJkgkKvKhxjkJLlyIclhefcHymnls",64,64,2992, 250
"[70]HiksppdncDvmamIulamorAzwLoHGCggtdenzKoEkDEBknKhijotIuwctkhEnvxnsakfLEg",32,33,3056, 251
"[65]itcqcDCzhHDfBafBKaetzmEvexbGhJhnCvhvmFguyexdHKlrcGgdcHtehkLEmcIoH",64,64,3066, 252
"[103]cAwnuxFuzLHvhglfIpEEhvxccDvjeBgHwvlqrIpGwhEkfwsrsrgGLcocHEqKHqfkHdybtAtioLwbqpmeqjcttDqbzqJKuuEDdAFhIIq",64,64,2936, 253
"[67]uybGylcGdvFmtejhfindFcjjocHxEdHDpexAjqbJncpeiCfpgxkkqzAgfzyvLBnLIyi",32,32,2934, 254
"[22]nswlGvjkyLBjBcszzHxLnI",32,9,2847, 255
"[31]FmavdkrLbawHbFfnLmLBsGLIocHiaoj",32,4,2983, 256
"[73]xyyLarysrwDqarexDskiHejIegyobsExLzoHGboCKheuHuooLbGLeoedHeqaluAetJJzhapfx",2048,64,2905, 257
