genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[96]epeSnlkclhoGtgvuPIwOycnPgtvrrMcpMbScczcPbJravjdAyPQnbcfAcHntcQLMLBLcvwQNccOcKoaFtAOAorwzPufFghBE",6.71089e+07,1.04858e+06,466,35,9,2, 160
"[52]tilLMKdOHnHrhEGFRqfDNECoIzuKONQbRuLzbxxIaHMPQmizgLRG",64,33,2869,6,0,0, 161
"[81]NHEtRhHAaNOclBbRoJoAxFFbSEFvwMDiDleHesqIuhaKylnhBAxSGyqELIwRnOjPKxfEzFBamERBajevn",4.29497e+09,65536,1486,59,27,0, 162
"[80]elennbzGcvNpHApLOILNjMSyxylavOuQsmKaLvOkmxusHLSDtvFayKaSCcKRbKIBphwNIGLqAGjrJqhJ",2048,256,2798,11,0,0, 163
"[102]DGsbqLgaezccfnrbfiLhoNzEQGkHLIRPNHMifPKbxmnKeMQPdyoMEgDavvdKumwPIhbRDySMRkrSFhJMAHjrFfvtrOidBfMyPmIyRM",2.81475e+14,262144,1200,88,40,2, 164
"[65]gHPiLBNNcQKccQKOyOIkizsMiOBMhyfcbLgsjszaopujfdBFBxecLgOMuGaEEflzq",64,65,2834,6,0,0, 165
"[96]sQBQQoGHgQbabHrridLNyQuzzrgkLSShJhCaSLGBjSkvNoGDBHAEwIryRkDioLnfIOoNHPKLBRMOwNerjwPKjQfchEPQvxfc",1.71799e+10,1.34218e+08,1459,42,8,3, 166
"[101]SMzLoFNKJiSHAeCieHkrPraEeRoBifJlpAtLoysLJdBmDGdtlqzNFqwwmCEKNEsuARAOIPlaBoPvpIFpabEeLnRKrHjIddmHyEpsG",1.04858e+06,129,1327,20,0,2, 167
"[41]RckBRiNkHoOgOBktxGCfuLGLczbeMAySkLOOIHLOK",512,64,3051,24,15,0, 168
"[105]ilxRcPFesAOcRpOwdOthGPHcRCcFsHveLIraSnnPODPQRFobMRHKfgNfDFyEvFaGCMkSjxldEddJLRxxlGlKbvrQRPDCztFmbbfuHlBJn",2048,256,723,11,0,2, 169
"[91]BftmgrjtMsHlcQxfocyfciMzaGLNinIPJGqfSryQeecmHpEKaqqzvFIQxuHwQjzyoIFefGnkgSsGiHEDmSqDfCHSEMl",6.71089e+07,65537,1299,42,16,2, 17
"[67]PSBMdpgldvPdtbrNGmaMacdMQCOoKAHrLcdrgSsubyBcaoRGasEhcLOOIgNJHdpualL",2.68435e+08,8.38861e+06,2018,36,8,2, 170
"[65]fyiwoKtBcHNvDMbEIuasMHmfHasmjyNJRengOPQSQGQrcmifzMnawLNRIzofaQrbt",1.07374e+09,8192,2524,52,22,0, 171
"[93]fmBlQscLifAlPGbkeahaPgHQMPGvmLAgwLIxcMQfHPKlRlzaoCnyzHJECoJIwEzerCylyxqrCuFNMteynOlxxedrJCajc",6.71089e+07,6.71089e+07,667,49,23,0, 172
"[97]EacOLcSGcANJHfNyRCIHGquIOOdEeyHpbxgzhLFSGhOKDjpMNzNNFMQpfOqyGAvdkLEKaNgAyNkSROwRBjHNNuEBPrmzththA",6.71089e+07,1.04858e+06,2129,26,0,1, 173
"[107]jbjPRDtufepskeAghdwElDbzhFadDDcgsGzADxIuQBtgdBgALOKjLGoioJHqpoyGaOAzPMvDIFRJRtnmoMmByhMKGAIovjiNvxoNHjdMmRD",4096,32,888,18,6,2, 174
"[62]opADvsHeGIkwjuHLcAoriScMhaygjoEKfzcAAhiPxAyqikvhjBKKRcGlAjqShI",16384,1024,2280,14,0,3, 175
"[93]ykmufgsGBgtumnELyxnLNLcnvObKQtutONOoardwcHMHmkdGaysPEpdIixNILkaOJFuGMPqzhGFpgcauuAzoeHslanzON",1.67772e+07,17,766,27,3,3, 176
"[91]PkAzzxnfEtabvAPeRjHAIHgnLSpBKRneHLzxLOPHldsfGoSAukkMRoymmyFdbOldJGHQtabnESJFyzgGcmIFaacmKjO",1024,64,1739,10,0,2, 177
"[105]AnQhwHsIFuyEronPyPubGotjbRlPADuNKrNuLFevxnawFDAjEISIogRqtLlMgPENNRJGPQHLzSAndoSacgjcKSHfgdRNtzcghChHtJAgc",2048,129,1139,11,0,3, 178
"[90]xicMtfMzcsHLNPaAAIHSxQkQmgGGewcDhshLwbndLoFCxJjNwyDdGmmndwdoqPuPfFIeryPceRgMPuQGJFjRyqJKbh",2048,256,2663,11,0,0, 179
"[100]HIneokBRjwrcuvlPxQwuBbcxOxEHDbPsLtOncPMjNCxrrFERKNlyiefrSHgSzlhwjGzGlGPnPnaEAcPgjLDcPqRpHSJgCciayMid",1.04858e+06,1024,560,20,0,0, 18
"[92]HGrfOQPvfOovozrFtPejIlMQvMbxhPexcLpMALGMbKHNNdjEaQmSENhocaAfnycvLoHPDchoqJHOLNHPtGScdpsLEysQ",8.38861e+06,1025,1755,27,4,2, 180
"[94]wyPnbGNMsmcsPrltvtAdptsREHDhDpfDiaMmlozcmpodRxBOKERczwmnDjwwLLSjxJhyicaLDkutAbOhhLIdNHgQDjhalG",32768,8192,2538,15,0,0, 181
"[89]djGbNPOeDBAjHibEbodyzptthIrtrmnRFobBypjwLLxoecLrGpvjoELGMjMKOdEQksgEdzkHGondpwukymcGFsDPk",64,32,2899,6,0,1, 182
