"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","seed"
"85",84,"[18]HcAHxGnJHqKHqaIebJ",286,0.99308,18,289,2,287,2,2,0,2,2,153,153,136,134,1
"86",85,"[18]HcAHxGnJHqKHqaIebJ",290,1,18,289,0,289,0,0,0,0,0,149,149,140,140,1
"87",86,"[18]HcAHxGnJHqKHqaIebJ",293,1,18,292,0,292,0,0,0,0,0,131,131,161,161,1
"88",87,"[18]HcAHxGnJHqKHqaIebJ",295,1,18,294,0,294,0,0,0,0,0,140,140,154,154,1
"89",88,"[18]HcAHxGnJHqKHqaIebJ",291,0.996575,18,292,1,291,1,1,0,1,1,137,137,155,154,1
"90",89,"[18]HcAHxGnJHqKHqaIebJ",286,0.983051,18,295,5,290,5,5,0,5,5,147,147,148,143,1
"91",90,"[18]HcAHxGnJHqKHqaIebJ",296,1,18,295,0,295,0,0,0,0,0,146,146,149,149,1
"92",91,"[18]HcAHxGnJHqKHqaIebJ",289,0.993151,18,292,2,290,2,2,0,2,2,129,129,163,161,1
"93",92,"[18]HcAHxGnJHqKHqaIebJ",302,1,18,301,0,301,0,0,0,0,0,150,150,151,151,1
"94",93,"[18]HcAHxGnJHqKHqaIebJ",304,1,18,303,0,303,0,0,0,0,0,158,158,145,145,1
"95",94,"[18]HcAHxGnJHqKHqaIebJ",299,0.996667,18,300,1,299,1,1,0,1,1,152,152,148,147,1
"96",95,"[18]HcAHxGnJHqKHqaIebJ",286,0.996516,18,287,1,286,1,1,0,1,1,123,123,164,163,1
"97",96,"[18]HcAHxGnJHqKHqaIebJ",303,1,18,302,0,302,0,0,0,0,0,149,149,153,153,1
"98",97,"[18]HcAHxGnJHqKHqaIebJ",298,0.996656,18,299,1,298,1,1,0,1,1,143,143,156,155,1
"99",98,"[18]HcAHxGnJHqKHqaIebJ",295,1,18,294,0,294,0,0,0,0,0,134,134,160,160,1
"100",99,"[18]HcAHxGnJHqKHqaIebJ",305,0.993506,18,308,2,306,2,2,0,2,2,163,163,145,143,1
"101",0,"[21]HcHxvnJHqKHGqayIHmjJr",314,0.996825,21,315,1,314,1,1,0,1,1,159,159,156,155,2
"102",1,"[21]HcHxvnJHqKHGqayIHmjJr",312,1,21,311,0,311,0,0,0,0,0,145,145,166,166,2
"103",2,"[21]HcHxvnJHqKHGqayIHmjJr",328,1,21,327,0,327,0,0,0,0,0,170,170,157,157,2
"104",3,"[21]HcHxvnJHqKHGqayIHmjJr",321,1,21,320,0,320,0,0,0,0,0,165,165,155,155,2
"105",4,"[21]HcHxvnJHqKHGqayIHmjJr",329,1,21,328,0,328,0,0,0,0,0,178,178,150,150,2
"106",5,"[21]HcHxvnJHqKHGqayIHmjJr",292,0.986622,21,299,4,295,4,4,0,4,4,138,138,161,157,2
"107",6,"[21]HcHxvnJHqKHGqayIHmjJr",307,1,21,306,0,306,0,0,0,0,0,142,142,164,164,2
"108",7,"[21]HcHxvnJHqKHGqayIHmjJr",311,1,21,310,0,310,0,0,0,0,0,155,155,155,155,2
"109",8,"[21]HcHxvnJHqKHGqayIHmjJr",327,0.996951,21,328,1,327,1,1,0,1,1,178,178,150,149,2
"110",9,"[21]HcHxvnJHqKHGqayIHmjJr",318,1,21,317,0,317,0,0,0,0,0,163,163,154,154,2
"111",10,"[21]HcHxvnJHqKHGqayIHmjJr",291,0.989865,21,296,3,293,3,3,0,3,3,139,139,157,154,2
"112",11,"[21]HcHxvnJHqKHGqayIHmjJr",320,1,21,319,0,319,0,0,0,0,0,161,161,158,158,2
"113",12,"[21]HcHxvnJHqKHGqayIHmjJr",317,1,21,316,0,316,0,0,0,0,0,159,159,157,157,2
"114",13,"[21]HcHxvnJHqKHGqayIHmjJr",323,0.996914,21,324,1,323,1,1,0,1,1,180,180,144,143,2
"115",14,"[21]HcHxvnJHqKHGqayIHmjJr",311,0.996795,21,312,1,311,1,1,0,1,1,156,156,156,155,2
"116",15,"[21]HcHxvnJHqKHGqayIHmjJr",310,0.996785,21,311,1,310,1,1,0,1,1,151,151,160,159,2
"117",16,"[21]HcHxvnJHqKHGqayIHmjJr",312,0.993651,21,315,2,313,2,2,0,2,2,162,162,153,151,2
"118",17,"[21]HcHxvnJHqKHGqayIHmjJr",311,0.993631,21,314,2,312,2,2,0,2,2,163,163,151,149,2
"119",18,"[21]HcHxvnJHqKHGqayIHmjJr",314,0.993691,21,317,2,315,2,2,0,2,2,162,162,155,153,2
"120",19,"[21]HcHxvnJHqKHGqayIHmjJr",310,0.996785,21,311,1,310,1,1,0,1,1,156,156,155,154,2
"121",20,"[21]HcHxvnJHqKHGqayIHmjJr",322,1,21,321,0,321,0,0,0,0,0,158,158,163,163,2
"122",21,"[21]HcHxvnJHqKHGqayIHmjJr",318,1,21,317,0,317,0,0,0,0,0,157,157,160,160,2
"123",22,"[21]HcHxvnJHqKHGqayIHmjJr",329,1,21,328,0,328,0,0,0,0,0,187,187,141,141,2
"124",23,"[21]HcHxvnJHqKHGqayIHmjJr",306,0.990354,21,311,3,308,3,3,0,3,3,159,159,152,149,2
"125",24,"[21]HcHxvnJHqKHGqayIHmjJr",323,0.996914,21,324,1,323,1,1,0,1,1,167,167,157,156,2
"126",25,"[21]HcHxvnJHqKHGqayIHmjJr",315,0.996835,21,316,1,315,1,1,0,1,1,163,163,153,152,2
"127",26,"[21]HcHxvnJHqKHGqayIHmjJr",326,1,21,325,0,325,0,0,0,0,0,176,176,149,149,2
"128",27,"[21]HcHxvnJHqKHGqayIHmjJr",321,0.996894,21,322,1,321,1,1,0,1,1,166,166,156,155,2
"129",28,"[21]HcHxvnJHqKHGqayIHmjJr",310,0.996785,21,311,1,310,1,1,0,1,1,158,158,153,152,2
"130",29,"[21]HcHxvnJHqKHGqayIHmjJr",309,0.996774,21,310,1,309,1,1,0,1,1,157,157,153,152,2
"131",30,"[21]HcHxvnJHqKHGqayIHmjJr",294,0.989967,21,299,3,296,3,3,0,3,3,138,138,161,158,2
"132",31,"[21]HcHxvnJHqKHGqayIHmjJr",320,1,21,319,0,319,0,0,0,0,0,159,159,160,160,2
"133",32,"[21]HcHxvnJHqKHGqayIHmjJr",302,0.993443,21,305,2,303,2,2,0,2,2,146,146,159,157,2
"134",33,"[21]HcHxvnJHqKHGqayIHmjJr",308,1,21,307,0,307,0,0,0,0,0,141,141,166,166,2
"135",34,"[21]HcHxvnJHqKHGqayIHmjJr",332,1,21,331,0,331,0,0,0,0,0,180,180,151,151,2
"136",35,"[21]HcHxvnJHqKHGqayIHmjJr",317,1,21,316,0,316,0,0,0,0,0,159,159,157,157,2
"137",36,"[21]HcHxvnJHqKHGqayIHmjJr",319,0.996875,21,320,1,319,1,1,0,1,1,168,168,152,151,2
"138",37,"[21]HcHxvnJHqKHGqayIHmjJr",322,0.996904,21,323,1,322,1,1,0,1,1,176,176,147,146,2
"139",38,"[21]HcHxvnJHqKHGqayIHmjJr",315,0.993711,21,318,2,316,2,2,0,2,2,167,167,151,149,2
"140",39,"[21]HcHxvnJHqKHGqayIHmjJr",286,0.976589,21,299,7,292,7,7,0,7,7,145,145,154,147,2
"141",40,"[21]HcHxvnJHqKHGqayIHmjJr",311,0.996795,21,312,1,311,1,1,0,1,1,154,154,158,157,2
"142",41,"[21]HcHxvnJHqKHGqayIHmjJr",320,0.996885,21,321,1,320,1,1,0,1,1,169,169,152,151,2
"143",42,"[21]HcHxvnJHqKHGqayIHmjJr",307,0.996753,21,308,1,307,1,1,0,1,1,146,146,162,161,2
"144",43,"[21]HcHxvnJHqKHGqayIHmjJr",327,1,21,326,0,326,0,0,0,0,0,175,175,151,151,2
"145",44,"[21]HcHxvnJHqKHGqayIHmjJr",319,1,21,318,0,318,0,0,0,0,0,160,160,158,158,2
"146",45,"[21]HcHxvnJHqKHGqayIHmjJr",322,1,21,321,0,321,0,0,0,0,0,168,168,153,153,2
"147",46,"[21]HcHxvnJHqKHGqayIHmjJr",316,1,21,315,0,315,0,0,0,0,0,150,150,165,165,2
"148",47,"[21]HcHxvnJHqKHGqayIHmjJr",319,1,21,318,0,318,0,0,0,0,0,161,161,157,157,2
"149",48,"[21]HcHxvnJHqKHGqayIHmjJr",311,1,21,310,0,310,0,0,0,0,0,146,146,164,164,2
"150",49,"[21]HcHxvnJHqKHGqayIHmjJr",307,1,21,306,0,306,0,0,0,0,0,140,140,166,166,2
"151",50,"[21]HcHxvnJHqKHGqayIHmjJr",330,1,21,329,0,329,0,0,0,0,0,172,172,157,157,2
"152",51,"[21]HcHxvnJHqKHGqayIHmjJr",306,1,21,305,0,305,0,0,0,0,0,142,142,163,163,2
"153",52,"[21]HcHxvnJHqKHGqayIHmjJr",305,0.993506,21,308,2,306,2,2,0,2,2,155,155,153,151,2
"154",53,"[21]HcHxvnJHqKHGqayIHmjJr",313,1,21,312,0,312,0,0,0,0,0,151,151,161,161,2
"155",54,"[21]HcHxvnJHqKHGqayIHmjJr",310,1,21,309,0,309,0,0,0,0,0,145,145,164,164,2
"156",55,"[21]HcHxvnJHqKHGqayIHmjJr",321,1,21,320,0,320,0,0,0,0,0,164,164,156,156,2
"157",56,"[21]HcHxvnJHqKHGqayIHmjJr",311,1,21,310,0,310,0,0,0,0,0,148,148,162,162,2
"158",57,"[21]HcHxvnJHqKHGqayIHmjJr",309,1,21,308,0,308,0,0,0,0,0,144,144,164,164,2
"159",58,"[21]HcHxvnJHqKHGqayIHmjJr",319,1,21,318,0,318,0,0,0,0,0,149,149,169,169,2
"160",59,"[21]HcHxvnJHqKHGqayIHmjJr",324,1,21,323,0,323,0,0,0,0,0,166,166,157,157,2
"161",60,"[21]HcHxvnJHqKHGqayIHmjJr",315,1,21,314,0,314,0,0,0,0,0,148,148,166,166,2
"162",61,"[21]HcHxvnJHqKHGqayIHmjJr",322,1,21,321,0,321,0,0,0,0,0,159,159,162,162,2
"163",62,"[21]HcHxvnJHqKHGqayIHmjJr",328,0.99696,21,329,1,328,1,1,0,1,1,191,191,138,137,2
"164",63,"[21]HcHxvnJHqKHGqayIHmjJr",321,1,21,320,0,320,0,0,0,0,0,162,162,158,158,2
"165",64,"[21]HcHxvnJHqKHGqayIHmjJr",313,1,21,312,0,312,0,0,0,0,0,154,154,158,158,2
"166",65,"[21]HcHxvnJHqKHGqayIHmjJr",322,1,21,321,0,321,0,0,0,0,0,170,170,151,151,2
"167",66,"[21]HcHxvnJHqKHGqayIHmjJr",306,1,21,305,0,305,0,0,0,0,0,137,137,168,168,2
"168",67,"[21]HcHxvnJHqKHGqayIHmjJr",320,0.996885,21,321,1,320,1,1,0,1,1,166,166,155,154,2
"169",68,"[21]HcHxvnJHqKHGqayIHmjJr",314,0.996825,21,315,1,314,1,1,0,1,1,164,164,151,150,2
"170",69,"[21]HcHxvnJHqKHGqayIHmjJr",312,1,21,311,0,311,0,0,0,0,0,149,149,162,162,2
"171",70,"[21]HcHxvnJHqKHGqayIHmjJr",315,0.996835,21,316,1,315,1,1,0,1,1,164,164,152,151,2
"172",71,"[21]HcHxvnJHqKHGqayIHmjJr",317,1,21,316,0,316,0,0,0,0,0,150,150,166,166,2
"173",72,"[21]HcHxvnJHqKHGqayIHmjJr",292,0.973941,21,307,8,299,8,8,0,8,8,163,163,144,136,2
"174",73,"[21]HcHxvnJHqKHGqayIHmjJr",317,1,21,316,0,316,0,0,0,0,0,161,161,155,155,2
"175",74,"[21]HcHxvnJHqKHGqayIHmjJr",320,0.993808,21,323,2,321,2,2,0,2,2,180,180,143,141,2
