genome,merit,merit_given,gen, seed
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwnfnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabBaeJH",4,3.86856e+25,1, 117
"[93]GjfifLdwafndfCIBCabyafwafndbCHCabyafwaBnfaCKHBdeLdwaendfCIJJHCabyaeBeaCybyafwaendKCKHCsbyaeJH",0.01,0,2, 118
"[93]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCgJJHCabyaeBeaCabyafwaendaCKHIabyaeJlH",0.01,0,2, 119
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwkfnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",4,3.86856e+25,1, 12
"[103]jfffLdwandfCArKGuvnJjCwandbCHCebycCllwafnfCzIIaBdHFjaqHsrIEyADLEIjjhrKBJKlIzEfxxcJntafwendCKHCabcliieJH",3.40282e+38,1.70141e+38,2029, 120
"[92]GjfffLdwafndfCeCabyafDafndbCHCabyAfwafnfaCIHBdeLdwaendfCIJgHCabyaeBeavabyafwaendaCKHCabEaeJH",16,1.54743e+26,18, 121
"[92]GjfffLdwafndfCItabyanwafndbCHCabyafwafnfaCKHBdEhdjaendfCIiJyCabyaeIeaCabyafwaendaCKHCabyaeDH",8,1.58456e+29,35, 122
"[92]GjffBLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 123
"[91]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeH",4,3.86856e+25,3, 124
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIkJHCabyaeBeaCabyafBaendaCKHCabyaeJH",32,4.8357e+24,3, 125
"[95]FjfffLdwafndfCxHuBabuCwafndbCHCabeEfwafnfaCKHBdewdwaendfCgdtbtdbyaeBearCebsafwaendaCKHCabwwaeJH",5.1923e+33,2.02824e+31,203, 126
"[92]GjfffLdwandfCulCrbwjwwafndbCHCabygCwafnfCKHBdeDdwaerdkfCKGJiCauyaeBeaCabEafwaendaCKHCabvaeJH",2.02824e+31,4.05648e+31,110, 127
"[86]wjfffLdwaCHjLvFhtfkHvJwafndbCHCacKkwafnfCKBdGFrwHsBclkLKAnBeaDcpafvFfndaCKHqBKyBeIhsJH",8.50706e+37,2.65846e+36,2652, 128
"[86]GjfffLdwaClwtJwwwandbCHCdfqzDwafnfCKHBdHFwaCCwvwIGCLCkwEhJDCtaABeanafwaendaCKHCafxaeJH",1.03846e+34,1.03846e+34,2029, 129
"[92]GjfffLdwafEdfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJyCabyaeBeaCabyafwaendaCKHCabyaeJH",2,3.86856e+25,1, 13
"[91]GjfffLdwafndoCeabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIvJHCabyaeBeaCabFafwaendaCKHCabyaeJH",4.5036e+15,2.36118e+21,35, 130
"[92]GjfffLdwafndjCICabyafwafndbCHCabyafwafufaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 131
"[91]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHdeLdwaetdfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",4,3.86856e+25,1, 132
"[91]GjfffLdwaCnexIHjxEAAwafndbCHCabrBjbkwafnfCKhHBdDfdwamfbfCJGhdLJfaLBeCabiafwwendaCKHCabtaeJH",2.59615e+33,4.05648e+31,505, 133
"[92]GjfffLdwafndfCwClbuykwafndbCHCabykJwafnfaCKHBdemdwenDfCIJJzxabyaeBeaCabizafwaendaCKHCabtaeJH",6.49037e+32,3.24519e+32,122, 134
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaFBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 135
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCLHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaHKHCabyaeJH",0.01,0,2, 136
"[92]GjfffLdwafldfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwlendaCKHCabyaeJH",0.01,0,2, 137
"[93]jfffLdwandCDoGElEfgLbwafndbCHCabKcwafnfCIeIBdywerHquaKKjijqkvFicKDAKKfesBeaKdtafwendaqKHdDeJH",3.40282e+38,4.25353e+37,2072, 138
"[93]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaAKHCapbyaeJH",0.01,0,2, 139
"[120]LdwaCzBjbKrtAszFwafndbCHCefaiwempHLBjkGcLwafofCKBBdHpuwaqnChiKJfkKEKwnefylyiumdtLKxEGezuyamBeacHuafvaendaCKHCabycAaGaeJH",8.50706e+37,4.25353e+37,3338, 14
"[92]GjfffzdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfdIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 140
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaeudfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",4,4.8357e+24,1, 141
"[95]GjfffLdwaCGvJsqDdIwafndbCHCefinjrwafofaCKHBdHjaefCxpBLGzLmuLlJoiJrvqkCpdnafwaendaCKHCabhwkEaeJH",2.59615e+33,2.07692e+34,1084, 142
"[90]GjffLdwafndfCICabyfwafndbCHCabyafwafnfaCKHBdBLdwaendfCIJJHCabxaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,3, 143
"[92]GjfffLdwafndfCGCabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBexCabyafwaendaCKHCabyaeJH",3.35544e+07,3.86856e+25,1, 144
"[92]jfffLdwandfCGxAxjfojwLkwandbCHCecIDjtDwafnfCpvrdxwaCEBwCfunhqznLaIeHwoefoafowendaCKHCafwceJH",1.70141e+38,8.50706e+37,2238, 145
"[93]GjfffLdwafndfCICabyafwafndbCHCabyIafwafnfaCKHBdeLdwaendiCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 146
"[91]GjfffLgwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaedaCKHCabyaeJH",0.01,0,2, 147
"[92]GjfbfLLwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 148
"[91]GjfffLdwafndfCtaxAvfwafndbCHCabbiEfwafnfaCKHBdgdwwezbaCIpfrabEyxeBeaCabvafwaendaCKHCabuaeJH",2.02824e+31,2.02824e+31,173, 149
"[103]ifffLdwafndfCDfgGdnuqvFeFrzqzssofCwafndbCHCeflhwmwafocaCIIKzdCFivBukEEbkKIhllpafJwaendaCKHCacpkDIDyaeJH",3.40282e+38,4.25353e+37,2013, 15
"[92]GjfffLdwafndfCICabyafwafLdbCqCebyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHsabyaeJH",0.01,0,2, 150
"[76]jfffLdwandCGpjtwwnCwandbCHCecwanfCIKCfJBdIdKnAFDcueJFFBeHKiafwendaCKqivHCJeH",1.70141e+38,1.70141e+38,1977, 151
"[85]GtdbLdwaCBfFwandbCHCefhbkdfvafofCenssvweCFctyIEmIAEIixkzFeELaCbCvafwaendaCKHCebxwaeJH",2.65846e+36,4.25353e+37,3615, 152
"[96]vjfffLdwaCnHfEfoxxiAkhxwafndbCHCabKcqwafnfaCKHLBdwrnweDbdyCkGoEhJrBkBevCabfiafwaendaCKHCabkGaeJH",1.03846e+34,8.30767e+34,566, 153
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,1,0, 154
"[93]GjfIfLdwafndfCICvabyafwafndbCHdabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,8, 155
"[92]GjfffLdwafndfCICabyafwafncbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyagBfaCabyafwaenfaCKHCabyaeJH",0.01,0,2, 156
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,1,0, 157
"[114]GjfffLdwaCLgmyjAtjLLwCKHqoilwafndbCHCecGhAinnJkwafnfCKHBdHowaCsneerqrpmgJHELKnJDcBaewvnafFendaCKHqqoufsldDEpqnfaJH",8.30767e+34,1.66153e+35,3265, 158
"[93]GjfffLdwafndfCICabyafwafndbCHCabyafwafnufaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",8,4.8357e+24,1, 159
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeoIwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,3, 16
"[92]GjfffLdwafndfCICabAfwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeoBeaCabyafwaendaCKHCabyaFJH",3.35544e+07,1.9807e+28,4, 160
"[92]GjfffLdwafndfCICibyafwafndbCHCabyafwafnfaCKHBdeLdwyendfCIJJvCabyaeBeaCabyafwaendaCKHCabyaeJH",32,3.86856e+25,1, 161
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwlendaCKHCabyaeJo",32,3.86856e+25,1, 162
"[91]GjfffLdwafndfCICabyowafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabypeBeaCabyafwaendaCKoCabyaeJH",0.01,0,2, 163
"[89]sLdwandCGIsjIstwafndbCHCabvqAmwafofCzlBdoIGLnAoHnkGBtxdziIBBeaLIrxrKfwafwendaCKHCabHweaJH",3.40282e+38,4.25353e+37,2173, 164
"[92]GjfffLdwafndfCICabyafwafEdbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 165
"[91]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeeaCabyafwaendaCKHCabyaeJH",2.14748e+09,4.8357e+24,1, 166
"[92]GjfffLdwafndfCICabyafwanndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",16,3.86856e+25,1, 167
"[91]GjfffLdwafndfCICabyafwLfndbCHCabyafwafnfaCKHBdeLFwaendfCIJJHCnbyaeBeaCabyafwandaCKHCabyaeJH",2,3.86856e+25,1, 168
"[97]GpaBLdwaCeLbixvwHHJndwafndbCHCebqpwfeowafofCKHBdnKaFweLqdbgwqrGeBeaEDbdFxafvaendaCKHCabpjEvuxaeJH",2.12676e+37,1.32923e+36,2291, 169
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBaeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 17
"[93]GjfffLdwafndfCICabyyafwLfndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",4,4.8357e+24,4, 170
"[93]GjfffLdwafldfCICabyafwafndbCHCabyafwafnyfvCKHBdILdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 171
"[92]GjfffLdwafndfCICabyafFafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCacyafwaendaCKHCabyaeJH",2,3.86856e+25,1, 172
"[92]GjfffLdwafBdfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 173
"[97]tfLdwafnndCAzGtmCwafndbCsHCabCKrDzwIwafofCIIerBdofBsdpDijtFcdHBeazCFKxhmmcjIbafwendaqKHCafboHmeJH",3.40282e+38,4.25353e+37,1905, 174
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,1,0, 175
"[84]jfffLdwandqglDLnGsCwafndbCHCabwwafnfaqiIBdesIHwerLnCjagCmsnDBeaKabafwendaqKHoCebrxJH",3.40282e+38,1.70141e+38,1337, 176
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyFeJH",3.60288e+16,3.86856e+25,1, 177
"[89]GjfffLdwaCLjEuHEEJiCwafndbCHCebtwafnfaCKHBdeDfweCAGggLxJlIneBeaCabtafwaendaCKHCabqKdEaeJH",8.30767e+34,1.01412e+31,601, 178
"[98]jfffLdwandCnGzixwEbCswafndbCHCackwivwafnfaCIoazvaBdIAnweCnuzHDhIAzGvHuqEHBeaxKiafwbndaqKHCafmbqeJH",3.40282e+38,1.70141e+38,1994, 179
"[92]GjfffLdwafndCICablhLspwafndbCHCebcLnqrwafnfaCKHtwBdnfleweCljnnGrtIBeaCabxeiafwendaqKHKgfeJGH",8.11296e+31,1.62259e+32,1478, 18
"[111]GjfffLdwaCACsHJCIerHDpcugjkwafndbCHCebqlwafnfaCKHBdHcdBeaEfCslHzedCsmsLCAKxtGLvELJKfeFoBvonafwaendaCKHCabbuaeJH",5.1923e+33,5.1923e+33,2091, 180
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,1,0, 181
"[92]GjfffLdwafndfCIgiayaGwafndbCHCabGhBwafnfaCKHBdsjdwaeldoCKFJLJKhxaeBeaCabnafwaendaCKHCabsaeJH",2.02824e+31,2.02824e+31,153, 182
"[90]xjfffLdwafndfCtCLaCwfwafndbCHCabxagwafnfaCKHBdwCdwaeyrfCIJxtbyaeBeaCabsafwaendaCKHCabEaeJH",4.25353e+37,1.01412e+31,109, 183
"[112]jfffLdwandfCDIlEuGwibqqxwandbCHCebEzowztKytyIJnwafnfqAIHDpnLaCGtzxamdzALdviDKlCrycmDkqnpkssLAafwendaCKHCabICleJH",1.70141e+38,8.50706e+37,2217, 184
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCuHCabyaeJH",16,3.86856e+25,1, 185
"[91]GjfffdwafndfCICabyafwafnBbCHCabyafwafnfaCKHBdeLdwaendfCIJJqCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,4, 186
"[93]GnffhLdwaCnhfEClCiqyfzGiwafndbCHCabqAwafofCKHBdwwaerHCJhcIsEiqCnaeaBeaDCEvafwaendaCKHCabtaeJH",3.24519e+32,1.03846e+34,530, 187
"[90]LdwaCgkBoClcKwtyKwandbCHCefIsJiwafofCIaBdvwaCxxkemGdAvFciaeaxCabmvCoKeEafwendaCGKHCaboxeJH",1.70141e+38,4.25353e+37,2779, 188
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwmendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",32,4.8357e+24,1, 189
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaIndaCKHCabyaeJH",32,4.8357e+24,1, 19
"[92]GJfffLdwafndfCICabyafwfEndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 190
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyaywaendaCKHCabyaeJH",8,4.8357e+24,1, 191
"[92]GjfffLdwafndfCICabyafwafndbCHBaAyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 192
"[97]GhfLdwaCzocbmqluqCsswafndbCHCabIwzJIFwafocaCKHBdvweoHCHzqjBdjBeadDbsafwaendaqKHCebkCDKjmwkFzxaeJH",8.30767e+34,1.66153e+35,1929, 193
"[92]GCfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabeaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 194
"[92]GjsffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwmendaCKHCabyaeJH",0.01,0,2, 195
"[91]jfffLdwafndfCrjaFyqwafndbCHCabeyqmpwafnfaCKHBdnbGwaoCyJEIFbzIGlyaeBeaCabxafwendaCKHCabyheJH",4.25353e+37,2.02824e+31,159, 196
"[91]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBeLdwaendfCIJJICabyaeBeaCabyafwaendaCKkCabyaeJH",0.01,0,2, 197
"[92]GjfffLdwafndfCICabyafwafndbCHrabyafwafnfaCKHBdeLdHaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 198
"[92]ojfffLdwafndfCICabyaowafGdbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabEaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,3, 199
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwiendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",16,3.86856e+25,1, 2
"[95]jfffLdwaCuBHjcvFnDsuDmjiemwafndbCHCebsGvwafnfaCxKBdwaHeqjdcfGnctfoyaBeaKnafwendaCKHCachCCAkGeJH",6.64614e+35,6.64614e+35,2972, 20
"[93]GjfffLdwafndfCICabyaBwafndbCHCabyyfwafnfaCKHBdwLHdwaendfCIJJHCwboaeBeaCabyafwaendaCKHCabyajJH",32,6.33825e+29,10, 200
"[91]GjfffLdafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyaKwaendaCKHCabyaeJH",4,4.8357e+24,1, 21
"[94]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdewdwaendfCIJxJHCabyaeBeaCabyafwaendaCKHDCabyaeJH",0.01,0,2, 22
"[108]EffLdwandfCGwwmupBieqHjewafndbCHCabwafnfaCikoubDpxckrkIvjykLLDDIHijovHpyLarFoDafwendaCKHFCIuoJhymJrmovLoFeJH",1.70141e+38,1.70141e+38,1894, 23
"[92]GjfffLdwafndfCICabyafwaxndbCHCabyafwafnfaCKHBdeLddaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 24
"[92]GjfffLdwafndfCICarKHuwafndbCHCabyaowafnfaCKHBdeLdwaeJnGfdIwJHcayaeBeaCabiafwaendaCKHCabyaeJH",1.80144e+16,2.02824e+31,48, 25
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBderdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaIJH",16,4.8357e+24,1, 26
"[92]GjfffLdwafndfCICabyafwhfndbCHCabyafwafnfaCKHBdeLdwoendfCIJJHCabyaeBeaCabyafwaendCCKHCabyaeJH",4,3.86856e+25,1, 27
"[92]GjfffLdwafndfCICabyafwafndbKHCabybfwafnfaCKHBdeLdwaendfCIJGHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,5, 28
"[93]GjfffLdwafndfCICabyafwafndbCHCabyacfwafnfaCKHBdELdwaendfCIJJHCabyaeBeaCabyafwaendaCKdCebyaeJH",1024,1.54743e+26,17, 29
"[93]GjffbLdwaCBrIgKvknuhhuDnnvAmBKowandbCHCebAfbwafocaCKxHBdeHdweCGrixDsBeanafvaendaCKHCabsKnaeJH",1.03846e+34,2.07692e+34,2925, 3
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBFeLdwaendfCIJJHCagyaeBeaCabyafwaendaCKHCabyaeJJ",32,3.86856e+25,3, 30
"[106]GDbeLdwaChooikBnpseEJLeytCwafndbCHCabEumqrvzhADwafocaCxIeooHFyyBdAuxweCgvDAjjujjBeaCabtafwendaqKHCafFkueJH",4.25353e+37,8.50706e+37,3381, 31
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnLaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 32
"[93]GjfffLdwafndfCGBtrcekfwafndbCHCebfcIjwafnfaCKHBdedwaeGdECGoiECdjaeBeaCabAvafwaendaCKHCabBaeJH",2.02824e+31,2.02824e+31,182, 33
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,1,0, 34
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdELdwaendfCIJJHCAbyaeBeaCabyafwaendaCKHCabyaeJH",1.88895e+22,4.8357e+24,11, 35
"[92]GjfKfLdwafndfCICabjafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHiabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 36
"[93]GjfffLdwafndfCICabydfwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabvyafwaendaCKHCafyaKJH",1.09951e+12,1.9807e+28,6, 37
"[95]jfffLdwandeCjGgigfwsqncpwafndbCHCabhJwafoeaqLjEFBdwaubyajmrcaeIzwxxBeaLIKGsafwendaCKHCafwkBeoJH",1.70141e+38,4.25353e+37,1197, 38
"[92]GjfffLdwafndfCICabyafwrfndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",8,3.86856e+25,1, 39
"[119]jfffLdwandfCzlchztJkAKhdiBnLqIwywafndbCHwCacxCDzwafofqblLDIyLeFtiauIItrlHagitmFLqoakvkxbjocCynlrEKbcxeGafwendqKHCacoeJH",1.70141e+38,4.25353e+37,2169, 4
"[92]GjfffLdwafndfCICabyafiafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",2,4.8357e+24,1, 40
"[99]GpdsLdwaCBDwafndbCHCebhitvcLzkmoCaulzhgwafofCKBdDfdvlLaHFLqsLFniCziiDJuLvyrbkfHyoafqwendaqKHuCafeJH",2.12676e+37,4.25353e+37,3153, 41
"[92]GjfffLdwafndfCICayyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaIBeaCabyafwaendaCKHCabyaeJH",256,3.86856e+25,4, 42
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfHIJJHCabyaeBeaCabyafwaendaCKHCabyaeJH",0.01,0,3, 43
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwJendfCIJJHeabyaeBeaCabEafwaendabKHCabyaeJH",0.01,0,2, 44
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfCIJJHCabyaeBeaCabyafwaendaCKHCabyaeJD",32,4.8357e+24,1, 45
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKHBdeLdwaendfClJJHCabyaeBeaCabyakwaendaCKHCabyaeJH",32,4.8357e+24,1, 46
"[92]GjfffLdwafndfCICabyafwafndbCHCabyafwafnfaCKxBdeLdwaendfCIJJHCabyaeBeaCabDafwaendaCKHCabyaeJH",0.01,0,2, 47
"[92]GjfffLdwafndfCICabyaewafndbCHCaKyafwafnfaCKHBdeLdwaendfCIJJHCabyawBeaCabyafwaendaCKHCabyaeJH",0.01,0,2, 48
