"","trial_number","genome","merit","accuracy","genome_length","door_rooms","exit_rooms","correct_doors","incorrect_doors","correct_exits","incorrect_exits","doors_taken_0","doors_correct_0","doors_taken_1","doors_correct_1","doors_taken_2","doors_correct_2","doors_taken_3","doors_correct_3","seed"
"8424",23,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",105,0.981481,79,108,2,106,2,2,0,2,2,42,40,32,32,34,34,96
"8425",24,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",104,0.990476,79,105,1,104,1,1,0,1,1,54,53,24,24,27,27,96
"8426",25,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",104,0.981308,79,107,2,105,2,2,0,2,2,32,30,42,42,33,33,96
"8427",26,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",110,1,79,109,0,109,0,0,0,0,0,36,36,33,33,40,40,96
"8428",27,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",102,0.990291,79,103,1,102,1,1,0,1,1,38,37,40,40,25,25,96
"8429",28,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,0.990826,79,109,1,108,1,1,0,1,1,43,42,29,29,37,37,96
"8430",29,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",104,0.990476,79,105,1,104,1,1,0,1,1,34,33,41,41,30,30,96
"8431",30,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",103,0.990385,79,104,1,103,1,1,0,1,1,40,39,37,37,27,27,96
"8432",31,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",108,0.981982,79,111,2,109,2,2,0,2,2,32,30,38,38,41,41,96
"8433",32,"[79]GuffHdwaCrhdeDmEBiBjvwandbCLCecqwafofCJBdHdwendaCIKqKDEFBeaFCuwafwendaqJCabaIeK",111,1,79,110,0,110,0,0,0,0,0,37,37,31,31,42,42,96
