trial_number,genome,merit,accuracy,genome_length,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3
17,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,24,24,25,25,31,31
18,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,26,26,24,24,30,30
19,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.987013,87,77,1,76,1,1,0,1,1,27,26,28,28,22,22
20,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,0.964706,87,85,3,82,3,3,0,3,3,26,23,25,25,34,34
21,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.974684,87,79,2,77,2,2,0,2,2,30,28,26,26,23,23
22,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,1,87,76,0,76,0,0,0,0,0,28,28,26,26,22,22
23,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,27,27,26,26,24,24
24,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",75,1,87,74,0,74,0,0,0,0,0,25,25,31,31,18,18
25,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",74,1,87,73,0,73,0,0,0,0,0,31,31,26,26,16,16
26,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,1,87,75,0,75,0,0,0,0,0,24,24,30,30,21,21
27,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",73,0.939024,87,82,5,77,5,5,0,5,5,35,30,24,24,23,23
28,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,1,87,79,0,79,0,0,0,0,0,31,31,20,20,28,28
29,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,19,19,30,30,31,31
30,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,26,26,27,27,24,24
31,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,1,87,76,0,76,0,0,0,0,0,24,24,29,29,23,23
32,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.987013,87,77,1,76,1,1,0,1,1,32,31,24,24,21,21
33,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",83,1,87,82,0,82,0,0,0,0,0,21,21,27,27,34,34
34,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,25,25,24,24,31,31
35,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.987179,87,78,1,77,1,1,0,1,1,26,25,27,27,25,25
36,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",75,0.9625,87,80,3,77,3,3,0,3,3,23,20,33,33,24,24
37,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",75,1,87,74,0,74,0,0,0,0,0,25,25,30,30,19,19
38,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.951807,87,83,4,79,4,4,0,4,4,26,22,29,29,28,28
39,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,1,87,75,0,75,0,0,0,0,0,29,29,26,26,20,20
40,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",75,1,87,74,0,74,0,0,0,0,0,33,33,24,24,17,17
41,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,26,26,25,25,29,29
42,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,32,32,22,22,24,24
43,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.975,87,80,2,78,2,2,0,2,2,20,18,33,33,27,27
44,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,0.975904,87,83,2,81,2,2,0,2,2,25,23,25,25,33,33
45,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,21,21,31,31,26,26
46,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",74,0.986667,87,75,1,74,1,1,0,1,1,26,25,30,30,19,19
47,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,0.9875,87,80,1,79,1,1,0,1,1,29,28,24,24,27,27
48,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",71,0.906977,87,86,8,78,8,8,0,8,8,34,26,26,26,26,26
49,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.963855,87,83,3,80,3,3,0,3,3,34,31,20,20,29,29
50,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,26,26,26,26,26,26
51,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",72,0.961039,87,77,3,74,3,3,0,3,3,27,24,32,32,18,18
52,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,1,87,79,0,79,0,0,0,0,0,27,27,25,25,27,27
53,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,24,24,27,27,27,27
54,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.987342,87,79,1,78,1,1,0,1,1,28,27,25,25,26,26
55,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.987342,87,79,1,78,1,1,0,1,1,22,21,30,30,27,27
56,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,1,87,76,0,76,0,0,0,0,0,27,27,28,28,21,21
57,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.975,87,80,2,78,2,2,0,2,2,25,23,28,28,27,27
58,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,0.987654,87,81,1,80,1,1,0,1,1,19,18,30,30,32,32
59,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",74,0.962025,87,79,3,76,3,3,0,3,3,32,29,26,26,21,21
60,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,15,15,36,36,26,26
61,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.987179,87,78,1,77,1,1,0,1,1,25,24,28,28,25,25
62,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,28,28,23,23,29,29
63,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.987013,87,77,1,76,1,1,0,1,1,36,35,21,21,20,20
64,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,0.987805,87,82,1,81,1,1,0,1,1,33,32,18,18,31,31
65,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,29,29,21,21,30,30
66,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",73,0.928571,87,84,6,78,6,6,0,6,6,25,19,33,33,26,26
67,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,1,87,76,0,76,0,0,0,0,0,31,31,24,24,21,21
68,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.987342,87,79,1,78,1,1,0,1,1,30,29,24,24,25,25
69,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,0.987654,87,81,1,80,1,1,0,1,1,32,31,20,20,29,29
70,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",69,0.925,87,80,6,74,6,6,0,6,6,29,23,33,33,18,18
71,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.975309,87,81,2,79,2,2,0,2,2,26,24,26,26,29,29
72,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,0.987805,87,82,1,81,1,1,0,1,1,29,28,21,21,32,32
73,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,1,87,75,0,75,0,0,0,0,0,31,31,24,24,20,20
74,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.987342,87,79,1,78,1,1,0,1,1,26,25,27,27,26,26
75,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,0.975904,87,83,2,81,2,2,0,2,2,28,26,23,23,32,32
76,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.987179,87,78,1,77,1,1,0,1,1,28,27,26,26,24,24
77,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,0.987805,87,82,1,81,1,1,0,1,1,22,21,27,27,33,33
78,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",75,0.974359,87,78,2,76,2,2,0,2,2,28,26,29,29,21,21
79,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",84,1,87,83,0,83,0,0,0,0,0,25,25,21,21,37,37
80,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",83,1,87,82,0,82,0,0,0,0,0,21,21,27,27,34,34
81,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,0.963415,87,82,3,79,3,3,0,3,3,32,29,22,22,28,28
82,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",77,1,87,76,0,76,0,0,0,0,0,29,29,26,26,21,21
83,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",73,0.961538,87,78,3,75,3,3,0,3,3,30,27,28,28,20,20
84,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,0.9875,87,80,1,79,1,1,0,1,1,24,23,28,28,28,28
85,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,1,87,79,0,79,0,0,0,0,0,34,34,19,19,26,26
86,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",74,0.974026,87,77,2,75,2,2,0,2,2,33,31,25,25,19,19
87,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.962963,87,81,3,78,3,3,0,3,3,33,30,23,23,25,25
88,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.975309,87,81,2,79,2,2,0,2,2,28,26,26,26,27,27
89,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,0.987342,87,79,1,78,1,1,0,1,1,29,28,24,24,26,26
90,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,28,28,23,23,29,29
91,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,0.953488,87,86,4,82,4,4,0,4,4,29,25,24,24,33,33
92,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,0.987013,87,77,1,76,1,1,0,1,1,27,26,28,28,22,22
93,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",81,1,87,80,0,80,0,0,0,0,0,27,27,24,24,29,29
94,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,33,33,20,20,25,25
95,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",80,1,87,79,0,79,0,0,0,0,0,25,25,26,26,28,28
96,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,0.9875,87,80,1,79,1,1,0,1,1,28,27,25,25,27,27
97,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",78,1,87,77,0,77,0,0,0,0,0,30,30,24,24,23,23
98,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",79,1,87,78,0,78,0,0,0,0,0,23,23,28,28,27,27
99,"[87]GjfffHdwafndfCICabyafwafndbCLCabyafwafnfaCJBdeHdwaendfCIKCabyaeBeaCabyafwaendaCJCabyaeK",76,1,87,75,0,75,0,0,0,0,0,33,33,23,23,19,19
