"id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","is_dominant_lineage"
6288458,"[6278228]",249998,Inf,1,1,0,0,1422,"[92]mFnocpLHctcJOqOcKBGCAkKefFKshiuhCHhqKnByOfszwStqHfoonoqpbgRPolsKjDAyPHlxIrKDNuklGBCyIfsaSbjA",FALSE
6288456,"[6285321]",249998,Inf,1,1,0,0,1416,"[108]hFnocPLHcNcJOqOcKBGCiLtOAgNqqblAHkAIokIDxOxvFHBcmoLobOowflOGIKwbGjtiPFeSbGGwRFLRoJpEFpKOisLgDxylvzypdxQJCntP",FALSE
6288455,"[6258807]",249998,Inf,1,1,0,0,1349,"[84]hFnocQLHcNcJMqOcKBwCxrnybJEhkCzkINMkDgFSydaKKBJlaHAiInGCvbfDzawaKNBDgSclpqzqGIsuFHSu",FALSE
6288453,"[6282630]",249997,Inf,1,1,0,0,1415,"[107]hFnocPLHcNcJOqOcKBGgiLtOAgNqqlARkAIokIDgxOgvFHmcmLfbOowfqCdIKwzGjtiPFeSbGGwRFLRBJpErljOisLgDxylvzypddyJCntP",FALSE
6288449,"[6286499]",249997,Inf,1,1,1,1,1366,"[91]hFpocQLHcNcJMqOcKBGCvPjGydxOeKAmRuHCCeuvntRurQhuRvcbMuNSzSEEBdbalMKpJzfAAQdOAApzpNLnfcdfofp",FALSE
6288448,"[6283919]",249997,Inf,1,1,0,0,1417,"[99]mFnocpLHcocJOqOcKBGCsjsbBwHMNmyQIvcRIOtfNOrKpsAbwwJtslxuGfvfOkljaAKBsQBGzMxhFIiyqwLtmSFKwOuIrqPbQDA",FALSE
6288446,"[6285794]",249997,Inf,1,1,0,0,1398,"[91]hFPocQLHcNcKMqOcKBGCNDqjAduxqOLloxulQeqyKMKJDAAGSGHlcLpvMwptRHwJqCJiJSjfnpiqEIHrAdgBhSQIjya",FALSE
6288445,"[6286948]",249997,Inf,1,1,0,0,1353,"[85]hFQocQLHcNcJMqOcKBGCDMjKtjHkRyficbQohxyAcjHFpHdgtKjluxtgOEOnLJumabDsDSMlqqkqAjhIBjixE",FALSE
6288444,"[6286241]",249997,Inf,1,1,0,0,1425,"[97]mFpocQLHcocJOqMcKBGCGEmbmIDsAcuNDDtPmIBANEwDAvvdiuvARqPzizMOnnSicjeaydujMtgMMjFALatrGdoPeaGNyqIKd",FALSE
6288442,"[6285459]",249997,Inf,1,1,0,0,1435,"[110]HFnocPLHcocJMqOcKBGCxDgpGJaeApnCrhItBOMMFNoJNDvwEHcppqCkBlcBBujSRucikvOctbSPfuyhbHtrtGdnwaMaxnbJozCOtKaDbKgkzN",FALSE
6288439,"[6275023]",249997,Inf,1,1,0,0,1349,"[80]hFPocQLHcNjJOqOcKBGCEIelJLRyOQPPxohEdgmkBQwaEzzqNseMINIwlxCARRJBefIJvlHOoqdrzpkQ",FALSE
6288437,"[6285229]",249997,Inf,1,1,0,0,1385,"[93]mFnocPLHcocJOqOcKBGCGbbIyfNmnCLtlvasJMipNqJfyMICkEBHbLsoiGdzxFPKJrMJzwNOSwxBxIxoDtDhJQSHocJdz",FALSE
6288434,"[6283711]",249996,Inf,1,1,0,0,1424,"[106]hFnocPtHcNcJOqOcKBGCCKtaAgNHbpMASwAokNDukOgvFGBBQIfOowfqAfINabiGaHryeSbcGwPFsqmJAEjgQOikLttxyQLznhmxsJSdtP",FALSE
6288432,"[6285890]",249996,Inf,1,1,0,0,1408,"[107]hFnocPLHcNcJOqOcKBGCiLHMufmRbMmMwAgDRKjdoQOngOjNBrGOOqqDvjhuQutOQyJSbtaspcrxRSoKprmjprQqIsLgDuilFzLlIIIQtMq",FALSE
6288431,"[6287304]",249996,Inf,1,1,0,0,1393,"[101]hFnocQLHcNcJMqOcKBGCpKHaxAQeOkCvrmBnkJloihLLPHPjmszzgKtCHAxDoGkweBJPxiFiGJSdshQnQokKsrADvJByroaBtalwg",FALSE
6288430,"[6282410]",249996,Inf,1,1,0,0,1362,"[84]hFnocPLHcocJMqOcKBGCwoNqBxzOOCGasBqeotHNnrKMSbgAnBODjEeuMdhSfRHMsAEPsSFhmwpJfnMCbpuz",FALSE
6288429,"[6278107]",249996,Inf,1,1,0,0,1406,"[106]hFnocPLHcNcJOqOcKBGCiLnMuimRbMmMwAgDRKjdoQOngOjNBrxOOqqDvchuQutOQyJSbtasycrxRSoKprmjCQqIsLgDuilFzClIIIQtMq",FALSE
6288428,"[6280991]",249996,Inf,1,1,0,0,1411,"[86]hFIocQLHcNcJqOcKBGCuEaDfdEmDylqOzCnMdMxHNoReeCfNNIlNRruHLsMuJGrKbneFnngnjsODcMpFunjesN",FALSE
6288427,"[6287564]",249996,Inf,1,1,0,0,1416,"[108]hFnocPLHcNcJOqOcKBGCiLtOAgNqqlARkAIokIDgaOgvFHmcmLfbOowfqCdIKwzGjtiPFeSbbGwRFLRBJpErlOjOisLgDxylvzcpddyJCntP",FALSE
6288426,"[6267904]",249996,Inf,1,1,0,0,1369,"[85]hFnocQLHcNcJMqOcKBGCmjgaMlBBFOPhkAjycAwoyOESrmiSpyEGymtOQjepEymNvuJAoODnfLkmuMNPGDmmS",FALSE
6288425,"[6287146]",249996,Inf,1,1,0,0,1403,"[94]FqnocPLHcohJRqOcKBGCtmpOOacjFQiBOSIqEOoSKEznqNFQrDjzJFpIPMtRJmowtrtFFqEjqdLkaDkHclQmuajORCssJl",FALSE
