"","id","ancestor_list","origin_time","destruction_time","num_orgs","tot_orgs","num_offspring","total_offspring","depth","taxon_info","genome","genome_length"
"16028",2640409,"2638036",103065,103224,0,3,1,2550,637,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujayRrRAljQRuCMHcxiMPvepNbkyPLuIENwGuecciNNlRsLAtHkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujayRrRAljQRuCMHcxiMPvepNbkyPLuIENwGuecciNNlRsLAtHkwancJM","92"
"16035",2638036,"2631162",102973,103141,0,5,1,2550,636,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujayRrRAljQRuCMHcxiMPvepNbkyPLuIENwGuecciNNGRsLAtHkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujayRrRAljQRuCMHcxiMPvepNbkyPLuIENwGuecciNNGRsLAtHkwancJM","92"
"16780",2631162,"2618792",102702,103071,0,8,1,2550,635,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujayRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMecciNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujayRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMecciNNGRsLAtKkwancJM","92"
"15729",2618792,"2617157",102213,102972,0,18,1,2550,634,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMecciNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMecciNNGRsLAtKkwancJM","92"
"16033",2617157,"2616641",102149,102216,0,2,1,2550,633,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMeciiNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMeciiNNGRsLAtKkwancJM","92"
"16590",2616641,"2614060",102127,102165,0,1,1,2550,632,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMeciHNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRAljQRuSMHcxiMPvepNbkyPLuIENwGMeciHNNGRsLAtKkwancJM","92"
"16031",2614060,"2611182",102025,102176,0,1,1,2550,631,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRbljQRuSMHcxiMPvepNbkyPLuIENwGMeciHNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRbljQRuSMHcxiMPvepNbkyPLuIENwGMeciHNNGRsLAtKkwancJM","92"
"16025",2611182,"2609820",101912,102048,0,2,1,2550,630,"[91]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRbljQRuSMHcxiMPveNbkyPLuIENwGMeciHNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRbljQRuSMHcxiMPveNbkyPLuIENwGMeciHNNGRsLAtKkwancJM","91"
"16622",2609820,"2607510",101857,102046,0,3,1,2550,629,"[92]hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRbljQRuSMHcxiMPveNbkyPLfuIENwGMeciHNNGRsLAtKkwancJM","hNxnocQLPcpHcNcJMqOcKBGCxpgJvASJJmBujaBRrRbljQRuSMHcxiMPveNbkyPLfuIENwGMeciHNNGRsLAtKkwancJM","92"
"15856",2607510,"2592159",101768,101863,0,2,1,2550,628,"[92]hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuSMHcxiMPveNbkyPLfuIENwGMeciHNNGRsLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuSMHcxiMPveNbkyPLfuIENwGMeciHNNGRsLAtKkuancJM","92"
"16016",2592159,"2583557",101164,102215,0,23,1,2550,627,"[92]hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuSMHcxiMBveNbkyPLfuIENwGMeciHNNGRsLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuSMHcxiMBveNbkyPLfuIENwGMeciHNNGRsLAtKkuancJM","92"
"16022",2583557,"2581083",100833,101327,0,5,1,2550,626,"[92]hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuSMHcxiMBveNbkyPLfuDENwGMeciHNNGRsLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuSMHcxiMBveNbkyPLfuDENwGMeciHNNGRsLAtKkuancJM","92"
"16020",2581083,"2577925",100735,101044,0,6,1,2550,625,"[92]hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuQMHcxiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuQMHcxiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","92"
"16017",2577925,"2575485",100609,100828,0,4,1,2550,624,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJvASJJmBujaBRORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16014",2575485,"2569167",100514,100636,0,4,1,2550,623,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgJnASJJmBujaBRORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJnASJJmBujaBRORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
"16013",2569167,"2560596",100262,100530,0,4,1,2550,622,"[93]hNxnocQLPcJHcNcJMqOcKBGCxpgJJASJJmBujaBRORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","hNxnocQLPcJHcNcJMqOcKBGCxpgJJASJJmBujaBRORbljQRuQMHcxmiMBveNbkyPLfuDENwGMeciHNNGRDLAtKkuancJM","93"
