"","X","depth","seed_classification","count","accuracy_mean_mean","merit_mean_mean","seed_classification_factor","frac","lineage_classification"
"251",251,97,"Learning",22,0.998057258181818,4.09765853408518e+27,"Learning",0.44,"Small"
"256",256,98,"Learning",26,0.99960337,6.65286192279248e+27,"Learning",0.52,"Small"
"260",260,99,"Learning",22,0.998844920909091,2.95575768589354e+27,"Learning",0.44,"Small"
"265",265,100,"Learning",17,0.999995737647059,2.16469450140495e+28,"Learning",0.34,"Small"
"270",270,101,"Learning",16,0.99980292375,6.98352721323611e+27,"Learning",0.32,"Small"
"274",274,102,"Learning",19,0.997719861578947,5.65496694592413e+27,"Learning",0.38,"Small"
"278",278,103,"Learning",22,0.999512207727273,1.69239634398174e+28,"Learning",0.44,"Small"
"283",283,104,"Learning",40,0.99951120225,1.10990465047399e+28,"Learning",0.8,"Small"
"287",287,105,"Learning",37,0.998887608108108,8.48578144110168e+27,"Learning",0.74,"Small"
"291",291,106,"Learning",39,0.999720133333333,3.95070863611699e+27,"Learning",0.78,"Small"
"294",294,107,"Learning",37,0.999735202162162,1.88087396300649e+28,"Learning",0.74,"Small"
"299",299,108,"Learning",36,0.999770961111111,1.02484486134006e+28,"Learning",0.72,"Small"
"303",303,109,"Learning",34,0.999750995,9.50133185207938e+27,"Learning",0.68,"Small"
"307",307,110,"Learning",35,0.999566231142857,1.40123836252421e+28,"Learning",0.714285714285714,"Small"
"310",310,111,"Learning",40,0.99800780125,1.22298393227922e+28,"Learning",0.8,"Small"
"315",315,112,"Learning",34,0.997792440294118,1.07709326031121e+28,"Learning",0.68,"Small"
"318",318,113,"Learning",36,0.999872036111111,8.82255145497372e+27,"Learning",0.72,"Small"
"321",321,114,"Learning",33,0.999426986060606,5.89053107129949e+27,"Learning",0.66,"Small"
"326",326,115,"Learning",41,0.998190542439024,1.37840153589737e+28,"Learning",0.82,"Small"
"329",329,116,"Learning",38,0.999789650263158,7.69143913482918e+27,"Learning",0.76,"Small"
"333",333,117,"Learning",45,0.99982445,4.48851445531304e+27,"Learning",0.9,"Small"
"336",336,118,"Learning",36,1,1.08198273141952e+28,"Learning",0.72,"Small"
"340",340,119,"Learning",40,0.9997013465,6.44129432795246e+27,"Learning",0.8,"Small"
"344",344,120,"Learning",38,0.998991258947368,9.23243712468449e+27,"Learning",0.76,"Small"
"347",347,121,"Learning",38,1,1.08733243888546e+28,"Learning",0.76,"Small"
"352",352,122,"Learning",35,0.999664776571429,3.21466791825558e+27,"Learning",0.7,"Small"
"357",357,123,"Learning",39,0.999878044615385,6.31694091621977e+27,"Learning",0.78,"Small"
"360",360,124,"Learning",36,0.999754246944444,1.39087681869416e+28,"Learning",0.72,"Small"
"365",365,125,"Learning",43,0.999928001162791,1.59553329456689e+28,"Learning",0.86,"Small"
"368",368,126,"Learning",44,0.999901059772727,1.06090936377542e+28,"Learning",0.916666666666667,"Small"
"371",371,127,"Learning",43,1,9.72751863953508e+27,"Learning",0.86,"Small"
"374",374,128,"Learning",43,0.998922128837209,1.02281906164623e+28,"Learning",0.86,"Small"
"377",377,129,"Learning",43,0.999800492325581,1.68934507518473e+28,"Learning",0.86,"Small"
"381",381,130,"Learning",45,0.998238270444444,5.64636267199381e+27,"Learning",0.918367346938776,"Small"
"385",385,131,"Learning",41,0.998992208292683,3.32924385895892e+27,"Learning",0.82,"Small"
"389",389,132,"Learning",45,0.999959806444444,6.70654251242259e+27,"Learning",0.9,"Small"
"393",393,133,"Learning",44,1,1.10719627913846e+28,"Learning",0.88,"Small"
"396",396,134,"Learning",44,0.99922805,1.04193826255832e+28,"Learning",0.88,"Small"
"400",400,135,"Learning",43,0.999309672790698,8.90452183203299e+27,"Learning",0.86,"Small"
"403",403,136,"Learning",45,0.999230485333333,1.06700051168692e+28,"Learning",0.9,"Small"
"406",406,137,"Learning",46,0.999896676521739,7.08238986528227e+27,"Learning",0.92,"Small"
"409",409,138,"Learning",42,0.999920268571429,4.46885393842808e+27,"Learning",0.84,"Small"
"412",412,139,"Learning",44,0.999821279545455,7.21513300807735e+27,"Learning",0.88,"Small"
"415",415,140,"Learning",44,0.999881626136364,1.0661079767189e+28,"Learning",0.88,"Small"
"419",419,141,"Learning",38,0.999241354210526,7.90837177643276e+27,"Learning",0.76,"Small"
"422",422,142,"Learning",42,0.999262998809524,6.26752499050442e+27,"Learning",0.84,"Small"
"426",426,143,"Learning",40,0.99870306675,6.81173242123866e+27,"Learning",0.8,"Small"
"430",430,144,"Learning",40,0.999818979,6.15219717099566e+27,"Learning",0.8,"Small"
"433",433,145,"Learning",42,0.999804157142857,5.4570959655861e+27,"Learning",0.84,"Small"
"436",436,146,"Learning",43,0.999877635348837,7.6598333287961e+27,"Learning",0.86,"Small"
"440",440,147,"Learning",44,0.999262244545455,8.25071160932197e+27,"Learning",0.88,"Small"
"444",444,148,"Learning",44,0.999895265681818,1.26518560228793e+28,"Learning",0.88,"Small"
"447",447,149,"Learning",45,0.999994697111111,1.26158697104997e+28,"Learning",0.9,"Small"
"449",449,150,"Learning",49,0.999880428367347,3.60929859833167e+27,"Learning",0.98,"Small"
"451",451,200,"Learning",48,0.999970607083333,1.03757034788989e+28,"Learning",0.96,"Learning"
"452",452,250,"Learning",50,1,2.6899657680635e+27,"Learning",1,"Learning"
"453",453,300,"Learning",50,1,1.04878200753513e+28,"Learning",1,"Learning"
"454",454,350,"Learning",50,1,3.81849201456313e+27,"Learning",1,"Learning"
"455",455,400,"Learning",50,1,5.39261710746417e+27,"Learning",1,"Learning"
"456",456,450,"Learning",50,1,2.91381813992738e+27,"Learning",1,"Learning"
"457",457,500,"Learning",50,1,2.34570705009143e+27,"Learning",1,"Learning"
"458",458,550,"Learning",50,1,2.76650011522485e+27,"Learning",1,"Learning"
"459",459,600,"Learning",50,1,3.07695135632366e+27,"Learning",1,"Learning"
"460",460,650,"Learning",50,1,2.55591143657862e+27,"Learning",1,"Learning"
"461",461,700,"Learning",50,1,3.19734092265189e+27,"Learning",1,"Learning"
"462",462,750,"Learning",50,1,3.05101790770237e+27,"Learning",1,"Learning"
"463",463,800,"Learning",50,1,1.43873319855048e+27,"Learning",1,"Learning"
"464",464,850,"Learning",50,1,6.25478473800173e+27,"Learning",1,"Learning"
"465",465,900,"Learning",50,1,7.37393668606592e+27,"Learning",1,"Learning"
"466",466,950,"Learning",49,1,6.51333600041613e+27,"Learning",1,"Learning"
"467",467,1000,"Learning",50,1,6.89247895424869e+27,"Learning",1,"Learning"
