genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2,doors_taken_3,doors_correct_3, seed
"[92]FcakufiBgtbEeHopKHhiffBlpcCDeJqhgzhkwpDeDpFbwGdhsmEDynHefKithaGtabDjqhioErqLyIFgtfbfHLJkpaFh",4.57195e+10,4.21688e+08,2823,0.870748,147,18,128,18,18,1,39,38,160,157,77,41,39,39, 108
"[70]GHoJHoqKGzGnlgAyygoJbktjtaoJGHqgwJnllvHJjoAqLgbsoEDLDmCqAIBGApGxcapimz",5.96046,6.96046,2695,1,7,0,7,0,0,0,0,0,12,12,2,2,0,0, 109
"[98]EgcoJHcoKBqaghyfcytewcfgmAfBEcFasInwilcLtvHFqkbwGCFslIyKccEsLGLwqcLcaHmkcertdGKIFugGuzCLKrHjahemqp",2.89782e+07,69.3889,1564,0.827586,116,20,96,20,20,0,20,20,62,60,34,16,20,20, 11
"[84]loJpbeEpacdtzfHoqybKdEDeqJGotCpfzbcFkBLIrdjBzDyDvipgBaEBcFxaHadygKwhoDHycILHHbFbDyFI",1.18305e+29,1.19851e+10,2292,0.759681,878,211,667,211,211,0,211,211,260,260,407,196,211,211, 110
"[127]oDeeKnJwpadIHoJGCabdHzuFLkyLsHEIBqukiHubwhdDIkLzxGEuKljHwHJmzyiaBtCFoukDsnJCAnsJaEnKteozajygcyegwGEHkDaBdzlajLCthgFFeeyLzvuxwkI",11.6415,3.05176,2771,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 111
"[100]nHcgzwcuuGoKFHcGvrFhqJCxGbdsmhiFAEALqGIFssosqpDjajdaAcIrxfiCwxBBdBBjEAftpiAfsupGlJejqDGkqssCeyiIHIHb",11.6415,3.8147,1268,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 112
"[89]bfveCyvucdoCyqmohjmBqaIcIjaHAjjCpbtBElkDbKpmkobxqKnirEveDdaKaBLyiaerwlytfvoupssBfeHcoKGqJ",11.6415,3.44141,2475,1,10,0,10,0,0,0,0,0,29,29,14,9,0,0, 113
"[83]fGsAveFdHhffhpwoJFaFpqjlFjroKHqfchKplBgEomoDjnwiLujDBEdzhgxLyFvBrEFrIiHlKGhLxiGAsuD",69.3889,4.76837,2749,1,18,0,18,0,0,0,0,0,13,13,1,1,4,4, 114
"[102]kAuEHsyaJtpeHaHcHaoKocFCuuyLgxAgnpxtiImBjwLrFpacknmFILpvlhffqtGklKskejFDEIBpgyqxjzvnjfbdJIytkbxulfubBk",5.77061e+13,2.01076e+09,1035,0.84058,207,32,174,33,32,0,32,32,114,105,61,37,32,32, 115
"[101]EoJEpvHzawpIHeFCbxswumfHtmcnKHBnnyfaEbbscHFpogzhgcCtIJmFBLHbBdCCAKxdAemBKjInHyFkIjdfLvhdCefBzGbuxAmkh",3.11151e+06,2.18008e+11,1290,0.83,100,17,83,17,17,0,42,42,137,137,87,45,42,42, 116
"[99]HbrcbdoJiepdsxcHCboqhcpGwbbfffAzfocfiannaDpryuFnvamKgbEHECFebpEeoovtKwzFdpopncjfBDJriqlgxhvwkuDbLmg",1.07022e+21,3.92727e+09,1238,1,216,0,216,0,0,0,0,0,103,103,52,52,61,61, 117
"[87]wbxomsxzExHhoJoqDqJKzpKFpIKibcEqeblDILaeiaslarLEgqJbqFEnzhnlGFBioDLqlIckIrxbmArGIGquwqt",1.18305e+29,1.29943e+12,2896,0.762332,669,159,510,159,159,0,159,159,207,207,160,160,302,143, 118
"[109]HcoKaJrHsaEopKDsualumctBnfDaJmnoIqdipmclHEbdovmczlCbqbniFCEomGxCdppadlnwidiiIrFcLHlqjFGtHkEKICBoGzgDmfGylIEyv",1.03954e+12,2.51346e+09,2674,0.832432,185,30,154,31,30,0,54,54,181,170,96,52,54,53, 119
"[94]HoJHgnKoCHqabaofAILkHqvwvpitKzHJcapcrLgCAryCrrknCmodIztjkjclkbBouzKxDfgnezGdidsrBBnesoIuqglrfs",1.18305e+29,2.38667e+16,3137,0.750654,7263,1811,5452,1811,1811,0,1811,1811,1871,1871,3582,1771,1810,1810, 12
"[135]gneHoJoqKJJHoqvrGqqHdnKhFrLtFuyxAwsCGvCtJcJKDpKpBybevktCsxuGGLtocIpKIvKarwCrbeprKfdIDEJfngxzIgbDmKoKDwLBqkpaBxtpmnepwuyfCavkpqgkKGHoqKm",11.6415,4.05176,2590,1,10,0,10,0,0,0,0,0,61,61,14,14,0,0, 120
"[84]vEeunKHoaqhFeoJHoIzoLHqHaJHqJHqJmHCCvtGgIwteFKFJwwbmepbpjeCsEjhmimcBgquwkkLCrkxqxbem",1.18305e+29,1.52747e+16,2898,0.762376,707,168,539,168,168,0,168,168,214,214,325,157,168,168, 121
"[89]EpFhepcqJHcvwGoKlAcHcsgyrxmwapnvcoEdFGCzqliLjudgHkJALIockHmFhekIxlaAElIwLyezDafhEulBGFAdD",522024,2,622,0.837209,86,14,72,14,14,0,64,64,130,92,50,24,64,28, 122
"[105]zxaHoJoCzxvFlKhEEoJaeGGHhqAIosoaLyvCapvenBslHcjDknpduyobDIuwEHDubvHhflDHiyydrDlEeglmkqkKlixBlgjbhrsbCutow",11.6415,4.76837,2607,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 123
"[79]paJHoqKmvGmfHoJqdbjwnyqdElncermHcsEKIkmwBfeBldBHAKveBzknEbDCIfvcmliGezqogfHecqf",5.96046,5.96046,2605,1,7,0,7,0,0,0,0,0,6,6,1,1,0,0, 124
"[104]gfvbdHpbwoJECxJjsvsHxwmhzIeFLjAHBdynnsxfempqqFjuiaafsJDBAJFDxaILgHDLgreGebHKGocGHbdoDefvaKHnaDeqynfCLsKA",1.18305e+29,1.74406e+11,2855,0.762178,698,166,532,166,166,0,166,166,210,210,323,157,165,165, 125
"[96]qxjntBjltdnoszvvHcoKpLidaEbHnJqmeIqzeLfHlqIaCwHubpkpbuwtbohfabmIljxjnkEeHhzxlbCjobAkHzErsIfcJerb",1.18305e+29,2.18008e+11,1075,0.560795,82276,36136,46140,36136,36136,0,36136,36136,35963,15285,20486,15336,25827,15519, 126
"[87]zwEsHoJAoqKJmylAJuGqjFCqehCmGCkAfBeJCJEDgeJbxeyJloBAgtDbzmrkmytnngAFuqvmnmnHBKIvfCdvgKA",11.6415,12.6415,2719,1,10,0,10,0,0,0,0,0,24,24,6,6,0,0, 127
"[93]AmdDcHHzwrfbzxiElapBHoaopKGrHhoJqKgAuIxgxzDyDtGDCACpxmGtlkCuhFstsGbyJqEyxoFtAKkyeFeobuegndFiK",11.6415,3.8147,1915,1,10,0,10,0,0,0,0,0,8,8,2,2,0,0, 128
"[92]HtfofJkdjaeadhHssBoHclaobKqtFCwluDArbIqdLjpzapzhhzccHIquLhiHicFdafmciAqEtFGqlaygHjkCiClBmsHI",1.18305e+29,9.58807e+09,1063,0.776623,770,172,598,172,172,0,172,172,213,213,385,213,172,172, 129
"[88]ovsHoJaeoCuvzaeKHxizwstbnJFvFaHiEGqmhAyjkDBlsBDubqELlJiCcaJoBHmohtcDILDCotdIjxxbAnvLryty",18367.1,4.76837,2131,0.830769,65,11,54,11,11,0,11,11,37,37,17,6,11,11, 13
"[87]uBbhHnKblxwAfAGHqFJChhxybycsbEvFBGDIAjjriwoBybczBmqItoDBHHubwChIqHyoqsDFtpJvJqaBvjfHKik",11.6415,4.8147,2698,1,10,0,10,0,0,0,0,0,24,24,11,8,0,0, 130
