genome,merit,merit_given,gen,path_tiles_visited,moves_off_path,map_idx, seed
"[88]tygihbHutrIwSlcLLLBwHPbCjefciaeLRKNCRbqPktlOaGsExcOPIjJlJDuHcoGDHIHQqqPbbMueKbwmHOMJhqdu",5.31691e+36,5.1923e+33,94,123,1,1, 14
"[90]qygzSbHufOINScRyuLBwwHPcdjemaiayLRKNCRbqPGOzOeGsExccPIAJJDEgwuaGtKEkpiqtbJKukFKbwNDmpzvxdu",8.50706e+37,1.03846e+34,72,127,1,3, 140
"[89]qsgzSfuPmnoSCcFPLBwvHPcmjhbakmeLRKNCRbqPDRFwOpGeExcfPIAJJDhOqalDvLkQgrpmdKjQsJtwKDmMJswdu",2.12676e+37,4.25353e+37,105,126,2,3, 141
"[88]eExzgMHutlIhNiaPrLBtwHPcyhebaiheLRKNCRbqPcvpcuevEoGPIvJLJDIHgGgkDCxexxLnbbteEewQDqxxOfbE",8.50706e+37,1.03846e+34,179,127,1,3, 142
"[87]gygzdbHEtOIGGccmuLBwHPcNjibaiaeLRKNCRbqPkOwOujsErPGPIAJlJDsFuaGvKLkDqPLCvjuetSwNzmHJnxd",2.12676e+37,6.49037e+32,58,125,1,1, 143
"[88]zygzybHQutOINPPbuLBAwHPcNjebziaeLRKNCRbqnkuwcPevEpcxPIJsJDuyQaCcJDbtQmuPrKKevnckjMinSkvg",2.65846e+36,1.03846e+34,142,128,7,1, 144
"[87]lOgzebHFOINhszRuLBwwHPcNjebaiacLRKNCRbqPksOeGsExmfPIAJlJDuIuaGDdLEQnjPbGjmeKLwNDmEbtCrx",4.25353e+37,1.62259e+32,64,127,2,3, 145
"[89]qygzSbHtOINCccmyuLBwwHPeNjfbaiaeLRKNCRbqPchwNdtsExctPIAJlJDuguaBqqLkQBqPbKlueKbgeDmrJhSdi",2.12676e+37,1.62259e+32,49,127,3,3, 146
"[92]qyHhznMyOkazRFccIpuLBubwHdkNjObpioeLRKNCRaqbMOEuuncEaoGPIJuJDtneqDLxvBsoNPbKdGuQBpDNpmqMRodp",8.50706e+37,1.03846e+34,197,128,2,1, 147
"[90]qygzCbEdtOINSMcyuLBwwHPcjjjjaiaeLRKNCRbqPtNwOpGsExccPIAJjJDugsaGDrLkQqqMzKjuBeKDwNDmMJhxdu",1.06338e+37,5.1923e+33,51,125,2,3, 148
"[87]qgzSbHxuOINSccyuLBwwHPcNjebaiaeLRKNCRbqPkOwOubsExcPIAJlJDuguaGDKSkQqqPbKjueKHwNDmMJhxdu",3.24519e+32,1.62259e+32,22,127,19,3, 149
"[88]qguSbGutOdNMSccyuLBwwHPcNebaiaeLRKNCRbqPkOwluysExPGPIeJlJDuguaHDKRkQtIPbKouehbnNDmMRhxJu",2.59615e+33,5.1923e+33,34,112,1,1, 15
"[86]ygzSbHuBOINvSyuLBwAHPcMdebaiaeLRKNCRcbqPjyOrQsExoGPIJlJDzgundSKLCQqgPbvrueKbSPNhyMqhxd",2.12676e+37,1.03846e+34,95,125,1,3, 150
"[91]lygzwbHutOINFSRcyuLBwtHCcNjhbaiaeLRKNCRbqPkObQaGsENbGPIzJlJDuKuaGDKLkQqqCMKjueKbwurmMJhxlDu",8.50706e+37,6.49037e+32,47,128,2,1, 151
"[88]qygSbHutOINSccyuLBlwHPcNjebaiaeLRKNCRbqPkxwOuGsExcaPIAJlJDuguaixKLIQqqPbKjuuKbwNDmMJhxdu",3.24519e+32,2.02824e+31,16,111,3,2, 152
"[89]qyeiSbHhtOIzBQcekLBkwHPcNjebaifeLRKNCRbqPNOlOeGsExcPIJlJDuOuLNDwpkQDqhPOtlMvbwNtyMAeIieMu",4.25353e+37,2.59615e+33,121,127,2,3, 153
