genome,merit,merit_given,gen, seed
"[88]fyiiblezLopcwpnxtizteEgkALxwotilfLoJnaKjEDsLsKqKybgaGrpBKpnElCAshzfAjvnsAEtEJlDEqtxeGzHc",3.35544e+07,3.35544e+07,2252, 120
"[77]yDbaavGFhxzwdiLmCbBEDoyFrzcvnlEtCoftdoGtrxHfDjdEnvlpKkBvqogymmEAaEELcIdafcocH",32,8,2600, 121
"[94]dfiHEgIlEuoEumyfHvwfigbBCkEGvsomeweAEbnlxsGwmlBloFhosjgpgmjwBjkEuqHhoojtrvegEcdifaLEoHGDkyncdv",32,8,2542, 122
"[89]LoHkeeptzykwrtvjeAjdLbhazskEGIkuzAlGkcbjkEeDiLvrydytvDBsmCzuqrpJngKuxFwnIlGwstCmaGnodhygH",32,4,2480, 123
"[92]FmhshauswkcveHEyqDsopiJphhGKswanyLdrzFxKtlHLhmoCEBlljkvbafJHiEBsfveLcIgzznfdcLLkuiAtLylopHBf",2048,2048,2885, 124
"[88]sczjCkFimqoCrhuxJfirAmpdsnvFAjrchkLkydExHLwjpqEFLBzAndxsAwfsvtfaLedGatfoKLdjdkrbBsfxvvtF",262144,131072,1165, 125
"[116]wLueiqKDwnuFwJmlCEsiEnmlyqpnyGnltDkLgvkeywAblJFGgrFIvmvdmoxymKoBJheCoynKnLryzhgrebjHBsdLhiIGqHLbonGHcnjqLnKmotshpIuL",256,64,2719, 126
"[81]rfgLoHGLIHqjKAnfoquHjhaqahIIGytxdHeuvrrsgnKqkaLdAanbzIDuJLepjfqasGrtCgzhHlburfera",32,32,2607, 127
"[75]GpDFaFxnzGrAbtmpfvGiijrwHtcsFlAhLvuoDBBEArylIoDHAKuDkHFfvnHeFHDqvHzimtyjzzb",262144,262144,3890, 128
"[92]dHrzABkvbqoyhwIHwurvbwDCvnwKkLlzsyGgzDAeHmaevFfbBbnFKFKBnhfBqjwnEAKxhzobgAbLcencIhxgFyhecEGL",32,8,2567, 129
"[89]hnDfvxxALrHzIoilujmGBfcemmoriLcocHqKAHjLCFmonmtlBxhucgqAFbkLDpFbDntdhdyGmcxyxlKJhLhLwEevf",524288,524288,3405, 13
"[87]HItLoJenuundAlKFoJhtysDCvkGLHbvzelwAAgiwFtLAFCCkzysavLidEJdCoshACBIFHLjECcxGwhgwnLAiDpm",6.71089e+07,6.71089e+07,4081, 130
"[92]cimolouErLyEoyckpCyBlLzrfLhfArbopcueeEoHnEwGnlztkrAhLjImjedbcprcHDqyfsLwceEFyLdliFsDBFEhDDEc",32,16,865, 131
"[85]LHpDFopBGDkogAIdsGLoHCsJqEGapGvJkGJvCmxsddxvduLakeHrgcJwBDmjghhhcvKEcqLgjwrdBovquwnHz",32,8,2582, 132
"[76]zDaeFHDvczcrowHnmhlLyBzwphbLvAccBzotjDczvtchnhbpBGawcGuzxlaFofcKwAEcdfsdowcl",262144,262144,671, 133
"[86]qlyabxAidirpyxHFjEvEFtnFrnDsJtDBGkHfnLFyszbDLwAlfLItjHFpItveFwmgzjAsLGgplkozbLrrlgehcG",32,32,1091, 134
"[88]EnaxErwHuLaewjvApjsdfsEjxtrDLacAgsBrEajavmumnlLlqytkjBrgyEbuaLcvnpdyoKLxfFnEnqzybtGFnIey",262144,262144,804, 135
"[61]iGFLAEBFFhBoDgKniHEpqoiFEBodkuokwzppsyvwGowvAEvlGfxxwEtbnrati",262144,262144,2804, 136
"[83]fwbgimCagyELcIwFpcukfDrHznlpvJFjByhnbDlznGsawuFyjtdAlBHjLpltAEoDivdrbciuzKmgiyAkplg",262144,262144,2650, 137
"[89]duaHvsydnBEoIjokggFmlvBaFFksgohLBhwwcgzqJbeyAquhuxsflpeLAxggaqzeeefconkagxoKtAspCFGsEAdun",524288,524288,3676, 138
"[55]gfAuLcGocHeIHohBqaDrDoJqtHAbwEwxfLodwBHGlyJEHfaFAeyHLmE",32,32,2519, 139
"[64]zEirasBtzrFEmLuDryoJqKeIKarhGoHFiInqbofILhfanmHojqfyfdzLmLacLkKH",256,256,2858, 14
"[90]jLEvwrauHeikowbntnEztpdepDDIzJsoGkirFIuIqebIApnAkyaEjzbcmsEplhEplAimBpIoHGLBoKeqxhJymAmlEK",524288,524288,2999, 140
"[70]CEwglunAoDzrclxdEeyHkklrvztzfpBHLoBLwfnbGnKConDwfqaIoKJEJCCbIBHaEFmrFx",7.55579e+22,1.51116e+23,4634, 141
"[94]ziucAdnLqujsLnKnEhojHfkDCFcLHAoacoxAtCiLnFJezmEvDAEmHusmpzfGorcBbyhHoHephyGreApJxmrAtyFBGrvAIe",2048,256,2702, 142
"[61]EElLzpgyGqADFhofhcHmkEjxDHLbuBHBwdsJwCgvGAEwHejytwaoArkBAIGGH",32,16,2616, 143
"[89]GbpLHIxxAuvAflHLGroCmvhDhsbaiKaaFmbFEpJACsgbiCIxmrovIEAiioLmJbzFiiczzzoodsaobCLfnEFmpFuBc",2048,2048,1621, 144
"[32]AxlcwbxocHEBGytzpLHnitibaLcIschL",32,32,2707, 145
"[82]sboxiDclzydLtsoHrpGneFygvtkDmDwvnEEvyjDocnDlkhpcbjhFGagovdKGxaHenhaLJHoquysjEIEcHt",262144,262144,3601, 146
"[116]HahmpxcFEjsIeHtwieAvkHnfzwyHHfiitcwjAhKEickmwijHJxpgruHjsctFKHlceJHpewHrEGLGoHhqHwivBuAHvqojzbFEgiEtqDlsCbBlKkjrukDi",65536,65536,4638, 147
"[99]oJKAHhEwtuplxbyhgxvxahmkArenhvxkzpcBLiLsswEDxnoibtupbIJELHlfKxgIdvuKwIatFAnmBHvKzeEEkjyrifGegEnFELn",262144,262144,1609, 148
"[85]rtEpFyEjxhmcGtGbHgiDcbmsADryttEBmEBBlwlpfjAodgLgoDhpymouwLkFGvtzhxpfzagihKvftjewnwsua",262144,262144,1449, 149
"[92]iksawFylFzklLtfcsEiDnKwLmDkwybuxAjDxpysoLcbegocHBBbEIHqwAvgArbyKgLLHnHFxrlgmoKBJGrHyclgLqlHI",262144,3.35544e+07,2346, 15
"[84]AGLcHvhGBcFmLnICGgnHtrnsAixLGKyxCgIlfhqahDDEizxGueEbqptpqpEawDphAmKBeedrweIctnpnkqmy",32,16,2575, 150
"[90]praroCLxobajfHaAnFLuxesELDDCwaFiDiDckHKIHCksGImjunLlmsaBGbvoKkBpvszfAbaHtmnwgkLEuFLnaIGevk",262144,262144,3149, 151
"[91]qxyHItBtlzyeDkBxtowuwrBhLdgEqLyawDrblbGKaaFbIHwqGILGoAmFaozczAHLoqlwKaHfdJLoEnaDLsdGArxuaFo",4096,32,3181, 152
"[78]HAmsdzvotCfEhDbzFnnEgxiLABcsDxqersatIuhjhwbrivvtmksruetnBEgeAfeELmBgcxwGoKEpsw",524288,524288,4021, 153
"[82]HItBjelxzvLjtGeahttoyxsjpiezHytgwhiknkksosmkvycLwExBgmFzoKBjoijmaywDAqKjteEHudldet",524288,524288,3945, 154
"[103]twxaLoHADwDmeDipgIHmroqiKEHGqujjLecorJhmLHpxbjjcBcjqsiHJCLHkvyKucbpvmwgJAnAbvpbEbfvflaDkkFGqmcDyfowaLik",1.04858e+06,1.04858e+06,2987, 155
"[78]uLbLkAowmjnAdncmHgrziddsiGctmFLcalvIzFeocHCIpAeBezmfxqLhGhnDitCxDaugxeLInxEAfr",32,32,1965, 156
"[61]iHIjptyuHqefbdEDeGIffJJqgcpzkksLpbsoapEoDKqqFpCbjFGtkDqAdAyji",1.9807e+28,9.90352e+27,4829, 157
"[75]gcmesaipsEiHrpGyEoIdetvxLwLyFoJirDmfLycbmhCKswzeBovnKvinAFGmuDmECiDBxFJLlDs",3.35544e+07,3.35544e+07,3526, 158
"[105]CxkJfpzngkftyfwqyeoEADtAyiArIFbsxkKoaLzdiwosHlueFIuvgnLvkxenHvHAcFeKbyHGyagopHmHlaFytawommBmJFCbxdtDExEGg",1024,1024,4204, 159
"[73]oGGaHudzgyszcvAtnIboALcFCDvJBsrqnidBwyIlamnwadpphGKEjLwjpykxBbajjoqjKrnHz",64,4,1773, 16
"[74]GHIwrFeHhwlbGFexELcGGocHjjFvuuyJhzposozwKnstjpboehxxkapJowKdhlHoEDLgvFivHt",64,0,2690, 160
"[99]szmwnmcxHzlEiGojoaDHbsJlFBbaHbxvLawbLzmdvhIEcHrnKGHzzygGxjoobcrshwIFvvzfEpsGjykFdabuBlzppqqpaEtFnoj",256,256,1815, 161
"[78]avpFtzgLBkvjxABmEFxGLdoExrryjxzDAFwmCkGJyEclsGpwoxKhvpmAhLhaHaomeiLjivbslwFFhx",262144,262144,3788, 162
"[75]fEDoGcizLGnCHIHhaGgEynqfGKHDLrrdhsbjhjGHqjxzGvrLhriAudspmDymmtfJpFikiDdHdrk",16384,16384,3303, 163
"[96]FbLzcfybrsLupaKrEdpwwbqcgoJdJGfmKvoaKfuzgwHLFqGtuAjtLdvlboHmiipdHImwlCbgdHzeuzvdDDwuzlKksFmIonmv",1.04858e+06,6.71089e+07,2301, 164
"[66]AxHvncCcmmLEcLlIgclzqoiwhGGLcocHqapBofEFnioAiGBGeajagpdbdoiLAGezAK",2048,32,3314, 165
"[69]cnfiiidcCfaHLbwppehldjzyobzyovmIGfeALtuHLAoCtDBafKEckbnvIdLtIvEJtxLaj",512,512,2368, 166
"[63]vaLoHkChampbfqcDeCfoahetoAqpLuyiqweaJkuwaflGAsnKKqqHweHaulaIHwG",32,4,2598, 167
"[71]GgJxKoKABjHixGuoyDpLILEChbnuevAiGxockzFosFtdzBcdLajrtatvsgALBtxvmdwxlLa",524288,262144,4036, 168
"[88]BmatFdrEyDnjsGHFcjDlBcGHtCfxrDBDqDozHtLBnezGdpDFCdGFhoKFajwcbpimtpofkpnflFoswrcvBdxfdobp",262144,131072,961, 169
"[97]gbxrfscELiqvIJFJeDHdgJroEsGiscHptfCmroibGamyDhjxjmhaeqqjrFwrEqrcaDvjnjrGBfHjogDmncFEFdgLpzLBnfdoK",3.60288e+16,3.60288e+16,2273, 17
"[81]wgdcHdLoaKvrbsgwBFmctloGkehwaLsougocJkxcexyrLrBFzjjvzCefuFuDskvAGrJbeeaeuklwprCBF",3.35544e+07,3.35544e+07,3849, 170
"[82]wELcuoKHgsznetGgpmpcwEsoyBayzrraxibzxhwDlbzqBFtflBhqvlufxsjzuGxachoItGgvkdArodDbbo",524288,131072,2564, 171
"[104]sdFHIbmxLmFxisnKjLvLmrEghxbzioKxezFijcGgrdyBGLuGkxxEFfchzieHLClrwqJpgnwJakdIitecjslquyurekklsoJyhBbvtwJj",524288,524288,4759, 172
"[77]HffbzIGcehpxuyftFjdeBfuBxyBvELwcsesBxGlbsoKjaEDbsBbmkytzsForfyHrdxcmyqkloduHy",524288,262144,4259, 173
"[101]hcvcoHClDjsvjfFjmwdkvvwAmtedrnLhJDKslAaejplgIzKyshuwFvnahgyKhHLDlGFBAdozhldnCyFwyHoDmEGLlazvALvmovBcI",2048,2048,2807, 174
"[67]fErvjhHihgeAfcGvptpmhapALtGrhpJlioLBIhFmooocHEBLxaHqgyhdpAaakBKbbyk",64,64,2675, 175
"[108]jietnovatLuhdAsHaIBBhshEGtvtgBjziaElltloaqlcLHLgoCttadFatKrlzbhxgcyGFzzwijgHmLoCJHzllbkFLoHIapBddLEhprbGqahe",262144,1024,1570, 176
"[32]mHksEBuGeItHurtrkyGLkfEoHxDesnJs",32,32,2641, 177
"[90]oxDddgmEenswBecLecuDAphFLukbdbEttcAjdaogvwabElHbztIHibLFoDKFtjugHLoqJHyxGAqdDpyHhcjpDmBsLy",2048,32,2959, 178
"[88]lhAnplLoHIHGAfqfejguEmErHHEbFKrcKxapCbxlrpzrtrkDgKLDCwBtLwCzFFyGaJlnGlEbphaniJFKwbepnDxJ",32,16,2636, 179
"[69]HClAbvHJfacpIkGJDbjmrHgcJvGJBEAtzpBhFadGBEzGwlxcaDrGfItmLAGLoHGCqzlcv",32,32,2588, 18
"[95]HccchyccEcrycsachxcckocccucoikrmcccAspyckucumcfgcCccidczcyxlLIccpHcEGpsCcAcCcccrnoHvltocCaccwLG",32,16,161, 180
"[108]hvjemmxBnDchsrmHnFerxkBriasymKxJmlkamzbEnGeljkpmBkEsFnxAjjLoDjvouuAKbuyDCscpIKrJciHAuebxHJsxlocxhvdKpGjIgGKs",131072,131072,2481, 181
"[89]xyjwrjcEAHeDnBdzogsLDsyLspalfEnGkDFiaulxiyGuALcFlddvjtawGnErhnsgoaKsgoJktjvcbtLkdduraLpjs",3.43597e+10,1.67772e+07,1994, 182
"[71]LbunapJLisbactGvEplGtbjvaadstzDdFHFDagEKfvELxpaHrHfnbrLBlsoKprgrLsuszmf",3.35544e+07,3.35544e+07,4590, 183
"[103]ejrHnxhIeoyfBEwacueFiGeFnekEtvjEHLEtpwdFBpiBGeerLdFjbocKFrEFuxLjdsljdtfwBwexaqxohnKCgJtAwDskEBicxczEpzy",524288,524288,2284, 184
"[90]GkbHIkGpjELjzjDiuccoCopbtEbuGaLFeHvffmAEaobLELABoKofmpedanjkgxaqyIJJiLyqBqGhCCtylHEvsybGwq",4.95176e+27,4.72237e+21,3588, 185
"[76]vdDbmsLoaLHxEvLEEiigeuCcyvxhjsGeDtbHuuGHeAinHylBEEGLuiApJBnezlwuoKGvwfrLfvEc",131072,131072,2164, 186
"[114]xEHAGGkuxjvallCzGFAmKCdKdBCploJzlqejgAxnBfhFKHeDGdmdjonHJcggHtewyHJHeDaenHsGCCusAtncLtagIHlbFlfDmDpAGpynLLxxepuBeq",131072,131072,3341, 187
"[96]iLloGAgfHIxtHLLoConeIurjunfcDBevfEHKstgKJLhHDjtzgFmonrjjlfDdmEnjctopfBeEvbbeEfdAgrsnlurvxskgiHJw",131072,131072,2777, 188
"[103]GCKkHahrxGlobcFpfLvBBIJmeBdxuyfKEqhbjdHkuyabpnqDGfEDdxshHuingdlgxdkusuIHzHddKHvatkAhHlsHJhHHKHHJHaxraEg",2048,2048,4300, 189
"[90]lkEgmvaFapFxGmDcyHsxIAEHpgzocJscGEwgeexxfApebefsyzcLcuDfrskwelxxFocfnccEhcyrecyFjcgEGqBKAh",64,64,623, 19
"[108]HvaCgoDKjLcxCzrlHzjDJKoqscssasddDAAtpHudiHCHwpKvAKbIxqwzGLDDmmHixvsurBCeHszKAzBwobjwwECDsBFyFGLaHoJuojGaLIoH",32,16,2675, 190
"[30]gGiaoHxfeaymohoLGbnBzcFtpmHELI",32,32,2743, 191
"[96]pFgzuKLBmJdeoKHBLwvmjwnmtGdfkcBGEhlELeEpiillhtDiaLBruDGxvoCsesCndnuzwgvjlwiueDiJKKahLJszxladLKvw",262144,262144,989, 192
"[84]axmhFyehzuAcyxhjDwHGdfEoEDdkisgLBagcgmdcpmuIpktHHbBJloqjwpuDhHnitHfzoDmmvbKDtonGaLqv",1024,1024,3616, 193
"[94]jycoHGuhauelvxadELgheiBrzrtEHEwALeegLoEuFtvFyhAehujBdfgutjGDltzcebwgcqAKlrECeeuIgHqrIvmpgKjuwg",262144,131072,3887, 194
"[91]gxoEyLoHidAhIzHrgahnCbqfoComimlieEgBtKHwHanEusvKwKFrKBBeAfoFdgfhmLGCptKhGmHyfCJcFkFiiJlukHs",1024,32,2683, 195
"[91]HElzGfcLchIocHCaBsJebCAsojfAFEmtismeeGpuFDenJbesthktHeiIeJnbsChCldbnxdGLsvipseAhjqCExhAkzzp",32,8,2597, 196
"[68]HbtcLqcKfAhHdeFJiqckkhfFclflDeofAftisFvsHzHrcnAGnIEptBiLLBAfcydwhdBd",2048,2048,3611, 197
"[75]dmccdHaLDttyLxFbEapIGAcjpruIHFtbBaFFepHHftfwkEHLoHcnedrKHboxzgqIawjGGbwJJsL",2.09715e+06,1.04858e+06,4673, 198
"[86]BoKLfxtAAEHAwtoIzbyAsgulauckEDvzvgiBHrjsujxCErvELJpptIceIvuerGEuvLzzgAkifbyrhyswrsodxL",524288,262144,3857, 199
"[62]FeuvdEBgeBpeuLGlnsGaeLvLvcEoHtztsIHEewzcDsxAqyFLvhKaHCpDkkDdFv",32,4,2566, 2
"[113]EkgcciHlDpyilAIbHjxxHtHvinmsEjKzwlAhoKFvHBHjdEJqHwqGfGkEHcHbkzLiFKHqtglagHdmJgjsHGzeLGHCfcHxivxGgJwLoxomyrzkDGcHC",2.09715e+06,524288,4769, 20
"[91]CjkJeGEvbLHadAhrmbLidwvweqDFDiaaAipllyzwwyBipElfrqIFpDGrIevkebrEztLLxbhHdLIfoCudHKFHclvmGLo",2048,16,2842, 200
"[104]kHGLmnIyohnnEfLbnqvqJsrckeygiihkrEpvbcjeqpyGDllrfiEqIDkceFwuAqpAKrkFgIkuDuGIFBrDKGkDwpwBbBAJEildniJDfgJx",32,8,2499, 21
"[96]DftHIlbvxifaHGadjaxftiwBjgBhBEhbwgFtfyiajxLEgBKJwalsyltzeGoKhcudAcwpnxsHwwdCHkqiotDkAAkaJKFniutC",524288,262144,2621, 22
"[82]HfGxnwtyEgzoLwBxtbcwFIhLxvLcGqHCnzrDzFrADHCargwzLGJmCezAwIooJbqwtAuJxqAqgCEoAlkCnH",32,4,1856, 23
"[101]ivsnAueFHzGELzzFLcIbxLGqGHCzedGJkydlDramgaphggzLCvmzdkLJjfoIiGtvoKBfauncdjAJDexaptovGBoodhdJLBdIcofIo",32,32,1840, 24
"[71]xdHgmcxtAuCdDIFGhnlLanxEhrnAkdmcAhtznADnknlatpxAxrFyvLweBLanpxroKeupBxB",524288,524288,4218, 25
"[95]ldLcoKFofzjkoIzvcpcHsafhcaxBAlxLhwoEApCwDvgelkzuLpJjdekjIpJJlrbErJjutfLkyzubhdyklzrltCbntaAwBHE",5.76461e+17,5.36871e+08,2258, 26
"[57]kLBeaisgGupGdBEFtHoIviEmisnLmiFnKksLaAtxBjiEjmLbjBwtydsGu",524288,524288,4210, 27
"[75]fELxEdcdsDGszluzhExDAuJaJBihyEvvwpElmreuHhnLGvoBBfKBdaAgpfFgoqydDeJsulBdJEl",5.36871e+08,5.36871e+08,3453, 28
"[99]xkCxCtAgoavmwhlDlymELamAHIDKevElHcKofrfqqJczJHBipoHbHbKhxnbAErxHHLubzGFegaogmregLJkHoAHuJHHrgHKgnwG",4096,2048,4284, 29
"[79]yteaotcEELoquLFpsvwKzEGbfkrxnwhofHujgHrJbGaxGkrcvgEqpkwvzmcgAFaxHojltIsHlGcjiGr",1024,2048,3460, 3
"[81]omtjufbgLHewyFjndvGsAFBwxFEFDqDlmntoEvzgDpDyknJkECisfelxoIflsyLcoKvFEkhtvlFEEFzri",524288,524288,3858, 30
"[77]isfbGwcLjGGlGtygGiHbEuLkzgrnfDBlgnmhaDoLvImFgdAKLzoLwBGhwtoKvkmeulGEBjpqvLvLz",262144,131072,2988, 31
"[74]EvdACsIweLaduEzkEEjeHCIzjyfddcgBubaELcocJGnKFnkwpqocnpmHcAgxkkcfguEppgtErA",3.35544e+07,3.35544e+07,1096, 32
"[103]HhfnLbCcbBDcecybcccArLGcCcndGlzllocCLlrxtFFrABhcwschzhAgysccuGacsfiazhGIfscchmpstzcvdAzccrcfybsgjnqbccw",32,4,293, 33
"[84]opKyEkaEGjEtxxhBtloEjBaymzywvsBHAfycconrfpCEbvirhfeuausEvxLCecnKbItekcLIaELzrDcnzseq",262144,262144,3033, 34
"[93]uHfhozhGGpBznEEvDtkDalGLeFrKrGpaBoIdtAwDjJlmtswIiJqshizdyGpBxkuLsdEtopKEljchwFBlfEpwLliowcrmd",262144,262144,1546, 35
"[68]HbwnwmaoBGczgtxdeilyAEIDxnCzzGIDuixwLeEAaavljhyvwadvdbzGLHiocrnGAgLo",32,16,2675, 36
"[101]GhwaCkjvEqhxKpdHEEEeKExagpcncHcHDetjActHEuyfzsFcnhDECmiHAKmHxLBjbEHaKvGhzCCCahDGiCmFGuFuoeBHvAsJAArAm",2048,2048,1822, 37
"[65]otFHaLIfoHgeoCecLGczgmoDFfuFywBeupavFldtFHKEaHLpmhFoqsuJDbeGcnvBc",1.04858e+06,1.04858e+06,3171, 38
"[87]vaoCKakcqqbrHqItavvupvfGpIjtkaFaIxxIaJIcnbIlFDAqEiACDvEosysxaLcsyGaHvLhklIoqHgrbIjHnAhL",256,64,2671, 39
"[81]AtclFuexLBFlowgoKxBusFekBenxDnHcmunpdBgqlblwHlIvhsEwgdwszGpltsFfinyrHuktmaojctdaL",524288,524288,2481, 4
"[76]zFhhAHgsBrIBcHDdFjHzLHspsxHosKGgHztGmJaHgpDywHrKHJHDdqmKHfHkzloawGhCBrwKupel",16384,16384,4668, 40
"[95]dniroKHbcvgzjjcwBbiBxGzrkFyLloliEoIetloaFEDgvHkBAEGGfgqluyshFeKCvEmqGwstaLDHkgyBwGnuBFGEklBlLGd",524288,524288,1657, 41
"[82]HIDfyDuuFargerhihhsgjHzAlkmmyloaeuAublEAfsmluvjlmGmLoJinKAkuDAkstfktLgeDJdtApHEGaD",6.71089e+07,6.71089e+07,4537, 42
"[101]xByBclwbHaGFfnaEdvGDhdaKCcLBFfbxhcvzaDflncIBDFAGAkbegtgabhexfgaeyjdccBxcqgHKzHaxnrrnHpGejjLtiunugoGJx",2048,2048,1288, 43
"[82]EHIHiJivljljocHljyLcqKHGCiLzvEgmJAHCwEkJBJJcuznKsiagqBmymawkiBpzhGtkwicmoyFfhEDGey",3.35544e+07,1.67772e+07,3871, 44
"[85]enkGngiHwnkpmhzsFsgElzAlFsiAyEoIuDLdEsBfpwbxsrzphzLAcyJohvwkbguhrLjcmCcnxaEBoKfpkwEeE",524288,262144,4243, 45
"[77]GpEtnmclvklEnyFuilAaxhlsEiDaiCagaxDpqsmmcuKsgLhKlcEeLrELzvGLeLdhHuLBoKvwLqmcw",131072,131072,2585, 46
"[93]twfEdiunEBibbardrmupwtyFpLlBgdjEkomDgdJvkBErecjAfghwGIGzalpgfiLJAxsLEsmsBoztArEoHLclneGzoKtra",262144,131072,1312, 47
"[84]HEcwktyLFdcerLeridIkfsjdEcgcvHexGLqpbwpnuydrwosengALcvxtnjjrdtHfmoLpdBuLnJfHfFLpBnKn",262144,262144,1757, 48
"[63]xceaguszjyHlolmkpAEEhlwrusrDCpJjKcIlnbHhLwaytDFcbkjknGaanoaLIoH",32,8,2542, 49
"[87]khvGHLIoHqcqJddLzjonoFGgpgKwycAdaJbCgGLosKEtdmizzICmnIbctputeDDycydAnkFACchfukheGBdvgsL",32,16,2662, 5
"[77]sgACyanenrrAxvkwzyetpdzlpcADypmzDGwaqEzcIBhJkeJkqdLhJCJtoKjDaHxdpmBuLcpAyfoKB",2.81475e+14,4.29497e+09,3273, 50
"[73]nEAslAjGeHIbwFrnxGFgHftpAGrfkxnlksmhfocADfLgiLLnIcxAbdFfLqfFmkwrAbmvHjKAF",256,64,2664, 51
"[82]cHrBdguhlrufmtxzuFgsLbcnILcHggGyhqrhqpKwmmAAgdLJewELnkiEzInbKahiIkhAfivagEvAedLHch",32,4,1437, 52
"[92]xypocygFbtdrybrwAvsyBLjuofguELooopKEhbkjHwiDAzkeALdagtLaGlGerGvdaLoxtxbLlfhiwvjykAAbkiGnxkuv",262144,65536,1789, 53
"[95]pmjoEeeeyhkvGHLcprnILCKCFlLhpakFvBIKiFAwxlagpdiqBixCEplFsjBeHKncdDjwCuLKFGDuGyeCAlkhjDLDJtdrABp",32,4,2534, 54
"[86]GguLauEDeyKwibtugkckfJEifcpervKhaapysepebbepLHLvFbLzodchLpLoBhArivFcChdudAAonBHlJygsIJ",6.71089e+07,6.71089e+07,1353, 55
"[38]LELoInaKBoGocJppHpFqdDIIczHffyylIFqlIu",2.30584e+18,2.30584e+18,2262, 56
