genome,merit,merit_given,gen,accuracy,door_rooms,exit_rooms,correct_doors,incorrect_doors,correct_exits,incorrect_exits,doors_taken_0,doors_correct_0,doors_taken_1,doors_correct_1,doors_taken_2,doors_correct_2, seed
"[98]scqccGcoBbczJKhqcchccqccxchcAjccfgcncBcnvhFAzcmcvgcjndcfAcGccfectcxcckpcucccsukBcrekccccyccbkccGqG",128,1,141,1,6,0,6,0,0,0,0,0,3,3,3,3, 127
"[100]cEyHiyoccccAccenKxccccccFczccccpcgcAcccccefcccxcmckEcxcclCcHcBxccdkbvcFcBkcccEcxcccccEnccmincccccccG",256,4,83,1,7,0,7,0,0,0,0,0,0,0,7,7, 128
"[104]cwznccccixKjcEgcccmzBqcaccccrwcccnHcmoJcquzcjcccccceFcccfcqzcHcjmlcckcGzcnAocEIBccviceAvprkdlzgcfccbcccG",8192,3.35544e+07,124,0.657895,38,13,25,13,13,0,30,30,59,28,32,32, 129
"[99]bcGsmccFAvccccrcccccDBcccccccycccedvctclEclcucHGccczxccwuFcccdBcccmzccccxacaiccAcoaJccbxcccgcccmHvn",256,4,116,0.888889,9,0,8,1,0,0,0,0,13,9,0,0, 13
"[102]cccBcvczJcGnicccccccfclccicccloxccccccxDcccxlcfIlcjggcccccIcccccccccJjccGhcccccccccsccckccfcoocvccckcx",128,1,51,0.6875,16,5,11,0,5,5,54,42,55,23,0,0, 130
"[105]jwteDuEuHuEFtziBHCdwbxKeviywsBtHyamvHGqKBayACrvrhJhokvIuxhAdjhxCgJBiJKDKhyJdDbmmiwKBoAuzqGtxKJIlqyyhorhjs",4096,4,1016,1,11,0,11,0,0,0,0,0,0,0,13,13, 131
"[100]ckcmocfwuEdccccByccvtecbceBcrcHcsyccaoKcsccccsckcycccyhcswFcjccfucacBycochccEcccbxccccccDcccfclccccG",256,4,91,1,7,0,7,0,0,0,0,0,0,0,7,7, 132
"[95]leKKwgkJkachAkyAiJmaaiGullrvnEzocFKKusmcbakureBxoomlGzbbqljlrHihfAFpliiznGBlhekaunxhFAEskzepsjq",128,1,371,1,6,0,6,0,0,0,0,0,2,2,4,4, 133
"[99]lDbBkzwjcctccscAcEdhcccEBBycpvtvAigczFcHcjHHJHcdnKhbbocGccfqzmcvBaHmcruwwcskdlcGrcpFcdckqhosnBCcFcg",512,1,191,1,8,0,8,0,0,0,0,0,5,5,3,3, 134
"[103]JGGoJgwkiKfEpiwJiGddBKzsbndGEqyFzeBiJnDccDepcnDneCfrFwnmltcsHyKaagqpdqjpisFndBbbpDrdiKDBBHyhHfdaAjvbeCJ",64,1,379,1,5,0,5,0,0,0,0,0,3,3,2,2, 135
"[101]wmchcibAkiycHeFgcckchJzbcFdhcDcbjdcccnhsxqscvwcHcwxCczGcqcekcFrgclCGzcJuvmvsAGIscedfFcrfcprnlcIymcjGs",256,1,146,0.684211,19,6,13,0,6,6,12,6,13,13,0,0, 136
"[103]HBgcJxccAEhctcccewBzcHccoJccmqwvczffghcEtccccccxcccxccEcqccHrccDcuvscmiwccHycjEcIscccccqFcccKcetxafejuG",524288,3.35544e+07,135,0.695652,46,13,32,14,13,0,31,31,70,38,31,31, 137
"[103]qsEbyBjJfHovcoyGpvqqdGdhbvdygvGhntaByicfcekcmyvbDBpkvxfBAlcsDitIBqcsssnxDercqjBrrjgBsufpxCxcmmeHclAjrHv",256,1,363,1,7,0,7,0,0,0,0,0,7,7,0,0, 138
"[102]cHccrcnfvijDdedwwtHGbirHBcyqmJacbqcrndcpolxbckcnclKDlKbdcGcInyeJCJAvjIndHzAcEBHElGAGbywqEyKoCsJIyKwekm",1024,1,311,1,9,0,9,0,0,0,0,0,9,9,0,0, 139
"[96]ccGbocEhzGtBccrcDcxBcccscdcAHHHscczxDftdcycEccocKtbEHdgAcmccclacvcdoHcHctyccmDfAscbcdacjhDccccEG",128,512,153,1,6,0,6,0,0,0,0,0,0,0,721,351, 14
"[100]zjlFcucscorlhdCcdqcculJcCccwEoccdwwDccwHcccKBcGcGcHccacEEHjcccjcccqnmccpIcwccpCbccEccccdEceeIfqccojG",524288,1.67772e+07,117,0.695652,46,13,32,14,13,0,31,31,33,33,69,37, 140
"[102]cfcpcccccccccccccwKcccccccrcccccJcBiffGceccCcykoAcckccycccgFccccccccsrDEcucccccctIccczofcBocDcvcccvcCG",128,2,57,1,6,0,6,0,0,0,0,0,4,4,2,2, 141
"[100]uccccccfEccGycgcnccxeccccEccccccccdcbcoclhcmcKccfcccccJccccccbccccccocccucccaEBcccccccDcccxccccccdeG",128,1,46,0.875,8,0,7,1,0,0,0,0,4,3,4,4, 142
"[102]hwccccgccecccHvccBocccrcAccAoKcccHtcckGgryHcccfccrccwhhcccdcBjaccBhaccccEccimcCcDcvgpcccdccltcpvccctcy",512,1,85,1,8,0,8,0,0,0,0,0,0,0,8,8, 143
"[99]CntgcdctccchccckpnfccKcczcKvcbKcccJxxxrEcdccccmccccczcJcaccccccccGcoccccqccclcckccnicCcckcccchtBcEG",64,2,86,1,5,0,5,0,0,0,0,0,2,2,3,3, 144
"[101]rDccccHcpIeyzvjbiuihEdrHwckitvBHEzBBBKcnFjpctEielccAcjurJAcsFccccycaHvdcuGoacccpxscgcGbcqccccAgqiczvd",128,8,231,0.875,8,0,7,1,0,0,0,0,8,3,8,5, 145
"[101]DcJcccnccccccccccoccccvKccccccczcccBmqfccccdccEccctccBchzccncccpccccBDccccccccKcccnccccccchccdccccccG",1024,1,37,0.916667,12,1,11,2,0,0,0,0,27,4,52,7, 146
"[96]ycccccecccyccicdmscgacmchjcccccccccAczccccHHccAvmccnJectpvfBccccrocncccgcccwfcokcccwhcicccfzmxwG",512,1,86,0.9,10,0,9,1,0,0,0,0,10,9,0,0, 147
"[100]CBycccychcsdccceBccxoccccmcccJfuccxvccAcccocecxdcFcccchdcclucFcfcDcqDcejFcKccHccdgeccieBckKxhcnGdcbG",128,1,103,1,6,0,6,0,0,0,0,0,8,5,4,2, 148
"[98]cccccccccccccccgcscnJfccpccccccqcgcccccHccGccccwxscccccccscccccccccbsncccccccccaccFpcchccHcccccccG",512,2,43,0.9,10,0,9,1,0,0,0,0,11,9,0,0, 149
"[99]ckgcJfckHjcAriJJysKAEchuBGbJgikjCfccunHGcGCkcEckDcCFcFzcicGCpGGECIrtAGqwutkzdqcDcuchcIzcccEilhoctur",64,64,247,1,5,0,5,0,0,0,0,0,348,74,87,2, 15
"[100]cncciccJpFHczccDcccccscmdcaceccccpccccbAccmHBsqvcccccrnEcckBuctcccGkvDncwwdcAcDcIccccchcsdcyIcdHcccj",128,2,76,1,6,0,6,0,0,0,0,0,7,6,0,0, 150
"[103]JcyccnmchgccEccGcgccclcFcccmcsFBcqccccicclcCcCcccbjiwDckccvFcccocccwAapcGocccjcbKcccbGncFsEcfscnciGlfqG",128,1,93,1,6,0,6,0,0,0,0,0,3,3,3,3, 151
"[98]cceycttcccccqkccclHccdcucvcwqcceyccurBccCcmGpccHFdcpDcclcecoJccccCFDcfxHvczccFgccxrcccycqccnGccatq",512,1,107,1,8,0,8,0,0,0,0,0,8,8,0,0, 152
"[103]ijccawcccvcccqDcucbcdwjgcovpcccEhcclkcccCcccAcpChccCcxcHccecccccccccoJcDccdnvGctccHccczxscBmlccHFuccqcG",512,2,83,0.9,10,0,9,1,0,0,0,0,10,9,0,0, 153
"[107]vpdgyFmAhalgboccFcHcgcpGeckBFocjcvdicfcmDBcKKrcuapJucwcFKzwJwnkBJcmcKxgbcccGEghgupdjxCdfwyfbpcjGfFccwDnJcvG",64,1,206,1,5,0,5,0,0,0,0,0,2,2,3,3, 154
"[99]cccccccccccccccbcccccDqcicFccxnccKmcpcccccccczcccFeJccoccccccccccccBcccwccccccccccDcBcccEccccccoccG",256,1,25,1,7,0,7,0,0,0,0,0,14,7,0,0, 155
"[104]CDyrCEccIipchcmkKccgjBcbccjcbcctjiHcBcpmxohjwkdcHcKfwDmccEcacgkKobBkcHlycdKvcccxFFncJvtgAcvkJqcccFHtAccG",256,1,141,1,7,0,7,0,0,0,0,0,0,0,7,7, 156
"[102]occhccCjndsIccDIrcxcdfccccacccccBhkcccCcczBcnCprKrcchjcJzDBcqcKdcJwcocccjnbcfcuhcbcEcnlccBcwccjckzccAG",256,64,107,1,7,0,7,0,0,0,0,0,1190,157,0,0, 157
"[100]jJyzheidccpubJcEvclcaeKHbiqgkBaGAIJJpccplFcKpbHhvaccpkocvdjJcuvrGqzcEeAacBHFcuFcahcccIDJedzBaaBidIpD",2048,1,158,0.857143,14,1,12,2,1,0,1,1,5,4,9,8, 158
"[100]tFHoizBjwzyKbhckdFtaspjdccsBsiuzHkGABbccolnDcyocKfqucpftupcCwtocIeBfcolGgIcidccacacwchvBCcEEJcnAucGH",65536,2.09715e+06,301,0.702703,37,10,26,11,10,0,107,107,107,107,198,86, 159
"[105]fsDzKGcjnpjvFtAhhJBcscvKyBemfznJeaDJrrFkuAJmwjmdlGHqhBkrKbeIjcyzljEnhnxlBozkloGqnxdFGxjpsbkryaicnpIAwitIz",64,1,416,1,5,0,5,0,0,0,0,0,3,3,2,2, 16
"[98]DxccccbcwphcccctccAgcswcdcccccccDcoccczcccfclfcccccFhcKleaccccDciiccctccecccrcccccccccdwcpJdwccsxG",256,1,87,1,7,0,7,0,0,0,0,0,0,0,7,7, 160
"[100]cccccBFccccccyJKcccccclcoccccccpccIccJcccccccycccxEcovcccccccKccccncccccccoccecccGckccAGqxowcccBcccG",64,1,45,1,5,0,5,0,0,0,0,0,2,2,3,3, 161
"[100]cccCcccccccccdcAccccBmccccccvblcccccccCcnccccyecccrcDcccccccccccccccccccccccclzvccjcccccccKfcccccccG",64,1,44,0.9,10,3,9,4,0,0,0,0,0,0,13,9, 162
"[104]uvHAtyBbbzoisbsEsqmjohyJhHEwrHKbmBfkHEiGqloymqlxDrKnhmfIeqsmCsiIgJmhEfsielqguBHkwoHJaAyabkedmvezmyIsipeB",65536,1.34218e+08,698,0.674419,43,14,29,14,14,0,62,62,64,37,104,40, 163
"[95]lozpKHctcfkghCcbcbndfpjorcrKccslwcuzccGddHqcbvKibFtHdcmhCdcrcgceabqeHgidfncqFmAqscptfBcDCacIjDl",1024,4,240,1,9,0,9,0,0,0,0,0,0,0,14,12, 164
"[102]dHcqccoKCntuieFBjmrccunboccGupcwbzlHtwrqmeKfeqCGtfcdbqcaGcctFGgecbdsbpxiAiIccjavtEaBlclbcGJHlsBccfhacG",2048,4,209,0.916667,12,1,11,1,1,0,1,1,1,1,11,10, 165
"[99]ucwKyBubxgKahahraJKcslHEcyoIJjccKhsGxjGEqJckrvaHtabcneEmradkGBhChxrmjdascndKfjrAxIGgacBKinCzAqlEyEu",128,1,389,1,6,0,6,0,0,0,0,0,2,2,4,4, 166
"[108]qvxcqEDcBkeEchqvEnlvpFwEscuHFslEwnmjuiCckJJHinqjkcwtEwDovfnysxczwGjCscaJctGaqcKcGmcBeccvcFKzybcjjcgcaeEBEpAG",128,2,333,0.875,8,0,7,1,0,0,0,0,10,8,0,0, 167
"[107]cogjccczpJucxkcztjvmKAcccdHhGqihgFjFAFHtsIbcvvlJacccinDcpwniHHEFzcgaclrcccFcxsgccfAckczncdmgckcxcbpgHnFicxG",256,1.04858e+06,159,0.62069,29,11,18,11,11,0,57,57,57,57,126,68, 168
"[104]DwsgfJCbcmrFrpuBdccJGmKcscHGcDfjccfccreocicKimscchEljcchtJpvJcsCccoyDceefcEAccmBfevspcecfcFcrqccGiacgbcG",128,128,186,1,6,0,6,0,0,0,0,0,708,147,354,32, 169
"[103]qlGzxcdcchcfotcbucccccyHcbEhhGcwczzAKsmcrJKccuuwcqrKcykcHzcolzcildzmlcpcvosrJKrohwfcKccfxcnfcrtccqcfdjG",256,1,141,1,7,0,7,0,0,0,0,0,2,2,5,5, 17
"[103]figcHbcgsdKJDvgadreHHoItJfeDtaGcBcqclxBreKzgAFubycmtCcmcjeianoeAhxccadBnHafuhzasftcceorscFiCHdDfmlpcccB",256,1,253,1,7,0,7,0,0,0,0,0,4,4,3,3, 170
"[91]zcmJEcwtcqcKcjKKcjqvKAccFdfccicaqcccpcaJceDccjccccccccCccwcacjcJoFiemczEcGcccckkzncrcEcACDj",128,1,134,1,6,0,6,0,0,0,0,0,2,2,4,4, 171
"[102]ccccnccbcGccBccpccccpczlKiuzFJhouGqccccAgcKccdcpFccJolffdcuKcKFBBgcccjyBevcncpKacGccDccfcyEcmchykqjjcG",128,2,125,1,6,0,6,0,0,0,0,0,2,2,4,4, 172
"[98]axqHbFGHbDejvEdBAFifKwjsqplvHroJGCHqseKmrmzDjkcyubBaEzfyqpDfmkhItiebvJDFuqBltdwBvjkjscAlgJhtEpKmnz",8192,128,661,1,12,0,12,0,0,0,0,0,2242,19,19,10, 173
"[101]cGeDdAccccacrcbcHcctcccApccncfccctucbkfcccccccvccFcgbDcHcccccEKcccccccccccEeccmckcdccccBuycCccwzmltcG",256,1,62,1,7,0,7,0,0,0,0,0,0,0,91,7, 174
"[102]prHhcfcncAfcckcatEchdctprmckcwKdCccbcccfdcccEccctccakcDcccbcccccccclcccGfHcyaoccinHccboccrcaqtucFccfBC",256,1,104,1,7,0,7,0,0,0,0,0,0,0,10,9, 175
"[100]wcrjKdwBoowHfAGcEEyvcrcjHccAcehrcfccbirAcccJnncsbcAcczgcHckGcxBcswcncccJabwhscHcvdlGmqqxItAbyqdeccGK",64,1,180,0.857143,7,1,6,1,1,0,1,1,4,3,3,3, 176
"[94]ccKKartpKcAEccgJcovcitcdclGcfomncBhcvarJcpoJtvfAyGcbcCgFCCGiucmcayblkgJIacIxccrcdlAajjcccttduj",64,8,184,1,5,0,5,0,0,0,0,0,3,3,2,2, 177
"[100]ACIjcsrxjlbIhczccdCcfccucccsFKJccicgccccHccjsvccieczBcGFGrmGHcFcotczpcCyyrBencccxosbDczczcvcKKicJtgG",64,1,140,1,5,0,5,0,0,0,0,0,2,2,3,3, 178
"[109]KJJaFvcxczlcAGyAnCbvKvJqbmwosDEcztBAwlemDytFtcmpDikdCDxzbgwIbuGDHfuKcklilhKJytFcFkpAjKkonaklapzsizynwHrwsaBci",64,1,309,1,5,0,5,0,0,0,0,0,3,3,2,2, 179
"[101]cybHceoKbfzrCHfGAsgBonccaBxBwAAcKuHcziBtCCGsqhAEbqafBcGpFhbpmcFHJuukIckfkBnAFlGciAecmAkByinHzapnxkbwG",512,4,362,0.9,10,0,9,1,0,0,0,0,0,0,19,12, 18
"[99]cgcrhccjclccEcKcGcvcFcccoAcIcEIccccyccdcchkcccccFdHccccxAqcccycccccccDcccccccrKbccccccccccccrccgcHG",256,1,43,0.62069,29,10,18,1,10,10,20,10,0,0,19,18, 180
"[104]eccJGuqEJrHryiqwGClFgHrcBvBkecIIHbbIJfBCiynxermCCqdFanAFctaliaDzAckKGeosuccAHIvpKjKktDvpbcsddvACcrpkqDpd",32,1,384,1,4,0,4,0,0,0,0,0,8,5,0,0, 181
"[92]qbkGAomHlpochwFAKgHJzgpgzmcoIcrJrjKlnDEHECEKKtFurEgrBjDfBjsytKDwsbHvnDnonlxFJohecJwyeGiHcCDB",1024,1,416,1,9,0,9,0,0,0,1,1,8,4,10,5, 182
"[102]qqcckahpcBuKGlcFxbDlqcuKHDglkcKcJjxqccccdcccHeJFccAaibcGtcccHtdccockccxclwgcGwccBJcbcgacmeAcpymjccsrAG",128,1,166,1,6,0,6,0,0,0,0,0,3,3,3,3, 183
"[99]cocbcccccmcccvrczrccicccncAFcccccccqcccksccccvckrJczycichzbocccAccjccccFcacEcccdacccuccckccficccccG",256,1,70,1,7,0,7,0,0,0,0,0,32,7,0,0, 184
"[100]ccJccmFccmacccigccdscscctoackccccJecBcmpcccccccedcKccEcccccoccJHccxcoccEchAFcczcGchncCvugEcFgcccppcB",8192,5.6295e+14,100,1,12,0,12,0,0,0,0,0,2325,56,12,12, 185
"[100]ckokosKccicHxickJlctcaecacjjscpwcBfgcxrEfGcticcdczhugiFdaxzyyczvcpiuAxbDrglgEhJEaoInhjcAphGqcrwpDcby",128,1,187,1,6,0,6,0,0,0,0,0,6,4,4,2, 186
"[83]AeKwstBgvvokJacbkcmJxiyKmfFFJyovJwqkHhGjCkElDEvveDhfnxbktlkkhEDDEddCwfdCHAqKqGqurqe",128,1,719,1,6,0,6,0,0,0,0,0,4,4,2,2, 187
"[98]sHKbAyfccjCccccbxxuFtwccckymcGpcccycccJkmcqrccIwcCecccyIicccCcqlDcJccDbEvixttwctmgkEAsycFcmcbvcfKc",512,1,164,0.9,10,0,9,1,0,0,0,0,9,8,1,1, 188
"[101]JJGwlAJKFllaDbeFzopskcAhyAlbpGkhmtujxhBcxDttqlGHqohJpdqthesziidqEvBBvEyEsHigaDJKCqAyavjFEcIJrrobJfFKy",32,1,793,1,4,0,4,0,0,0,0,0,3,3,1,1, 189
"[101]oJBnccBDcHarbcbjccebcococxcvcEbICdocsflcykcFufpKccFuDckciHwcvcckyrcxIgJwDccxfuxcgcHkccmccrccccgccccbG",8192,1,119,0.611111,54,21,33,0,21,21,88,62,79,41,0,0, 19
"[103]kcDCgtrccAoccJcKeccbccbcmlcccswccccFccccnichcccAceccAvAicccccmcccctcccJcKcccecJxccccCccbcBFecyccbtoCtEG",128,1,78,1,6,0,6,0,0,0,0,0,204,6,102,3, 190
"[109]ymKDvbmHnboIiqrpmJyolntGhqqvmcoBeFFdcKxGiaIKtunvlhGgsCaCKifKfxyuoJhFEqAwbcnhErmxBeukzlczgcGyFsmoxfgGgnJCHrAuB",1.80144e+16,1.47574e+20,706,0.680272,147,47,100,47,47,0,364,364,364,364,700,336, 191
"[101]zFkmwudpawkbwEcKbdkAeyksbcHybKccaHEiqtyfwqdicGojligayszrhckGcCvnqBfyBBuDGBdeGFCfcyhCzxFyjkHBigGHiwcyJ",256,1,311,0.888889,9,0,8,1,0,0,0,0,0,0,9,8, 192
"[101]FdcccnaccKctctcFsgscmcgApjacBcEJccshknnHGsmtyoEycoAcFHccGocccccrqzmcIcwFcEpycgxDcdzyhcepApbBpqncscwcp",512,3.35544e+07,166,0.605263,38,15,23,15,15,0,423,421,523,81,461,143, 193
"[101]cccchcccAwcrcKccbcucpoccbGccccccvacuccocckcccccccGcFcDyccccvcucozBcccmcFcylcccJJpzccBumncvhcaGcccccpG",32,1,74,1,4,0,4,0,0,0,0,0,2,2,2,2, 194
"[100]xcFcDnhccckccccccccccaJdccxKoclEcccFHccfeKcccccccccucEcecpqizcccHcgfcccxccDcgbpcccBAccccDcjcczcccccG",128,1,64,1,6,0,6,0,0,0,0,0,1,1,5,5, 195
"[103]tycDcKrAtluqDAdEpjBecCcccCcgjcCcrdsCdgCccxcrzcBcGdfccgHlicodmmenDuHuedcHspgzBvAccxcraHetGcHopJcclCDIIck",512,1,221,0.9,10,0,9,1,0,0,0,0,9,8,1,1, 196
"[103]csKcgcGccAvcDiExBczrfAcgccutcgeccncctceJHccbcclcccrcGfHceceqcccccccccclptcocqccHlccyqyccvccccscccjcIkcG",8192,131072,96,0.666667,36,11,24,12,11,0,786,786,1166,364,815,378, 197
"[99]ceuacqtezBcHFtcKcccnBcccpmcEHJcocIlccccEccbllcjmAiEcccucqHycwccHccAcclCccGmDacegcjcAFGIziotaHBzuzri",128,8,132,0.65,20,7,13,7,7,0,7,7,11,4,11,11, 198
"[102]HKxEzjKlcbpgjwqacuJJAcJuwckGdcrkAACvouHgcccjbrtABKrqdGcGicfwvCmecFGAyndIDGzDhjccwufpGKcBeuwclEoccngjjB",64,1,286,1,5,0,5,0,0,0,0,0,3,3,2,2, 199
"[100]ccCFccrGiBKqcEcJdescDKyBHcrclzfmGbccccJccfFFKcccEuqBconbccAdJpKAyccJdDaxeccxcFqcfccucdlGcJmBKcckcvkG",128,1,164,1,6,0,6,0,0,0,0,0,4,4,2,2, 2
"[92]dhcyaFiciypcnvDIckJgAwdwxHfvnuBnapigrszHktoJhtteBjccnzaxnpemyBoKrelybxHFqwCcHDcdIEbeuAKcuaqD",1.81521e+280,3.35544e+07,384,0.673507,2680,874,1805,875,874,0,874,874,1806,931,874,874, 20
